Mes,temperature_2m_max,temperature_2m_min,precipitation_sum,winddirection_10m_dominant,SEREMI
2014-01,10.56129032,5.864516129,68.4,277.4516129,Magallanes
2014-02,12.02142857,7.053571429,53.7,279.9285714,Magallanes
2014-03,10.12580645,5.222580645,80.5,271.8709677,Magallanes
2014-04,9.39,4.57,36.6,232.1666667,Magallanes
2014-05,6.370967742,2.55483871,23.7,226.0967742,Magallanes
2014-06,4.396666667,0.66,84.2,258.6,Magallanes
2014-07,3.777419355,0.058064516,31.9,219.8709677,Magallanes
2014-08,5.183870968,1.525806452,63.5,217.8064516,Magallanes
2014-09,6.596666667,2.193333333,53.6,212.5666667,Magallanes
2014-10,8.535483871,2.761290323,35.5,268.5806452,Magallanes
2014-11,9.236666667,4.246666667,89.7,273,Magallanes
2014-12,10.9483871,5.751612903,95,261.2903226,Magallanes
2015-01,12.27741935,6.867741935,33.7,270.8387097,Magallanes
2015-02,12.14285714,7.1,36.9,278.8928571,Magallanes
2015-03,11.56129032,6.393548387,92.1,268.8387097,Magallanes
2015-04,9.093333333,4.446666667,57.9,249.9,Magallanes
2015-05,5.935483871,2.541935484,100,198.8709677,Magallanes
2015-06,3.943333333,1.15,92.8,238.7333333,Magallanes
2015-07,3.032258065,-0.138709677,98.4,232.9677419,Magallanes
2015-08,4.180645161,0.509677419,59.8,227.4516129,Magallanes
2015-09,5.266666667,1.12,46,241.7666667,Magallanes
2015-10,8.925806452,2.803225806,24.2,220.7741935,Magallanes
2015-11,9.626666667,4.63,44.3,270.5333333,Magallanes
2015-12,11.2,5.090322581,26,265.1612903,Magallanes
2016-01,13.53225806,7.261290323,18.5,258.8064516,Magallanes
2016-02,12.77142857,7.042857143,56.6,271.3571429,Magallanes
2016-03,12.67741935,7.25483871,50.2,269.8387097,Magallanes
2016-04,7.996666667,3.6,30.2,248.6,Magallanes
2016-05,6.380645161,2.480645161,7.2,192.9032258,Magallanes
2016-06,6.716666667,3.636666667,60.6,277.7,Magallanes
2016-07,4.451612903,0.938709677,37.6,203.3225806,Magallanes
2016-08,4.751612903,0.048387097,42,239.516129,Magallanes
2016-09,8.806666667,3.353333333,9.2,254.8666667,Magallanes
