,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,1758.0,1070.0,534.0,4.0,60.86,1.43,4.94,81.0,56.71,6.59,26.04516129032258,13.851612903225806,0.0,False,False,False,True,False,1,1,1798.0,1740.0,1798.0,1765.3333333333333,-40.0,0.608646188850967,1024.6666666666667,57.56999999999999,92.0,2.6666666666666665,12.193548387096772,22.89627240143369,6.233333333333334,15.85228815736357,0.0,1468.0,1438.8333333333333
13,2015-02-01,1624.0,884.0,808.0,4.0,54.43,1.28,5.41,74.0,58.0,10.92,25.071428571428573,13.475,1.4,False,False,False,True,False,2,1,1758.0,1798.0,1740.0,1726.6666666666667,-134.0,0.5443349753694581,986.0,57.56999999999999,84.33333333333333,3.3333333333333335,11.596428571428573,24.468970814132103,5.733333333333333,13.6472554539057,2273.6,1327.0,1293.0
14,2015-03-01,1798.0,947.0,635.0,3.0,52.67,1.88,2.75,109.0,58.0,5.83,24.34193548387097,12.980645161290322,2.8000000000000003,False,False,False,True,False,3,1,1624.0,1758.0,1798.0,1726.6666666666667,174.0,0.5266963292547274,967.0,57.56999999999999,88.0,3.6666666666666665,11.361290322580647,25.15284178187404,1.4000000000000001,12.820808066310237,5034.400000000001,1468.0,1431.7272727272727
15,2015-04-01,1740.0,957.0,564.0,3.0,55.0,1.79,2.88,104.0,58.0,5.42,20.69333333333333,10.3,20.6,False,False,False,True,False,4,2,1798.0,1624.0,1758.0,1720.6666666666667,-58.0,0.55,929.3333333333334,58.0,95.66666666666667,3.3333333333333335,10.39333333333333,23.368899129544292,8.266666666666667,11.381333333333334,35844.0,1421.0,1325.2727272727273
16,2015-05-01,1798.0,1051.0,673.0,5.0,58.45,1.88,4.59,109.0,58.0,6.17,15.932258064516128,8.412903225806453,68.4,False,False,True,False,False,5,2,1740.0,1798.0,1624.0,1778.6666666666667,58.0,0.5845383759733037,985.0,58.0,107.33333333333333,3.6666666666666665,7.519354838709676,20.322508960573476,30.600000000000005,9.313016254619829,122983.20000000001,1468.0,1358.1818181818182
17,2015-06-01,1740.0,990.0,393.0,3.0,56.9,1.6,3.23,93.0,58.0,4.23,14.113333333333332,7.153333333333333,94.8,False,True,False,False,False,6,2,1798.0,1740.0,1798.0,1759.3333333333333,-58.0,0.5689655172413793,999.3333333333334,58.0,102.0,3.6666666666666665,6.959999999999998,16.912974910394265,61.26666666666667,8.03,164952.0,1421.0,1237.909090909091
18,2015-07-01,1798.0,1106.0,600.0,4.0,61.51,2.07,3.33,120.0,58.0,5.0,12.661290322580646,6.464516129032258,230.1,False,True,False,False,False,7,3,1740.0,1798.0,1740.0,1778.6666666666667,58.0,0.6151279199110122,1049.0,58.0,107.33333333333333,4.0,6.1967741935483875,14.235627240143367,131.1,7.788313179518462,413719.8,1798.0,1397.8181818181818
19,2015-08-01,1798.0,1030.0,479.0,3.0,57.29,1.55,3.33,90.0,58.0,5.32,13.816129032258065,7.0,208.5,False,True,False,False,False,8,3,1798.0,1740.0,1798.0,1778.6666666666667,0.0,0.5728587319243604,1042.0,58.0,101.0,3.3333333333333335,6.816129032258065,13.530250896057348,177.79999999999998,7.9146901575226964,374883.0,1798.0,1397.2727272727273
20,2015-09-01,1740.0,1078.0,662.0,1.0,61.95,1.98,0.87,115.0,58.0,5.76,14.886666666666668,6.126666666666667,105.1,False,True,False,False,False,9,3,1798.0,1798.0,1740.0,1778.6666666666667,-58.0,0.6195402298850575,1071.3333333333333,58.0,108.33333333333333,2.6666666666666665,8.760000000000002,13.788028673835127,181.23333333333335,9.22288888888889,182874.0,1740.0,1380.4545454545455
21,2015-10-01,1767.0,1069.0,672.0,2.0,60.5,1.89,1.85,108.0,57.0,6.22,16.519354838709678,7.67741935483871,89.4,False,False,False,True,False,10,4,1740.0,1798.0,1798.0,1768.3333333333333,27.0,0.6049801924165252,1059.0,57.666666666666664,104.33333333333333,2.0,8.841935483870968,15.074050179211469,134.33333333333334,9.993882468919438,157969.80000000002,1798.0,1340.1818181818182
22,2015-11-01,1710.0,1009.0,766.0,3.0,59.01,2.04,2.59,116.0,57.0,6.6,19.496666666666663,9.803333333333336,9.3,False,False,False,True,False,11,4,1767.0,1740.0,1798.0,1739.0,-57.0,0.5900584795321637,1052.0,57.333333333333336,113.0,2.0,9.693333333333326,16.96756272401434,67.93333333333334,11.504173489278749,15903.000000000002,1740.0,1390.090909090909
23,2015-12-01,1767.0,894.0,1060.0,6.0,50.59,1.86,5.66,106.0,57.0,10.0,22.88064516129032,11.99032258064516,11.7,False,False,False,True,False,12,4,1710.0,1767.0,1740.0,1748.0,57.0,0.5059422750424448,990.6666666666666,57.0,110.0,3.6666666666666665,10.890322580645162,19.63222222222222,36.800000000000004,11.576285667342132,20673.899999999998,1798.0,1396.1818181818182
24,2016-01-01,1426.0,813.0,322.0,2.0,57.01,1.76,2.47,81.0,46.0,3.98,24.65806451612903,14.483870967741936,12.0,False,False,False,False,True,1,1,1767.0,1710.0,1767.0,1634.3333333333333,-341.0,0.5701262272089762,905.3333333333334,53.333333333333336,101.0,3.6666666666666665,10.174193548387095,22.34512544802867,11.0,14.058209292856175,17112.0,1758.0,1438.8333333333333
25,2016-02-01,1334.0,851.0,387.0,4.0,63.79,2.09,4.17,96.0,46.0,4.03,24.978571428571428,13.75357142857143,0.0,False,False,False,True,False,2,1,1426.0,1767.0,1710.0,1509.0,-92.0,0.6379310344827587,852.6666666666666,49.666666666666664,94.33333333333333,4.0,11.224999999999998,24.17242703533026,7.8999999999999995,15.93460591133005,0.0,1624.0,1293.0
26,2016-03-01,1612.0,804.0,2353.0,3.0,49.88,1.87,3.09,97.0,52.0,24.26,24.187096774193545,12.419354838709678,9.9,False,False,False,True,False,3,1,1334.0,1426.0,1767.0,1457.3333333333333,278.0,0.4987593052109181,822.6666666666666,48.0,91.33333333333333,3.0,11.767741935483867,24.607910906298002,7.3,12.063539582166012,15958.800000000001,1798.0,1431.7272727272727
27,2016-04-01,1380.0,778.0,294.0,3.0,56.38,1.48,4.41,68.0,46.0,4.32,17.52,8.926666666666668,69.6,False,True,False,False,False,4,2,1612.0,1334.0,1426.0,1442.0,-232.0,0.563768115942029,811.0,48.0,87.0,3.3333333333333335,8.593333333333332,22.228556067588325,26.5,9.877217391304349,96047.99999999999,1740.0,1325.2727272727273
28,2016-05-01,1426.0,774.0,383.0,5.0,54.28,1.57,6.94,72.0,46.0,5.32,16.467741935483872,9.806451612903226,83.4,True,False,False,False,False,5,2,1380.0,1612.0,1334.0,1472.6666666666667,46.0,0.5427769985974754,785.3333333333334,48.0,79.0,3.6666666666666665,6.661290322580646,19.391612903225806,54.300000000000004,8.938311541419717,118928.40000000001,1798.0,1358.1818181818182
29,2016-06-01,1380.0,868.0,292.0,3.0,62.9,1.37,4.76,63.0,46.0,4.63,14.073333333333332,5.206666666666666,2.5,False,False,True,False,False,6,2,1426.0,1380.0,1612.0,1395.3333333333333,-46.0,0.6289855072463768,806.6666666666666,46.0,67.66666666666667,3.6666666666666665,8.866666666666667,16.020358422939065,51.833333333333336,8.851922705314008,3450.0,1740.0,1237.909090909091
30,2016-07-01,1426.0,1002.0,561.0,3.0,70.27,2.48,2.63,114.0,46.0,4.92,12.880645161290325,6.425806451612903,192.9,False,False,True,False,False,7,3,1380.0,1426.0,1380.0,1410.6666666666667,46.0,0.7026647966339411,881.3333333333334,46.0,83.0,3.6666666666666665,6.454838709677421,14.473906810035842,92.93333333333334,9.050775912772023,275075.4,1798.0,1397.8181818181818
31,2016-08-01,1353.0,1156.0,514.0,2.0,85.44,2.59,1.77,113.0,43.65,4.55,14.361290322580643,6.680645161290323,52.1,False,False,False,True,False,8,3,1426.0,1380.0,1426.0,1386.3333333333333,-73.0,0.8543976348854397,1008.6666666666666,45.21666666666667,96.66666666666667,2.6666666666666665,7.680645161290321,13.771756272401433,82.5,12.270252485516055,70491.3,1798.0,1397.2727272727273
32,2016-09-01,1380.0,1063.0,810.0,3.0,77.03,2.15,3.03,99.0,46.0,8.18,17.563333333333333,7.56,19.9,False,True,False,False,False,9,3,1353.0,1426.0,1380.0,1386.3333333333333,27.0,0.7702898550724637,1073.6666666666667,45.21666666666667,108.66666666666667,2.6666666666666665,10.003333333333334,14.935089605734767,88.3,13.528857487922703,27461.999999999996,1740.0,1380.4545454545455
33,2016-10-01,1426.0,850.0,329.0,5.0,59.61,1.43,7.58,66.0,46.0,4.98,17.864516129032257,8.825806451612904,70.8,False,False,False,True,False,10,4,1380.0,1353.0,1426.0,1386.3333333333333,46.0,0.5960729312762973,1023.0,45.21666666666667,92.66666666666667,3.3333333333333335,9.038709677419353,16.59637992831541,47.6,10.64855449486495,100960.8,1767.0,1340.1818181818182
34,2016-11-01,1389.0,892.0,309.0,0.0,64.22,1.36,0.0,63.0,46.3,4.9,22.02,11.153333333333334,13.9,False,False,False,True,False,11,4,1426.0,1380.0,1353.0,1398.3333333333333,-37.0,0.6421886249100072,935.0,46.099999999999994,76.0,2.6666666666666665,10.866666666666665,19.149283154121864,34.86666666666667,14.140993520518357,19307.100000000002,1710.0,1390.090909090909
