,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_NE,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,14735.0,13045.0,12500.0,62.0,88.53,3.65,3.58,1733.0,475.32,7.21,28.81935483870968,13.574193548387097,0.0,False,False,False,False,True,False,1,1,14415.0,14067.0,14650.0,14405.666666666666,320.0,0.8853070919579233,12799.333333333334,469.74,1746.0,64.66666666666667,15.245161290322581,25.47236559139785,8.6,25.513979224361574,0.0,14323.0,14471.916666666666
13,2015-02-01,13382.0,11991.0,12225.0,73.0,89.61,3.45,4.42,1650.0,477.93,7.41,27.928571428571427,13.660714285714286,0.0,False,False,False,False,True,False,2,1,14735.0,14415.0,14067.0,14177.333333333334,-1353.0,0.8960544014347631,12580.666666666666,472.75,1724.3333333333333,69.33333333333333,14.26785714285714,27.371889400921656,7.733333333333333,25.025519354356597,0.0,12997.0,13329.416666666666
14,2015-03-01,15178.0,13745.0,14266.0,78.0,90.56,3.78,4.22,1849.0,489.61,7.72,26.94516129032258,12.63548387096774,4.6000000000000005,False,False,False,False,True,False,3,1,13382.0,14735.0,14415.0,14431.666666666666,1796.0,0.9055870338648043,12927.0,480.9533333333333,1744.0,71.0,14.309677419354841,27.897695852534564,1.5333333333333334,24.40118868991197,69818.8,14344.0,14443.636363636364
15,2015-04-01,14419.0,12933.0,13277.0,62.0,89.69,3.73,3.46,1794.0,480.63,7.4,22.173333333333336,9.536666666666669,36.3,False,False,False,False,True,False,4,2,15178.0,13382.0,14735.0,14326.333333333334,-759.0,0.8969415354740273,12889.666666666666,482.72333333333336,1764.3333333333333,71.0,12.636666666666667,25.682355350742444,13.633333333333333,19.888183646577435,523409.69999999995,14032.0,14017.818181818182
16,2015-05-01,14060.0,12562.0,12846.0,72.0,89.35,3.76,4.22,1706.0,453.55,7.53,16.574193548387097,6.629032258064516,100.5,False,False,False,True,False,False,5,2,14419.0,15178.0,13382.0,14552.333333333334,-359.0,0.8934566145092461,13080.0,474.59666666666664,1783.0,70.66666666666667,9.94516129032258,21.897562724014335,47.13333333333333,14.808322855962924,1413030.0,14535.0,14343.636363636364
17,2015-06-01,13629.0,12487.0,13240.0,63.0,91.62,3.64,3.81,1655.0,454.3,8.0,14.073333333333332,5.213333333333334,162.9,False,False,False,True,False,False,6,2,14060.0,14419.0,15178.0,14036.0,-431.0,0.9162080856996111,12660.666666666666,462.82666666666665,1718.3333333333333,65.66666666666667,8.86,17.606953405017922,99.90000000000002,12.89410179274586,2220164.1,13963.0,13952.90909090909
18,2015-07-01,14095.0,12763.0,13571.0,79.0,90.55,3.76,4.62,1709.0,454.68,7.94,12.480645161290322,4.603225806451612,351.4,False,False,False,True,False,False,7,3,13629.0,14060.0,14419.0,13928.0,466.0,0.9054984036892515,12604.0,454.1766666666667,1690.0,71.33333333333333,7.87741935483871,14.37605734767025,204.9333333333333,11.301204270560367,4952983.0,14531.0,14484.545454545454
19,2015-08-01,14048.0,12858.0,12645.0,77.0,91.53,3.52,4.83,1594.0,453.16,7.93,14.21935483870968,5.487096774193549,329.70000000000005,False,False,False,True,False,False,8,3,14095.0,13629.0,14060.0,13924.0,-47.0,0.9152904328018223,12702.666666666666,454.0466666666667,1652.6666666666667,73.0,8.732258064516131,13.591111111111111,281.3333333333333,13.01483944448527,4631625.600000001,14460.0,14357.636363636364
20,2015-09-01,13742.0,12454.0,11699.0,85.0,90.63,3.59,5.17,1644.0,458.07,7.12,15.486666666666668,5.216666666666667,98.0,False,False,True,False,False,False,9,3,14048.0,14095.0,13629.0,13961.666666666666,-306.0,0.9062727405035658,12691.666666666666,455.30333333333334,1649.0,80.33333333333333,10.270000000000001,14.062222222222225,259.70000000000005,14.035143841265223,1346716.0,13889.0,13745.818181818182
21,2015-10-01,14401.0,13016.0,14022.0,71.0,90.38,3.73,4.1,1731.0,464.55,8.1,17.261290322580646,6.267741935483872,144.2,False,False,True,False,False,False,10,4,13742.0,14048.0,14095.0,14063.666666666666,659.0,0.9038261231858898,12776.0,458.5933333333333,1656.3333333333333,77.66666666666667,10.993548387096773,15.655770609318997,190.63333333333335,15.601205113444182,2076624.1999999997,14650.0,14403.363636363636
22,2015-11-01,13765.0,12309.0,12333.0,68.0,89.42,3.63,4.09,1664.0,458.83,7.41,21.49,9.143333333333334,16.2,False,False,False,False,True,False,11,4,14401.0,13742.0,14048.0,13969.333333333334,-636.0,0.894224482382855,12593.0,460.4833333333333,1679.6666666666667,74.66666666666667,12.346666666666664,18.07931899641577,86.13333333333334,19.216884126407553,222993.0,14067.0,13811.0
23,2015-12-01,13993.0,12283.0,13273.0,87.0,87.78,3.77,5.12,1700.0,451.39,7.81,25.98064516129032,11.48709677419355,1.3,False,False,False,False,True,False,12,4,13765.0,14401.0,13742.0,14053.0,228.0,0.8777960408775817,12536.0,458.25666666666666,1698.3333333333333,75.33333333333333,14.49354838709677,21.577311827956986,53.90000000000001,22.805707462025943,18190.9,14415.0,14314.727272727272
24,2016-01-01,14378.0,12751.0,11779.0,77.0,88.68,3.39,4.9,1572.0,463.81,7.49,28.503225806451614,14.709677419354838,5.1,False,False,False,False,False,True,1,1,13993.0,13765.0,14401.0,14045.333333333334,385.0,0.8868410070941717,12447.666666666666,458.01,1645.3333333333333,77.33333333333333,13.793548387096775,25.324623655913978,7.533333333333352,25.27782947962613,73327.79999999999,14735.0,14471.916666666666
