,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_NE,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,1798.0,1191.0,1148.0,5.0,66.24,2.64,3.27,153.0,58.0,7.5,28.81935483870968,13.574193548387097,0.0,False,False,False,False,True,False,1,1,1798.0,1740.0,1798.0,1778.6666666666667,0.0,0.6624026696329255,1114.6666666666667,58.0,160.0,5.666666666666667,15.245161290322581,25.47236559139785,8.6,19.09001758225986,0.0,1798.0,1686.8333333333333
13,2015-02-01,1624.0,1086.0,1121.0,4.0,66.87,2.86,2.41,166.0,58.0,6.75,27.928571428571427,13.660714285714286,0.0,False,False,False,False,True,False,2,1,1798.0,1798.0,1740.0,1740.0,-174.0,0.6687192118226601,1104.3333333333333,58.0,163.0,5.333333333333333,14.26785714285714,27.371889400921656,7.733333333333333,18.67637227304715,0.0,1624.0,1534.9166666666667
14,2015-03-01,1798.0,1084.0,1093.0,1.0,60.29,3.14,0.55,182.0,58.0,6.01,26.94516129032258,12.63548387096774,4.6000000000000005,False,False,False,False,True,False,3,1,1624.0,1798.0,1798.0,1740.0,174.0,0.6028921023359288,1120.3333333333333,58.0,167.0,3.3333333333333335,14.309677419354841,27.897695852534564,1.5333333333333334,16.24502493810327,8270.800000000001,1798.0,1682.4545454545455
15,2015-04-01,1740.0,944.0,959.0,5.0,54.25,2.53,3.4,147.0,58.0,6.52,22.173333333333336,9.536666666666669,36.3,False,False,False,False,True,False,4,2,1798.0,1624.0,1798.0,1720.6666666666667,-58.0,0.542528735632184,1038.0,58.0,165.0,3.3333333333333335,12.636666666666667,25.682355350742444,13.633333333333333,12.029670498084293,63161.99999999999,1740.0,1628.1818181818182
16,2015-05-01,1798.0,869.0,959.0,5.0,48.33,2.76,3.13,160.0,58.0,5.99,16.574193548387097,6.629032258064516,100.5,False,False,False,True,False,False,5,2,1740.0,1798.0,1624.0,1778.6666666666667,58.0,0.4833147942157953,965.6666666666666,58.0,163.0,3.6666666666666665,9.94516129032258,21.897562724014335,47.13333333333333,8.010552944131472,180699.0,1798.0,1688.090909090909
17,2015-06-01,1740.0,839.0,790.0,8.0,48.22,2.55,5.41,148.0,58.0,5.34,14.073333333333332,5.213333333333334,162.9,False,False,False,True,False,False,6,2,1798.0,1740.0,1798.0,1759.3333333333333,-58.0,0.482183908045977,884.0,58.0,151.66666666666666,6.0,8.86,17.606953405017922,99.90000000000002,6.785934865900383,283446.0,1740.0,1639.090909090909
18,2015-07-01,1798.0,979.0,987.0,10.0,54.45,2.62,6.58,152.0,58.0,6.49,12.480645161290322,4.603225806451612,351.4,False,False,False,True,False,False,7,3,1740.0,1798.0,1740.0,1778.6666666666667,58.0,0.5444938820912124,895.6666666666666,58.0,153.33333333333334,7.666666666666667,7.87741935483871,14.37605734767025,204.9333333333333,6.795634934873873,631817.2,1798.0,1693.7272727272727
19,2015-08-01,1798.0,1038.0,914.0,6.0,57.73,2.53,4.08,147.0,58.0,6.22,14.21935483870968,5.487096774193549,329.70000000000005,False,False,False,True,False,False,8,3,1798.0,1740.0,1798.0,1778.6666666666667,0.0,0.5773081201334817,952.0,58.0,149.0,8.0,8.732258064516131,13.591111111111111,281.3333333333333,8.208949011446412,592800.6000000001,1798.0,1702.1818181818182
20,2015-09-01,1740.0,1005.0,1024.0,4.0,57.76,2.5,2.76,145.0,58.0,7.06,15.486666666666668,5.216666666666667,98.0,False,False,True,False,False,False,9,3,1798.0,1798.0,1740.0,1778.6666666666667,-58.0,0.5775862068965517,1007.3333333333334,58.0,148.0,6.666666666666667,10.270000000000001,14.062222222222225,259.70000000000005,8.944885057471264,170520.0,1740.0,1647.2727272727273
21,2015-10-01,1798.0,969.0,971.0,3.0,53.89,2.34,2.21,136.0,58.0,7.14,17.261290322580646,6.267741935483872,144.2,False,False,True,False,False,False,10,4,1740.0,1798.0,1798.0,1778.6666666666667,58.0,0.5389321468298109,1004.0,58.0,142.66666666666666,4.333333333333333,10.993548387096773,15.655770609318997,190.63333333333335,9.302664250601028,259271.59999999998,1798.0,1702.1818181818182
22,2015-11-01,1740.0,879.0,837.0,4.0,50.52,2.1,3.28,122.0,58.0,6.86,21.49,9.143333333333334,16.2,False,False,False,False,True,False,11,4,1798.0,1740.0,1798.0,1759.3333333333333,-58.0,0.5051724137931034,951.0,58.0,134.33333333333334,3.6666666666666665,12.346666666666664,18.07931899641577,86.13333333333334,10.856155172413791,28188.0,1740.0,1641.8181818181818
23,2015-12-01,1798.0,770.0,915.0,7.0,42.83,2.53,4.76,147.0,58.0,6.22,25.98064516129032,11.48709677419355,1.3,False,False,False,False,True,False,12,4,1740.0,1798.0,1740.0,1778.6666666666667,58.0,0.42825361512791993,872.6666666666666,58.0,135.0,4.666666666666667,14.49354838709677,21.577311827956986,53.90000000000001,11.126305213678279,2337.4,1798.0,1688.090909090909
24,2016-01-01,1674.0,789.0,718.0,7.0,47.13,2.31,5.6,125.0,54.0,5.74,28.503225806451614,14.709677419354838,5.1,False,False,False,False,False,True,1,1,1798.0,1740.0,1798.0,1737.3333333333333,-124.0,0.471326164874552,812.6666666666666,56.666666666666664,131.33333333333334,6.0,13.793548387096775,25.324623655913978,7.533333333333352,13.434316105908199,8537.4,1798.0,1686.8333333333333
25,2016-02-01,1566.0,729.0,687.0,7.0,46.55,2.06,6.31,111.0,54.0,6.19,28.228571428571428,13.867857142857144,0.9,False,False,False,False,True,False,2,1,1674.0,1798.0,1740.0,1679.3333333333333,-108.0,0.46551724137931033,762.6666666666666,55.333333333333336,127.66666666666667,7.0,14.360714285714284,27.570814132104456,2.433333333333352,13.140886699507389,1409.4,1624.0,1534.9166666666667
26,2016-03-01,1674.0,775.0,798.0,5.0,46.3,2.3,4.03,124.0,54.0,6.44,26.93870967741936,12.006451612903223,1.7000000000000002,False,False,False,False,True,False,3,1,1566.0,1674.0,1798.0,1638.0,108.0,0.46296296296296297,764.3333333333334,54.0,120.0,6.333333333333333,14.932258064516137,27.89016897081413,2.5666666666666855,12.471624850657111,2845.8,1798.0,1682.4545454545455
