,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_NE,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,1536.0,787.0,712.0,5.0,51.24,2.56,3.94,127.0,49.55,5.61,28.81935483870968,13.574193548387097,0.0,False,False,False,False,True,False,1,1,1845.0,1755.0,1840.0,1712.0,-309.0,0.5123697916666666,743.0,55.85666666666666,130.0,3.6666666666666665,15.245161290322581,25.47236559139785,8.6,14.766166834677419,0.0,1965.0,1616.4166666666667
13,2015-02-01,1664.0,589.0,676.0,5.0,35.4,1.73,4.85,103.0,59.43,6.56,27.928571428571427,13.660714285714286,0.0,False,False,False,False,True,False,2,1,1536.0,1845.0,1755.0,1681.6666666666667,128.0,0.35396634615384615,682.6666666666666,56.166666666666664,117.33333333333333,3.6666666666666665,14.26785714285714,27.371889400921656,7.733333333333333,9.885774381868131,0.0,1703.0,1514.5
14,2015-03-01,1790.0,855.0,768.0,7.0,47.77,2.13,5.69,123.0,57.74,6.24,26.94516129032258,12.63548387096774,4.6000000000000005,False,False,False,False,True,False,3,1,1664.0,1536.0,1845.0,1663.3333333333333,126.0,0.4776536312849162,743.6666666666666,55.57333333333333,117.66666666666667,5.666666666666667,14.309677419354841,27.897695852534564,1.5333333333333334,12.87045413588034,8234.000000000002,1891.0,1668.909090909091
15,2015-04-01,1742.0,941.0,856.0,1.0,54.02,2.26,0.76,131.0,58.07,6.53,22.173333333333336,9.536666666666669,36.3,False,False,False,False,True,False,4,2,1790.0,1664.0,1536.0,1732.0,-48.0,0.5401836969001148,795.0,58.413333333333334,119.0,4.333333333333333,12.636666666666667,25.682355350742444,13.633333333333333,11.977673172598546,63234.6,1782.0,1610.1818181818182
16,2015-05-01,1788.0,837.0,793.0,6.0,46.81,1.99,5.22,115.0,57.68,6.9,16.574193548387097,6.629032258064516,100.5,False,False,False,True,False,False,5,2,1742.0,1790.0,1664.0,1773.3333333333333,46.0,0.46812080536912754,877.6666666666666,57.830000000000005,123.0,4.666666666666667,9.94516129032258,21.897562724014335,47.13333333333333,7.7587248322147655,179694.0,1838.0,1653.4545454545455
17,2015-06-01,1764.0,838.0,904.0,3.0,47.51,1.87,2.73,110.0,58.8,8.22,14.073333333333332,5.213333333333334,162.9,False,False,False,True,False,False,6,2,1788.0,1742.0,1790.0,1764.6666666666667,-24.0,0.47505668934240364,872.0,58.18333333333333,118.66666666666667,3.3333333333333335,8.86,17.606953405017922,99.90000000000002,6.685631141345427,287355.60000000003,1781.0,1615.6363636363637
18,2015-07-01,1841.0,1011.0,1076.0,4.0,54.92,2.66,2.53,158.0,59.39,6.81,12.480645161290322,4.603225806451612,351.4,False,False,False,True,False,False,7,3,1764.0,1788.0,1742.0,1797.6666666666667,77.0,0.5491580662683324,895.3333333333334,58.623333333333335,127.66666666666667,4.333333333333333,7.87741935483871,14.37605734767025,204.9333333333333,6.853846962555413,646927.3999999999,1841.0,1673.3636363636363
19,2015-08-01,1860.0,960.0,952.0,1.0,51.61,2.08,0.8,125.0,60.0,7.62,14.21935483870968,5.487096774193549,329.70000000000005,False,False,False,True,False,False,8,3,1841.0,1764.0,1788.0,1821.6666666666667,19.0,0.5161290322580645,936.3333333333334,59.39666666666667,131.0,2.6666666666666665,8.732258064516131,13.591111111111111,281.3333333333333,7.339021852237254,613242.0000000001,1840.0,1683.909090909091
20,2015-09-01,1749.0,902.0,933.0,3.0,51.57,2.61,1.97,152.0,58.3,6.14,15.486666666666668,5.216666666666667,98.0,False,False,True,False,False,False,9,3,1860.0,1841.0,1764.0,1816.6666666666667,-111.0,0.5157232704402516,957.6666666666666,59.23,145.0,2.6666666666666665,10.270000000000001,14.062222222222225,259.70000000000005,7.986834381551364,171402.0,1795.0,1627.0
21,2015-10-01,1839.0,1154.0,906.0,4.0,62.75,2.75,2.45,163.0,59.32,5.56,17.261290322580646,6.267741935483872,144.2,False,False,True,False,False,False,10,4,1749.0,1860.0,1841.0,1816.0,90.0,0.6275149537792278,1005.3333333333334,59.20666666666667,146.66666666666666,2.6666666666666665,10.993548387096773,15.655770609318997,190.63333333333335,10.831717798944027,265183.8,1840.0,1658.909090909091
