,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,558.0,285.0,319.0,0.0,51.08,3.22,0.0,58.0,18.0,5.5,30.116129032258065,16.49032258064516,0.2,False,False,True,False,1,1,540.0,540.0,540.0,546.0,18.0,0.510752688172043,289.6666666666667,17.80666666666667,62.0,0.3333333333333333,13.625806451612906,26.959892473118277,7.233333333333333,15.381893860561915,111.60000000000001,434.0,537.0
13,2015-02-01,504.0,325.0,315.0,2.0,64.48,4.28,2.6,77.0,18.0,4.09,28.97142857142857,16.075,4.9,False,False,True,False,2,1,558.0,540.0,540.0,534.0,-54.0,0.6448412698412699,305.3333333333333,17.80666666666667,66.33333333333333,0.6666666666666666,12.896428571428572,28.56036866359447,2.766666666666667,18.681972789115648,2469.6000000000004,392.0,489.9166666666667
14,2015-03-01,558.0,325.0,263.0,0.0,58.24,3.78,0.0,68.0,18.0,3.87,28.625806451612902,15.370967741935484,3.9,False,False,True,False,3,1,504.0,558.0,540.0,540.0,54.0,0.5824372759856631,311.6666666666667,18.0,67.66666666666667,0.6666666666666666,13.254838709677419,29.23778801843318,3.0,16.67273673257024,2176.2,540.0,543.0909090909091
15,2015-04-01,540.0,358.0,323.0,3.0,66.3,4.11,4.05,74.0,18.0,4.36,25.83333333333333,10.77,0.1,False,False,True,False,4,2,558.0,504.0,558.0,534.0,-18.0,0.662962962962963,336.0,18.0,73.0,1.6666666666666667,15.063333333333329,27.810189452124934,2.966666666666667,17.12654320987654,54.0,540.0,527.3636363636364
16,2015-05-01,558.0,352.0,320.0,1.0,63.08,3.0,1.85,54.0,18.0,5.93,20.80322580645161,6.370967741935484,2.2,True,False,False,False,5,2,540.0,558.0,504.0,552.0,18.0,0.6308243727598566,345.0,18.0,65.33333333333333,1.3333333333333333,14.432258064516127,25.087455197132613,2.066666666666667,13.123181870736499,1227.6000000000001,540.0,544.9090909090909
17,2015-06-01,540.0,327.0,441.0,0.0,60.56,2.89,0.0,52.0,18.0,8.48,18.456666666666667,3.533333333333333,1.1,False,True,False,False,6,2,558.0,540.0,558.0,546.0,-18.0,0.6055555555555555,345.6666666666667,18.0,60.0,1.3333333333333333,14.923333333333334,21.697741935483865,1.1333333333333335,11.176537037037036,594.0,540.0,528.8181818181819
18,2015-07-01,558.0,278.0,354.0,0.0,49.82,3.33,0.0,60.0,18.0,5.9,15.416129032258064,2.7548387096774194,68.7,False,True,False,False,7,3,540.0,558.0,540.0,552.0,18.0,0.4982078853046595,319.0,18.0,55.333333333333336,0.3333333333333333,12.661290322580644,18.225340501792115,24.0,7.680437044745057,38334.6,540.0,543.6363636363636
19,2015-08-01,558.0,289.0,274.0,1.0,51.79,3.72,1.49,67.0,18.0,4.09,16.27741935483871,4.890322580645161,153.4,True,False,False,False,8,3,558.0,540.0,558.0,552.0,0.0,0.517921146953405,298.0,18.0,59.666666666666664,0.3333333333333333,11.387096774193548,16.71673835125448,74.39999999999999,8.430419701699618,85597.2,540.0,543.8181818181819
20,2015-09-01,540.0,261.0,231.0,0.0,48.33,3.28,0.0,59.0,18.0,3.92,18.006666666666668,5.446666666666667,99.4,True,False,False,False,9,3,558.0,558.0,540.0,552.0,-18.0,0.48333333333333334,276.0,18.0,62.0,0.3333333333333333,12.56,16.566738351254482,107.16666666666667,8.703222222222223,53676.0,540.0,529.0909090909091
21,2015-10-01,558.0,239.0,299.0,0.0,42.83,3.5,0.0,63.0,18.0,4.75,18.23548387096774,7.216129032258064,113.0,False,False,True,False,10,4,540.0,558.0,558.0,552.0,18.0,0.4283154121863799,263.0,18.0,63.0,0.3333333333333333,11.019354838709678,17.50652329749104,121.93333333333335,7.810538790611631,63054.0,540.0,538.0
