,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,3658.0,2023.0,1407.0,1.0,55.3,2.86,0.3,337.0,118.0,4.18,23.370967741935484,12.761290322580646,0.3,False,False,True,False,1,1,3720.0,3591.0,3720.0,3656.3333333333335,-62.0,0.553034445051941,2286.3333333333335,119.23333333333335,425.6666666666667,4.0,10.609677419354838,19.6878853046595,21.39999999999998,12.924950175488105,1097.3999999999999,3720.0,3387.25
13,2015-02-01,3304.0,1868.0,1550.0,5.0,56.54,2.8,1.52,330.0,118.0,4.7,22.964285714285715,12.646428571428572,0.2,False,False,True,False,2,1,3658.0,3720.0,3591.0,3560.6666666666665,-354.0,0.5653753026634383,2058.3333333333335,118.66666666666667,373.6666666666667,3.6666666666666665,10.317857142857143,21.884869431643626,8.033333333333315,12.983439986163958,660.8000000000001,3360.0,3061.1666666666665
14,2015-03-01,3658.0,2188.0,1493.0,12.0,59.81,3.25,3.13,383.0,118.0,3.9,21.6483870967742,11.561290322580644,18.7,False,False,True,False,3,1,3304.0,3658.0,3720.0,3540.0,354.0,0.598141060688901,2026.3333333333333,118.0,350.0,6.0,10.087096774193556,22.661213517665136,6.399999999999981,12.94878922026844,68404.59999999999,3720.0,3390.909090909091
15,2015-04-01,3540.0,2376.0,1862.0,3.0,67.12,3.92,0.65,463.0,118.0,4.02,17.04,9.953333333333337,103.0,False,False,True,False,4,2,3658.0,3304.0,3658.0,3500.6666666666665,-118.0,0.6711864406779661,2144.0,118.0,392.0,6.666666666666667,7.0866666666666625,20.55089093701997,40.63333333333332,11.437016949152541,364620.0,3600.0,3300.181818181818
16,2015-05-01,3658.0,2315.0,1571.0,8.0,63.29,3.24,2.09,382.0,118.0,4.11,14.083870967741936,8.751612903225807,297.1,False,False,True,False,5,2,3540.0,3658.0,3304.0,3618.6666666666665,118.0,0.6328594860579552,2293.0,118.0,409.3333333333333,7.666666666666667,5.332258064516129,17.590752688172046,139.6,8.913111342351717,1086791.8,3720.0,3421.7272727272725
17,2015-06-01,3540.0,2279.0,1749.0,0.0,64.38,3.47,0.0,410.0,118.0,4.27,11.596666666666666,6.8133333333333335,331.6,False,False,True,False,6,2,3658.0,3540.0,3658.0,3579.3333333333335,-118.0,0.6437853107344633,2323.3333333333335,118.0,418.3333333333333,3.6666666666666665,4.783333333333332,14.240179211469533,243.9,7.465763653483992,1173864.0,3628.0,3322.818181818182
18,2015-07-01,3658.0,2420.0,4349.0,7.0,66.16,3.63,1.64,428.0,118.0,10.16,10.95483870967742,6.003225806451613,494.2,False,False,True,False,7,3,3540.0,3658.0,3540.0,3618.6666666666665,118.0,0.661563696008748,2338.0,118.0,406.6666666666667,5.0,4.951612903225807,12.21179211469534,374.3,7.247323585953898,1807783.5999999999,3721.0,3432.2727272727275
19,2015-08-01,3658.0,2451.0,1973.0,8.0,67.0,3.49,1.94,412.0,118.0,4.79,12.00967741935484,6.609677419354839,392.2,False,False,True,False,8,3,3658.0,3540.0,3658.0,3618.6666666666665,0.0,0.6700382722799344,2383.3333333333335,118.0,416.6666666666667,5.0,5.400000000000001,11.520394265232975,406.0,8.046943508703858,1434667.5999999999,3712.0,3374.2727272727275
20,2015-09-01,3540.0,2410.0,2117.0,10.0,68.08,3.53,2.4,417.0,118.0,5.08,12.726666666666668,5.64,120.4,True,False,False,False,9,3,3658.0,3658.0,3540.0,3618.6666666666665,-118.0,0.6807909604519774,2427.0,118.0,419.0,8.333333333333334,7.086666666666669,11.897060931899643,335.59999999999997,8.664199623352166,426216.0,3612.0,3262.181818181818
21,2015-10-01,3658.0,2395.0,1893.0,10.0,65.47,3.78,2.24,446.0,118.0,4.24,15.348387096774196,7.083870967741936,89.8,False,False,True,False,10,4,3540.0,3658.0,3658.0,3618.6666666666665,118.0,0.6547293603061782,2418.6666666666665,118.0,425.0,9.333333333333334,8.26451612903226,13.361577060931902,200.79999999999995,10.04903966560257,328488.39999999997,3720.0,3341.2727272727275
22,2015-11-01,3540.0,2328.0,1769.0,2.0,65.76,3.74,0.45,441.0,118.0,4.01,17.06,9.16,72.7,False,False,False,True,11,4,3658.0,3540.0,3658.0,3579.3333333333335,-118.0,0.6576271186440678,2377.6666666666665,118.0,434.6666666666667,7.333333333333333,7.899999999999999,15.045017921146956,94.3,11.219118644067795,257358.0,3591.0,3271.3636363636365
23,2015-12-01,3658.0,2404.0,1926.0,6.0,65.72,3.69,1.38,435.0,118.0,4.43,19.42903225806452,10.893548387096772,49.99999999999999,False,False,True,False,12,4,3540.0,3658.0,3540.0,3618.6666666666665,118.0,0.6571897211591033,2375.6666666666665,118.0,440.6666666666667,6.0,8.535483870967749,17.27913978494624,70.83333333333331,12.768560292068646,182899.99999999997,3720.0,3367.181818181818
24,2016-01-01,3443.0,2083.0,1934.0,9.0,60.5,3.27,2.48,363.0,111.06,5.33,23.64516129032258,13.870967741935484,41.0,False,False,True,False,1,1,3658.0,3540.0,3658.0,3547.0,-215.0,0.6049956433343014,2271.6666666666665,115.68666666666667,413.0,5.666666666666667,9.774193548387096,20.0447311827957,54.56666666666664,14.30521956658203,141163.0,3658.0,3387.25
25,2016-02-01,3221.0,1863.0,1448.0,5.0,57.84,3.22,1.4,358.0,111.07,4.04,21.917857142857144,12.835714285714284,16.200000000000003,False,False,True,False,2,1,3443.0,3658.0,3540.0,3440.6666666666665,-222.0,0.5783918037876435,2116.6666666666665,113.37666666666667,385.3333333333333,6.666666666666667,9.08214285714286,21.664016897081414,35.73333333333331,12.67710892801703,52180.20000000001,3304.0,3061.1666666666665
26,2016-03-01,3443.0,1855.0,1712.0,5.0,53.88,2.83,1.59,314.0,111.06,5.45,21.816129032258065,11.54516129032258,37.2,True,False,False,False,3,1,3221.0,3443.0,3658.0,3369.0,222.0,0.5387743247168167,1933.6666666666667,111.06333333333333,345.0,6.333333333333333,10.270967741935484,22.459715821812598,31.46666666666665,11.753970187289779,128079.6,3658.0,3390.909090909091
27,2016-04-01,3332.0,1976.0,1460.0,4.0,59.3,2.97,1.21,330.0,111.07,4.42,15.826666666666666,8.146666666666667,147.6,True,False,False,False,4,2,3443.0,3221.0,3443.0,3332.0,-111.0,0.5930372148859544,1898.0,111.06666666666666,334.0,4.666666666666667,7.68,19.853550947260626,66.99999999999999,9.385802320928372,491803.19999999995,3540.0,3300.181818181818
28,2016-05-01,3443.0,1937.0,1639.0,5.0,56.26,2.75,1.64,305.0,111.06,5.37,15.461290322580645,8.51290322580645,80.3,False,True,False,False,5,2,3332.0,3443.0,3221.0,3406.0,111.0,0.5625907638687191,1922.6666666666667,111.06333333333333,316.3333333333333,4.666666666666667,6.948387096774194,17.70136200716846,88.36666666666666,8.69837913297668,276472.89999999997,3658.0,3421.7272727272725
29,2016-06-01,3332.0,2227.0,1878.0,5.0,66.84,3.56,1.27,395.0,111.07,4.75,12.12,5.0233333333333325,25.8,True,False,False,False,6,2,3443.0,3332.0,3443.0,3369.0,-111.0,0.6683673469387755,2046.6666666666667,111.06666666666666,343.3333333333333,4.666666666666667,7.096666666666667,14.46931899641577,84.56666666666665,8.10061224489796,85965.6,3540.0,3322.818181818182
30,2016-07-01,3443.0,2528.0,1865.0,6.0,73.42,3.66,1.48,406.0,111.06,4.59,10.848387096774196,5.670967741935484,288.2,True,False,False,False,7,3,3332.0,3443.0,3332.0,3406.0,111.0,0.7342433923903573,2230.6666666666665,111.06333333333333,368.6666666666667,5.333333333333333,5.177419354838713,12.80989247311828,131.4333333333333,7.965356543899265,992272.6,3658.0,3432.2727272727275
31,2016-08-01,3443.0,2595.0,2315.0,6.0,75.37,4.39,1.23,488.0,111.06,4.74,12.109677419354838,6.567741935483871,276.6,False,False,True,False,8,3,3443.0,3332.0,3443.0,3406.0,0.0,0.753703165843741,2450.0,111.06333333333333,429.6666666666667,5.666666666666667,5.541935483870968,11.692688172043011,196.86666666666665,9.127102208314206,952333.8,3658.0,3374.2727272727275
32,2016-09-01,3335.0,2421.0,1901.0,9.0,72.59,3.92,2.06,436.0,111.17,4.36,15.07,7.086666666666667,106.2,False,False,True,False,9,3,3443.0,3443.0,3332.0,3407.0,-108.0,0.7259370314842579,2514.6666666666665,111.09666666666668,443.3333333333333,7.0,7.983333333333333,12.676021505376346,223.66666666666666,10.939871064467766,354177.0,3540.0,3262.181818181818
33,2016-10-01,3444.0,2427.0,1886.0,4.0,70.47,3.84,0.94,427.0,111.1,4.42,15.783870967741937,7.829032258064516,148.1,False,False,True,False,10,4,3335.0,3443.0,3443.0,3407.3333333333335,109.0,0.7047038327526133,2481.0,111.11,450.3333333333333,6.333333333333333,7.9548387096774205,14.321182795698926,176.9666666666666,11.122954366640442,510056.39999999997,3658.0,3341.2727272727275
34,2016-11-01,3332.0,2455.0,2160.0,6.0,73.68,3.85,1.4,428.0,111.07,5.05,18.12,9.8,54.0,False,False,True,False,11,4,3444.0,3335.0,3443.0,3370.3333333333335,-112.0,0.7367947178871549,2434.3333333333335,111.11333333333333,430.3333333333333,6.333333333333333,8.32,16.324623655913978,102.76666666666664,13.350720288115248,179928.0,3540.0,3271.3636363636365
