,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,13008.0,10580.0,10122.0,57.0,81.33,4.25,3.19,1785.0,419.61,5.67,24.451612903225808,14.087096774193547,0.0,False,False,False,True,False,1,1,12864.0,12564.0,13028.0,12812.0,144.0,0.8133456334563346,10509.0,417.79333333333335,1839.3333333333333,61.333333333333336,10.36451612903226,21.645806451612902,6.233333333333334,19.88761258580328,0.0,13012.0,12678.25
13,2015-02-01,11825.0,9627.0,8703.0,50.0,81.41,3.76,3.15,1586.0,422.32,5.49,23.660714285714285,13.74642857142857,1.4,False,False,False,True,False,2,1,13008.0,12864.0,12564.0,12565.666666666666,-1183.0,0.814122621564482,10165.666666666666,418.9666666666667,1773.0,55.0,9.914285714285715,23.079377880184335,5.733333333333333,19.262722742373903,16555.0,11792.0,11703.833333333334
14,2015-03-01,13050.0,10973.0,11435.0,58.0,84.08,4.53,3.04,1908.0,420.97,5.99,23.13870967741936,13.36774193548387,2.8000000000000003,False,False,False,True,False,3,1,11825.0,13008.0,12864.0,12627.666666666666,1225.0,0.8408429118773947,10393.333333333334,420.9666666666667,1759.6666666666667,55.0,9.77096774193549,23.75034562211982,1.4000000000000001,19.456020022246946,36540.0,13053.0,12787.181818181818
15,2015-04-01,12412.0,10706.0,10238.0,60.0,86.26,3.84,3.78,1587.0,413.73,6.45,19.88,10.823333333333332,20.6,False,False,False,True,False,4,2,13050.0,11825.0,13008.0,12429.0,-638.0,0.8625523686754754,10435.333333333334,419.00666666666666,1693.6666666666667,56.0,9.056666666666667,22.22647465437788,8.266666666666667,17.14754108926845,255687.2,12624.0,12299.0
16,2015-05-01,12802.0,11056.0,9838.0,56.0,86.36,3.88,3.5,1601.0,412.97,6.14,15.619354838709675,9.016129032258064,68.4,False,False,True,False,False,5,2,12412.0,13050.0,11825.0,12754.666666666666,390.0,0.8636150601468521,10911.666666666666,415.89000000000004,1698.6666666666667,58.0,6.603225806451611,19.546021505376345,30.600000000000005,13.489110068487282,875656.8,13034.0,12705.727272727272
17,2015-06-01,12693.0,10991.0,10820.0,64.0,86.59,4.12,3.67,1744.0,423.1,6.2,14.096666666666666,8.203333333333333,94.8,False,True,False,False,False,6,2,12802.0,12412.0,13050.0,12635.666666666666,-109.0,0.8659103442842512,10917.666666666666,416.6000000000001,1644.0,60.0,5.893333333333333,16.53200716845878,61.26666666666667,12.20644948659366,1203296.4,12588.0,12309.181818181818
18,2015-07-01,13136.0,11442.0,12045.0,81.0,87.1,4.44,4.31,1880.0,423.74,6.41,12.706451612903225,7.370967741935484,230.1,False,True,False,False,False,7,3,12693.0,12802.0,12412.0,12877.0,443.0,0.8710414129110841,11163.0,419.9366666666667,1741.6666666666667,67.0,5.335483870967741,14.140824372759857,131.1,11.067845565989547,3022593.6,12980.0,12775.727272727272
19,2015-08-01,13125.0,11514.0,11099.0,54.0,87.73,4.29,2.97,1817.0,423.39,6.11,13.73225806451613,7.716129032258064,208.5,False,True,False,False,False,8,3,13136.0,12693.0,12802.0,12984.666666666666,-11.0,0.8772571428571428,11315.666666666666,423.41,1813.6666666666667,66.33333333333333,6.016129032258065,13.51179211469534,177.79999999999998,12.046721474654378,2736562.5,12967.0,12747.636363636364
20,2015-09-01,12710.0,10768.0,11045.0,62.0,84.72,3.98,3.67,1688.0,423.67,6.54,14.6,6.976666666666666,105.1,False,True,False,False,False,9,3,13125.0,13136.0,12693.0,12990.333333333334,-415.0,0.84720692368214,11241.333333333334,423.59999999999997,1795.0,65.66666666666667,7.623333333333334,13.679569892473118,181.23333333333335,12.369221085759245,1335821.0,12536.0,12275.636363636364
21,2015-10-01,13127.0,11412.0,10758.0,45.0,86.94,4.08,2.6,1728.0,423.45,6.23,16.116129032258065,8.441935483870967,89.4,False,False,False,True,False,10,4,12710.0,13125.0,13136.0,12987.333333333334,417.0,0.8693532414108326,11231.333333333334,423.50333333333333,1744.3333333333333,53.666666666666664,7.674193548387098,14.816129032258067,134.33333333333334,14.010609013188773,1173553.8,13028.0,12691.181818181818
22,2015-11-01,12718.0,10930.0,11248.0,64.0,85.94,4.05,3.73,1717.0,423.93,6.55,18.65,10.44,9.3,False,False,False,True,False,11,4,13127.0,12710.0,13125.0,12851.666666666666,-409.0,0.8594118572102531,11036.666666666666,423.6833333333334,1711.0,57.0,8.209999999999999,16.45537634408602,67.93333333333334,16.02803113697122,118277.40000000001,12564.0,12275.636363636364
23,2015-12-01,13079.0,10755.0,10767.0,62.0,82.23,4.13,3.56,1743.0,421.9,6.18,21.67096774193548,12.506451612903223,11.7,False,False,False,True,False,12,4,12718.0,13127.0,12710.0,12974.666666666666,361.0,0.8223105742029208,11032.333333333334,423.0933333333333,1729.3333333333333,57.0,9.164516129032258,18.81236559139785,36.800000000000004,17.820265927403938,153024.3,12864.0,12638.90909090909
24,2016-01-01,13143.0,10980.0,10182.0,79.0,83.54,3.67,5.08,1554.0,423.97,6.55,23.56451612903226,14.87741935483871,12.0,False,False,False,False,True,1,1,13079.0,12718.0,13127.0,12980.0,64.0,0.8354257018945446,10888.333333333334,423.26666666666665,1671.3333333333333,68.33333333333333,8.68709677419355,21.29516129032258,11.0,19.68640242690209,157716.0,13008.0,12678.25
25,2016-02-01,12276.0,10257.0,10553.0,69.0,83.55,3.6,4.53,1524.0,423.31,6.92,23.692857142857143,14.1,0.0,False,False,False,True,False,2,1,13143.0,13079.0,12718.0,12832.666666666666,-867.0,0.8355327468230694,10664.0,423.06,1607.0,70.0,9.592857142857143,22.976113671274963,7.8999999999999995,19.79615800865801,0.0,11825.0,11703.833333333334
