,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,11235.0,9249.0,9246.0,31.0,82.32,4.3,1.99,1559.0,362.42,5.93,29.1,16.45806451612903,0.0,False,False,False,True,1,1,11426.0,11311.0,11912.0,11324.0,-191.0,0.8232309746328438,9320.0,369.3433333333333,1558.0,35.0,12.64193548387097,25.889498207885307,7.699999999999995,23.956021361815754,0.0,11540.0,11121.083333333334
13,2015-02-01,10068.0,8212.0,8308.0,34.0,81.57,3.81,2.48,1370.0,359.57,6.06,27.81428571428572,16.021428571428572,0.9,False,False,False,True,2,1,11235.0,11426.0,11311.0,10909.666666666666,-1167.0,0.8156535558204211,8876.333333333334,363.5233333333333,1510.6666666666667,32.0,11.792857142857148,27.4531490015361,2.0333333333333288,22.68682104546229,9061.2,10624.0,10157.166666666666
14,2015-03-01,11440.0,9590.0,8356.0,32.0,83.83,4.47,1.94,1649.0,369.03,5.07,27.616129032258065,15.274193548387096,7.2,False,False,True,False,3,1,10068.0,11235.0,11426.0,10914.333333333334,1372.0,0.8382867132867133,9017.0,363.67333333333335,1526.0,32.333333333333336,12.34193548387097,28.176804915514595,2.6999999999999957,23.150234040153396,82368.0,11811.0,11186.181818181818
15,2015-04-01,10876.0,9233.0,9180.0,35.0,84.89,4.38,2.2,1589.0,362.53,5.78,25.086666666666662,10.48,0.0,True,False,False,False,4,2,11440.0,10068.0,11235.0,10794.666666666666,-564.0,0.8489334314086061,9011.666666666666,363.71,1536.0,33.666666666666664,14.606666666666662,26.839027137736817,2.6999999999999957,21.29691001593723,0.0,11367.0,11128.90909090909
16,2015-05-01,11724.0,9269.0,8561.0,23.0,79.06,3.93,1.55,1486.0,378.19,5.76,20.25483870967742,6.116129032258065,3.5,True,False,False,False,5,2,10876.0,11440.0,10068.0,11346.666666666666,848.0,0.7906004776526783,9364.0,369.9166666666667,1574.6666666666667,30.0,14.138709677419353,24.31921146953405,3.5666666666666615,16.013485158648926,41034.0,11114.0,11726.727272727272
17,2015-06-01,11408.0,9843.0,9428.0,30.0,86.28,4.19,1.88,1595.0,380.27,5.91,18.066666666666663,3.603333333333333,2.4,False,True,False,False,6,2,11724.0,10876.0,11440.0,11336.0,-316.0,0.8628155680224404,9448.333333333334,373.66333333333336,1556.6666666666667,29.333333333333332,14.46333333333333,21.13605734767025,1.9666666666666621,15.588201262272086,27379.2,11062.0,11569.90909090909
18,2015-07-01,11709.0,10766.0,10842.0,29.0,91.95,4.63,1.66,1750.0,377.71,6.2,14.338709677419354,1.9612903225806453,87.89999999999999,False,True,False,False,7,3,11408.0,11724.0,10876.0,11613.666666666666,301.0,0.9194636604321462,9959.333333333334,378.72333333333336,1610.3333333333333,27.333333333333332,12.37741935483871,17.553405017921143,31.266666666666662,13.183922485873838,1029221.0999999999,12174.0,12108.818181818182
19,2015-08-01,11827.0,10664.0,9916.0,45.0,90.17,4.45,2.65,1697.0,381.52,5.84,15.283870967741937,4.145161290322581,173.7,False,True,False,False,8,3,11709.0,11408.0,11724.0,11648.0,118.0,0.901665680223218,10424.333333333334,379.8333333333333,1680.6666666666667,34.666666666666664,11.138709677419357,15.896415770609318,88.0,13.780941912572926,2054349.9,11717.0,11893.818181818182
20,2015-09-01,11191.0,10071.0,10061.0,29.0,89.99,4.65,1.67,1736.0,373.03,5.8,17.026666666666667,4.783333333333333,95.4,True,False,False,False,9,3,11827.0,11709.0,11408.0,11575.666666666666,-636.0,0.8999195782325082,10500.333333333334,377.42,1727.6666666666667,34.333333333333336,12.243333333333334,15.549749103942652,119.0,15.322630685372173,1067621.4000000001,11294.0,11387.09090909091
21,2015-10-01,11484.0,9899.0,9778.0,37.0,86.2,4.57,2.19,1693.0,370.45,5.78,17.33225806451613,6.354838709677419,129.8,False,False,True,False,10,4,11191.0,11827.0,11709.0,11500.666666666666,293.0,0.8619818878439568,10211.333333333334,375.0,1708.6666666666667,37.0,10.977419354838709,16.547598566308242,132.96666666666667,14.940092527050258,1490623.2000000002,11912.0,11768.454545454546
