,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_S,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,3412.0,2316.0,2146.0,9.0,67.88,3.92,2.09,431.0,110.06,4.98,25.548387096774192,14.97741935483871,0.0,False,False,True,1,1,3410.0,3289.0,3384.0,3370.3333333333335,2.0,0.6787807737397421,2299.0,109.89666666666666,484.0,10.666666666666666,10.570967741935481,24.31931899641577,0.0,17.34175396135083,0.0,3460.0,3514.75
13,2015-02-01,3080.0,2089.0,2194.0,14.0,67.82,3.69,3.45,406.0,110.0,5.4,25.9,15.989285714285714,0.0,False,False,True,2,1,3412.0,3410.0,3289.0,3300.6666666666665,-332.0,0.6782467532467532,2236.0,110.02,453.3333333333333,11.333333333333334,9.910714285714285,25.18709677419355,0.0,17.56659090909091,0.0,3038.0,3200.0
14,2015-03-01,3409.0,2346.0,2302.0,8.0,68.82,4.56,1.6,501.0,109.97,4.59,25.05806451612903,16.23548387096774,44.1,False,False,True,3,1,3080.0,3412.0,3410.0,3300.3333333333335,329.0,0.6881783514227046,2250.3333333333335,110.00999999999999,446.0,10.333333333333334,8.822580645161288,25.502150537634407,14.700000000000001,17.244417528553445,150336.9,3398.0,3500.818181818182
15,2015-04-01,3324.0,2369.0,2344.0,6.0,71.27,4.79,1.13,531.0,110.8,4.41,23.34333333333333,14.726666666666668,0.1,False,False,True,4,2,3409.0,3080.0,3412.0,3271.0,-85.0,0.7126955475330926,2268.0,110.25666666666666,479.3333333333333,9.333333333333334,8.616666666666662,24.767132616487455,14.733333333333334,16.63668973124749,332.40000000000003,3310.0,3361.5454545454545
16,2015-05-01,3534.0,2816.0,2740.0,24.0,79.68,4.99,4.22,569.0,114.0,4.82,21.41290322580645,12.806451612903226,0.0,False,False,True,5,2,3324.0,3409.0,3080.0,3422.3333333333335,210.0,0.7968307866440294,2510.3333333333335,111.58999999999999,533.6666666666666,12.666666666666666,8.606451612903223,23.271433691756272,14.733333333333334,17.062460521751827,0.0,3428.0,3475.0
17,2015-06-01,3310.0,2515.0,2366.0,21.0,75.98,4.2,4.54,463.0,110.33,5.11,20.32,10.09,0.0,False,True,False,6,2,3534.0,3324.0,3409.0,3389.3333333333335,-224.0,0.7598187311178247,2566.6666666666665,111.71,521.0,17.0,10.23,21.692078853046592,0.03333333333333333,15.439516616314199,0.0,3306.0,3367.818181818182
18,2015-07-01,3417.0,2521.0,3425.0,15.0,73.78,4.96,2.74,547.0,110.23,6.26,19.135483870967743,9.306451612903226,16.9,False,True,False,7,3,3310.0,3534.0,3324.0,3420.3333333333335,107.0,0.7377816798361135,2617.3333333333335,111.52,526.3333333333334,20.0,9.829032258064517,20.289462365591394,5.633333333333333,14.117809434799439,57747.299999999996,3446.0,3521.3636363636365
19,2015-08-01,3418.0,2521.0,2412.0,8.0,73.76,4.73,1.54,521.0,110.26,4.63,20.71935483870968,10.667741935483871,10.0,False,False,True,8,3,3417.0,3310.0,3534.0,3381.6666666666665,1.0,0.7375658279695728,2519.0,110.27333333333333,510.3333333333333,14.666666666666666,10.05161290322581,20.058279569892473,8.966666666666667,15.28188810660828,34180.0,3411.0,3581.909090909091
20,2015-09-01,3301.0,2328.0,2364.0,13.0,70.52,4.57,2.58,503.0,110.03,4.7,22.546666666666667,11.643333333333334,0.2,False,False,True,9,3,3418.0,3417.0,3310.0,3378.6666666666665,-117.0,0.7052408361102697,2456.6666666666665,110.17333333333335,523.6666666666666,12.0,10.903333333333332,20.800501792114698,9.033333333333333,15.900830051499547,660.2,3300.0,3447.818181818182
21,2015-10-01,3429.0,2481.0,2367.0,13.0,72.35,4.58,2.56,507.0,110.61,4.67,22.783870967741933,12.380645161290325,2.3000000000000003,False,False,True,10,4,3301.0,3418.0,3417.0,3382.6666666666665,128.0,0.7235345581802275,2443.3333333333335,110.3,510.3333333333333,11.333333333333334,10.403225806451609,22.016630824372758,4.166666666666667,16.48491801428047,7886.700000000001,3384.0,3519.0
22,2015-11-01,3299.0,2238.0,2212.0,9.0,67.84,4.54,1.8,499.0,109.97,4.43,23.58333333333333,12.643333333333334,0.0,False,False,True,11,4,3429.0,3301.0,3418.0,3343.0,-130.0,0.6783873901182177,2349.0,110.20333333333333,503.0,11.666666666666666,10.939999999999994,22.971290322580643,0.8333333333333335,15.998635950287964,0.0,3289.0,3414.6363636363635
23,2015-12-01,3498.0,2268.0,2231.0,9.0,64.84,4.69,1.7,529.0,112.84,4.22,25.15806451612903,14.23225806451613,0.0,False,False,True,12,4,3299.0,3429.0,3301.0,3408.6666666666665,199.0,0.6483704974271012,2329.0,111.13999999999999,511.6666666666667,10.333333333333334,10.925806451612901,23.84175627240143,0.7666666666666667,16.311746804625685,0.0,3410.0,3532.2727272727275
