,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_NW,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,1984.0,617.0,474.0,2.0,31.1,1.8,1.74,115.0,64.0,4.12,22.32903225806452,15.47741935483871,0.0,False,False,False,False,True,False,1,1,1984.0,1920.0,1984.0,1962.6666666666667,0.0,0.31098790322580644,683.6666666666666,64.0,147.0,2.6666666666666665,6.851612903225808,20.686379928315414,1.5666666666666664,6.944058922996879,0.0,1984.0,1798.25
13,2015-02-01,1792.0,729.0,726.0,8.0,40.68,2.25,5.56,144.0,64.0,5.04,22.103571428571428,15.303571428571429,1.1,False,False,False,False,True,False,2,1,1984.0,1984.0,1920.0,1920.0,-192.0,0.4068080357142857,671.6666666666666,64.0,143.66666666666666,4.333333333333333,6.799999999999999,21.67645929339478,0.4000000000000001,8.99191047512755,1971.2000000000003,1906.0,1646.9166666666667
14,2015-03-01,1984.0,595.0,626.0,2.0,29.99,1.97,1.59,126.0,64.0,4.97,22.625806451612902,15.638709677419357,4.9,False,False,False,False,True,False,3,1,1792.0,1984.0,1984.0,1920.0,192.0,0.2998991935483871,647.0,64.0,128.33333333333334,4.0,6.987096774193546,22.352803379416287,2.0,6.785461108220604,9721.6,1922.0,1806.4545454545455
15,2015-04-01,1920.0,572.0,902.0,7.0,29.79,2.03,5.38,130.0,64.0,6.94,20.66333333333333,13.136666666666668,0.0,False,False,False,False,True,False,4,2,1984.0,1792.0,1984.0,1898.6666666666667,-64.0,0.29791666666666666,632.0,64.0,133.33333333333334,5.666666666666667,7.526666666666662,21.797570404505887,2.0,6.155951388888888,0.0,1920.0,1753.6363636363637
16,2015-05-01,1984.0,430.0,365.0,1.0,21.67,1.48,1.05,95.0,64.0,3.84,18.038709677419355,10.30967741935484,1.9,False,False,False,False,True,False,5,2,1920.0,1984.0,1792.0,1962.6666666666667,64.0,0.21673387096774194,532.3333333333334,64.0,117.0,3.3333333333333335,7.729032258064516,20.442616487455197,2.266666666666667,3.909599375650364,3769.6,1984.0,1812.090909090909
17,2015-06-01,1920.0,531.0,567.0,9.0,27.66,1.69,8.33,108.0,64.0,5.25,17.006666666666668,8.143333333333334,1.3,False,False,True,False,False,False,6,2,1984.0,1920.0,1984.0,1941.3333333333333,-64.0,0.2765625,511.0,64.0,111.0,5.666666666666667,8.863333333333333,18.569569892473115,1.0666666666666667,4.7034062500000005,2496.0,1920.0,1780.909090909091
18,2015-07-01,1984.0,737.0,742.0,9.0,37.15,2.59,5.42,166.0,64.0,4.47,15.05483870967742,7.712903225806452,61.8,False,False,False,False,True,False,7,3,1920.0,1984.0,1920.0,1962.6666666666667,64.0,0.3714717741935484,566.0,64.0,123.0,6.333333333333333,7.341935483870968,16.700071684587815,21.666666666666668,5.592447645681581,122611.2,1984.0,1840.2727272727273
19,2015-08-01,1984.0,807.0,754.0,4.0,40.68,2.28,2.74,146.0,64.0,5.16,15.651612903225804,9.451612903225806,128.6,False,False,False,False,True,False,8,3,1984.0,1920.0,1984.0,1962.6666666666667,0.0,0.4067540322580645,691.6666666666666,64.0,140.0,7.333333333333333,6.1999999999999975,15.904372759856628,63.9,6.366356659729447,255142.4,1860.0,1812.090909090909
20,2015-09-01,1920.0,806.0,732.0,13.0,41.98,2.48,8.18,159.0,64.0,4.6,16.483333333333334,10.093333333333334,47.5,False,False,False,False,True,False,9,3,1984.0,1984.0,1920.0,1962.6666666666667,-64.0,0.4197916666666667,783.3333333333334,64.0,157.0,8.666666666666666,6.390000000000001,15.729928315412186,79.3,6.919565972222223,91200.0,1800.0,1753.6363636363637
21,2015-10-01,1984.0,582.0,699.0,2.0,29.33,2.11,1.48,135.0,64.0,5.18,16.677419354838708,10.235483870967744,57.8,False,False,False,False,True,False,10,4,1920.0,1984.0,1984.0,1962.6666666666667,64.0,0.2933467741935484,731.6666666666666,64.0,146.66666666666666,6.333333333333333,6.441935483870964,16.27078853046595,77.96666666666665,4.892267169614984,114675.2,1984.0,1823.3636363636363
22,2015-11-01,1920.0,634.0,598.0,2.0,33.02,2.13,1.47,136.0,64.0,4.4,19.226666666666667,11.833333333333334,8.3,False,False,False,False,True,False,11,4,1984.0,1920.0,1984.0,1941.3333333333333,-64.0,0.3302083333333333,674.0,64.0,143.33333333333334,5.666666666666667,7.393333333333333,17.462473118279572,37.86666666666667,6.348805555555556,15936.000000000002,1920.0,1734.5454545454545
23,2015-12-01,1984.0,551.0,555.0,5.0,27.77,2.16,3.62,138.0,64.0,4.02,21.490322580645163,13.970967741935484,0.0,False,False,False,False,True,False,12,4,1920.0,1984.0,1920.0,1962.6666666666667,64.0,0.2777217741935484,589.0,64.0,136.33333333333334,3.0,7.519354838709679,19.13146953405018,22.03333333333333,5.96833051508845,0.0,1984.0,1823.3636363636363
24,2016-01-01,1522.0,635.0,554.0,4.0,41.72,2.44,3.33,120.0,49.1,4.62,23.177419354838708,16.24838709677419,2.0,False,False,False,False,True,False,1,1,1984.0,1920.0,1984.0,1808.6666666666667,-462.0,0.4172141918528252,606.6666666666666,59.03333333333333,131.33333333333334,3.6666666666666665,6.929032258064517,21.298136200716847,3.4333333333333336,9.669948285363061,3044.0,1984.0,1798.25
25,2016-02-01,1421.0,505.0,597.0,1.0,35.54,2.27,0.9,111.0,49.0,5.38,23.035714285714285,15.785714285714286,0.0,False,False,False,False,True,False,2,1,1522.0,1984.0,1920.0,1642.3333333333333,-101.0,0.3553835327234342,563.6666666666666,54.03333333333333,123.0,3.3333333333333335,7.249999999999998,22.56781874039939,0.6666666666666666,8.186513521664823,0.0,1792.0,1646.9166666666667
