,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_S,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,868.0,398.0,1047.0,3.0,45.85,1.82,5.88,51.0,28.0,20.53,30.45483870967742,19.06774193548388,0.0,False,False,True,1,1,868.0,868.0,868.0,868.0,0.0,0.45852534562211983,410.0,28.310000000000002,45.333333333333336,3.0,11.387096774193541,27.67254480286738,2.0,13.964315445220754,0.0,868.0,875.75
13,2015-02-01,784.0,391.0,245.0,4.0,49.87,1.79,8.0,50.0,28.0,4.9,29.13214285714286,18.52142857142857,3.1,False,False,True,2,1,868.0,868.0,868.0,840.0,-84.0,0.4987244897959184,399.6666666666667,28.0,46.666666666666664,3.3333333333333335,10.610714285714291,28.967703533026114,1.4666666666666668,14.52891308309038,2430.4,784.0,805.0
14,2015-03-01,868.0,473.0,437.0,6.0,54.49,1.89,11.32,53.0,28.0,8.25,29.03548387096774,17.864516129032257,1.0,False,True,False,3,1,784.0,868.0,868.0,840.0,84.0,0.5449308755760369,420.6666666666667,28.0,51.333333333333336,4.333333333333333,11.170967741935485,29.540821812596008,1.366666666666667,15.822331648580349,868.0,868.0,868.0
15,2015-04-01,840.0,434.0,305.0,3.0,51.67,1.46,7.32,41.0,28.0,7.44,26.99333333333333,14.4,0.0,False,True,False,4,2,868.0,784.0,868.0,830.6666666666666,-28.0,0.5166666666666667,432.6666666666667,28.0,48.0,4.333333333333333,12.593333333333328,28.386986687147978,1.366666666666667,13.946555555555555,0.0,840.0,840.2727272727273
16,2015-05-01,868.0,570.0,335.0,6.0,65.67,1.54,13.95,43.0,28.0,7.79,22.458064516129035,10.13225806451613,0.3,False,True,False,5,2,840.0,868.0,784.0,858.6666666666666,28.0,0.6566820276497696,492.3333333333333,28.0,45.666666666666664,5.0,12.325806451612905,26.162293906810035,0.43333333333333335,14.747807343540956,260.4,868.0,868.0
17,2015-06-01,840.0,567.0,467.0,5.0,67.5,1.68,10.64,47.0,28.0,9.94,21.25,8.576666666666666,0.0,True,False,False,6,2,868.0,840.0,868.0,849.3333333333334,-28.0,0.675,523.6666666666666,28.0,43.666666666666664,4.666666666666667,12.673333333333334,23.567132616487456,0.09999999999999999,14.343750000000002,0.0,840.0,840.2727272727273
18,2015-07-01,868.0,379.0,892.0,4.0,43.66,1.68,8.51,47.0,28.0,18.98,17.32903225806452,5.690322580645161,76.5,True,False,False,7,3,840.0,868.0,840.0,858.6666666666666,28.0,0.43663594470046085,505.3333333333333,28.0,45.666666666666664,5.0,11.638709677419357,20.345698924731185,25.599999999999998,7.566478370744761,66402.0,868.0,868.0
19,2015-08-01,868.0,496.0,1286.0,4.0,57.14,1.57,9.09,44.0,28.0,29.23,17.529032258064515,8.235483870967741,169.6,False,True,False,8,3,868.0,840.0,868.0,858.6666666666666,0.0,0.5714285714285714,480.6666666666667,28.0,46.0,4.333333333333333,9.293548387096774,18.70268817204301,82.03333333333333,10.01658986175115,147212.8,868.0,876.4545454545455
20,2015-09-01,840.0,477.0,428.0,3.0,56.79,1.68,6.38,47.0,28.0,9.11,18.87,8.433333333333334,52.7,False,True,False,9,3,868.0,868.0,840.0,858.6666666666666,-28.0,0.5678571428571428,450.6666666666667,28.0,46.0,3.6666666666666665,10.436666666666667,17.909354838709678,99.60000000000001,10.715464285714287,44268.0,840.0,848.4545454545455
21,2015-10-01,868.0,507.0,507.0,2.0,58.41,1.79,4.0,50.0,28.0,10.14,18.687096774193545,9.27741935483871,83.60000000000001,False,False,True,10,4,840.0,868.0,868.0,858.6666666666666,28.0,0.5841013824884793,493.3333333333333,28.0,47.0,3.0,9.409677419354836,18.362043010752686,101.96666666666665,10.915159060502452,72564.8,868.0,873.9090909090909
