,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,3063.0,1588.0,1581.0,12.0,51.84,4.16,2.92,411.0,98.81,3.85,29.93870967741936,14.37741935483871,0.2,False,False,False,True,False,1,1,3034.0,3060.0,3157.0,3052.3333333333335,29.0,0.5184459680052237,1491.6666666666667,99.56,382.6666666666667,10.666666666666666,15.561290322580652,26.727240143369176,12.733333333333313,15.52160331953704,612.6,3162.0,3108.1666666666665
13,2015-02-01,3060.0,1336.0,1369.0,2.0,43.66,3.17,0.58,346.0,109.29,3.96,28.70357142857143,14.232142857142858,1.2,False,False,False,True,False,2,1,3063.0,3034.0,3060.0,3052.3333333333335,-3.0,0.4366013071895425,1448.6666666666667,101.99000000000001,370.0,7.333333333333333,14.471428571428572,28.350652841781876,8.466666666666647,12.53201680672269,3672.0,2856.0,2901.9166666666665
14,2015-03-01,3056.0,1395.0,1251.0,5.0,45.65,3.71,1.37,366.0,98.58,3.42,27.72903225806452,12.796774193548387,9.3,False,False,False,True,False,3,1,3060.0,3063.0,3034.0,3059.6666666666665,-4.0,0.45647905759162305,1439.6666666666667,102.22666666666667,374.3333333333333,6.333333333333333,14.932258064516134,28.790437788018437,3.5666666666666482,12.657722513089007,28420.800000000003,3162.0,3140.2727272727275
15,2015-04-01,3060.0,1415.0,1587.0,9.0,46.24,3.85,2.29,393.0,102.0,4.04,23.02,9.513333333333332,21.0,False,False,False,True,False,4,2,3056.0,3060.0,3063.0,3058.6666666666665,4.0,0.4624183006535948,1382.0,103.29,368.3333333333333,5.333333333333333,13.506666666666668,26.484201228878646,10.49999999999998,10.644869281045752,64260.0,2700.0,3071.7272727272725
16,2015-05-01,3060.0,1558.0,1568.0,8.0,50.92,3.57,2.27,352.0,98.71,4.45,17.016129032258064,6.019354838709678,47.9,False,True,False,False,False,5,2,3060.0,3056.0,3060.0,3058.6666666666665,0.0,0.5091503267973856,1456.0,99.76333333333332,370.3333333333333,7.333333333333333,10.996774193548386,22.5883870967742,26.06666666666665,8.663767657600674,146574.0,3162.0,3133.6363636363635
17,2015-06-01,3060.0,1293.0,1393.0,13.0,42.25,3.48,3.66,355.0,102.0,3.92,14.153333333333334,4.116666666666666,133.0,False,False,True,False,False,6,2,3060.0,3060.0,3056.0,3060.0,0.0,0.42254901960784313,1422.0,100.90333333333335,366.6666666666667,10.0,10.036666666666669,18.0631541218638,67.29999999999998,5.980477124183007,406980.0,3060.0,3034.090909090909
18,2015-07-01,3055.0,1392.0,1631.0,12.0,45.56,3.64,3.34,359.0,98.55,4.54,12.52258064516129,3.9967741935483874,307.0,True,False,False,False,False,7,3,3060.0,3060.0,3060.0,3058.3333333333335,-5.0,0.45564648117839607,1414.3333333333333,99.75333333333333,355.3333333333333,11.0,8.525806451612901,14.56401433691756,162.63333333333333,5.705869806240431,937885.0,3138.0,3239.818181818182
19,2015-08-01,3060.0,1721.0,1719.0,7.0,56.24,4.29,1.65,423.0,98.71,4.06,14.196774193548388,5.4,344.5,True,False,False,False,False,8,3,3055.0,3060.0,3060.0,3058.3333333333335,5.0,0.5624183006535948,1468.6666666666667,99.75333333333333,379.0,10.666666666666666,8.796774193548387,13.624229390681004,261.5,7.984525616698292,1054170.0,3036.0,3123.090909090909
20,2015-09-01,3060.0,1458.0,1420.0,9.0,47.65,3.8,2.32,388.0,102.0,3.66,15.566666666666666,4.946666666666667,127.1,False,True,False,False,False,9,3,3060.0,3055.0,3060.0,3058.3333333333335,0.0,0.4764705882352941,1523.6666666666667,99.75333333333333,390.0,9.333333333333334,10.62,14.095340501792114,259.53333333333336,7.417058823529411,388926.0,3060.0,3042.090909090909
21,2015-10-01,3180.0,1544.0,1513.0,14.0,48.55,3.92,3.48,402.0,102.58,3.76,17.23548387096774,5.958064516129032,140.6,False,True,False,False,False,10,4,3060.0,3060.0,3055.0,3100.0,120.0,0.48553459119496856,1574.3333333333333,101.09666666666665,404.3333333333333,10.0,11.27741935483871,15.666308243727599,204.0666666666667,8.368423615337797,447108.0,3157.0,3134.4545454545455
