,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,3981.0,3204.0,5071.0,7.0,80.48,0.6,9.09,77.0,128.42,65.86,29.1,16.45806451612903,0.0,False,False,False,True,1,1,4084.0,4099.0,4133.0,4054.6666666666665,-103.0,0.8048229088168802,3508.0,132.26333333333335,77.66666666666667,8.666666666666666,12.64193548387097,25.889498207885307,7.699999999999995,23.420346646571215,0.0,4853.0,5328.5
13,2015-02-01,3413.0,2729.0,2563.0,5.0,79.96,0.5,8.2,61.0,121.89,42.02,27.81428571428572,16.021428571428572,0.9,False,False,False,True,2,1,3981.0,4084.0,4099.0,3826.0,-568.0,0.7995898036917668,3167.3333333333335,127.34999999999998,74.66666666666667,7.0,11.792857142857148,27.4531490015361,2.0333333333333288,22.240019254112433,3071.7000000000003,4417.0,4892.25
14,2015-03-01,4040.0,3130.0,1771.0,2.0,77.48,0.45,3.45,58.0,130.32,30.53,27.616129032258065,15.274193548387096,7.2,False,False,True,False,3,1,3413.0,3981.0,4084.0,3811.3333333333335,627.0,0.7747524752475248,3021.0,126.87666666666667,65.33333333333333,4.666666666666667,12.34193548387097,28.176804915514595,2.6999999999999957,21.395664324496966,29088.0,4543.0,5294.727272727273
15,2015-04-01,3816.0,3332.0,3680.0,6.0,87.32,0.61,7.79,77.0,127.2,47.79,25.086666666666662,10.48,0.0,True,False,False,False,4,2,4040.0,3413.0,3981.0,3756.3333333333335,-224.0,0.8731656184486373,3063.6666666666665,126.46999999999998,65.33333333333333,4.333333333333333,14.606666666666662,26.839027137736817,2.6999999999999957,21.90481481481481,0.0,4602.0,5173.818181818182
16,2015-05-01,3824.0,3050.0,4058.0,13.0,79.76,0.6,17.57,74.0,123.35,54.84,20.25483870967742,6.116129032258065,3.5,True,False,False,False,5,2,3816.0,4040.0,3413.0,3893.3333333333335,8.0,0.7975941422594143,3170.6666666666665,126.95666666666666,69.66666666666667,7.0,14.138709677419353,24.31921146953405,3.5666666666666615,16.15514070724794,13384.0,4911.0,5513.181818181818
17,2015-06-01,3421.0,2797.0,5273.0,12.0,81.76,0.88,12.0,100.0,114.03,52.73,18.066666666666663,3.603333333333333,2.4,False,True,False,False,6,2,3824.0,3816.0,4040.0,3687.0,-403.0,0.8175971938029816,3059.6666666666665,121.52666666666666,83.66666666666667,10.333333333333334,14.46333333333333,21.13605734767025,1.9666666666666621,14.771255968040531,8210.4,5030.0,5397.454545454545
18,2015-07-01,4182.0,3357.0,2715.0,8.0,80.27,1.08,5.48,146.0,134.9,18.6,14.338709677419354,1.9612903225806453,87.89999999999999,False,True,False,False,7,3,3421.0,3824.0,3816.0,3809.0,761.0,0.802725968436155,3068.0,124.09333333333335,106.66666666666667,11.0,12.37741935483871,17.553405017921143,31.266666666666662,11.510054611931318,367597.8,4911.0,5679.727272727273
19,2015-08-01,4111.0,3709.0,2220.0,5.0,90.22,0.93,4.07,123.0,132.61,18.05,15.283870967741937,4.145161290322581,173.7,False,True,False,False,8,3,4182.0,3421.0,3824.0,3904.6666666666665,-71.0,0.90221357333982,3287.6666666666665,127.18,123.0,8.333333333333334,11.138709677419357,15.896415770609318,88.0,13.789315840271186,714080.7,4290.0,5689.727272727273
20,2015-09-01,3881.0,3611.0,4413.0,12.0,93.04,0.87,10.62,113.0,129.37,39.05,17.026666666666667,4.783333333333333,95.4,True,False,False,False,9,3,4111.0,4182.0,3421.0,4058.0,-230.0,0.9304303014686937,3559.0,132.29333333333335,127.33333333333333,8.333333333333334,12.243333333333334,15.549749103942652,119.0,15.842126599673625,370247.4,3944.0,5395.363636363636
21,2015-10-01,4149.0,3491.0,2708.0,7.0,84.14,0.61,8.54,82.0,133.84,33.02,17.33225806451613,6.354838709677419,129.8,False,False,True,False,10,4,3881.0,4111.0,4182.0,4047.0,268.0,0.8414075680886961,3603.6666666666665,131.94000000000003,106.0,8.0,10.977419354838709,16.547598566308242,132.96666666666667,14.583493107550206,538540.2000000001,4133.0,5443.727272727273
