,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_S,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,4964.0,3673.0,3323.0,18.0,73.99,4.58,2.46,733.0,160.13,4.53,30.45483870967742,19.06774193548388,0.0,False,False,True,1,1,4977.0,4813.0,4973.0,4918.0,-13.0,0.7399274778404512,3658.3333333333335,160.37,777.0,17.0,11.387096774193541,27.67254480286738,2.0,22.534371994489355,0.0,4837.0,4923.75
13,2015-02-01,4492.0,3519.0,3418.0,20.0,78.34,4.12,3.03,661.0,160.43,5.17,29.13214285714286,18.52142857142857,3.1,False,False,True,2,1,4964.0,4977.0,4813.0,4811.0,-472.0,0.7833926981300089,3576.6666666666665,160.37,747.6666666666666,17.666666666666668,10.610714285714291,28.967703533026114,1.4666666666666668,22.82190799516601,13925.2,4368.0,4536.416666666667
14,2015-03-01,4961.0,3966.0,3688.0,9.0,79.94,5.07,1.11,812.0,160.03,4.54,29.03548387096774,17.864516129032257,1.0,False,True,False,3,1,4492.0,4964.0,4977.0,4805.666666666667,469.0,0.7994355976617618,3719.3333333333335,160.1966666666667,735.3333333333334,15.666666666666666,11.170967741935485,29.540821812596008,1.366666666666667,23.21199940178554,4961.0,5053.0,4950.636363636364
15,2015-04-01,4833.0,3955.0,4101.0,11.0,81.83,5.0,1.36,806.0,161.1,5.09,26.99333333333333,14.4,0.0,False,True,False,4,2,4961.0,4492.0,4964.0,4762.0,-128.0,0.8183322987792262,3813.3333333333335,160.52,759.6666666666666,13.333333333333334,12.593333333333328,28.386986687147978,1.366666666666667,22.089516518380574,0.0,4892.0,4768.454545454545
16,2015-05-01,4972.0,3953.0,3817.0,9.0,79.51,4.73,1.19,758.0,160.39,5.04,22.458064516129035,10.13225806451613,0.3,False,True,False,5,2,4833.0,4961.0,4492.0,4922.0,139.0,0.7950522928399034,3958.0,160.50666666666666,792.0,9.666666666666666,12.325806451612905,26.162293906810035,0.43333333333333335,17.855335686294865,1491.6,5084.0,4947.454545454545
17,2015-06-01,4822.0,3998.0,4002.0,14.0,82.91,5.01,1.74,805.0,160.73,4.97,21.25,8.576666666666666,0.0,True,False,False,6,2,4972.0,4833.0,4961.0,4875.666666666667,-150.0,0.8291165491497304,3968.6666666666665,160.73999999999998,789.6666666666666,11.333333333333334,12.673333333333334,23.567132616487456,0.09999999999999999,17.618726669431773,0.0,4818.0,4787.454545454545
18,2015-07-01,4973.0,3988.0,4276.0,20.0,80.19,4.68,2.67,750.0,160.42,5.7,17.32903225806452,5.690322580645161,76.5,True,False,False,7,3,4822.0,4972.0,4833.0,4922.333333333333,151.0,0.8019304242911723,3979.6666666666665,160.51333333333332,771.0,14.333333333333334,11.638709677419357,20.345698924731185,25.599999999999998,13.896678191265092,380434.5,4976.0,4875.545454545455
19,2015-08-01,4963.0,4185.0,4091.0,17.0,84.32,4.88,2.18,781.0,160.1,5.24,17.529032258064515,8.235483870967741,169.6,False,True,False,8,3,4973.0,4822.0,4972.0,4919.333333333333,-10.0,0.843239975821076,4057.0,160.41666666666666,778.6666666666666,17.0,9.293548387096774,18.70268817204301,82.03333333333333,14.781180737457182,841724.7999999999,4960.0,4915.545454545455
20,2015-09-01,4808.0,3836.0,4010.0,18.0,79.78,5.07,2.21,813.0,160.27,4.93,18.87,8.433333333333334,52.7,False,True,False,9,3,4963.0,4973.0,4822.0,4914.666666666667,-155.0,0.7978369384359401,4003.0,160.26333333333332,781.3333333333334,18.333333333333332,10.436666666666667,17.909354838709678,99.60000000000001,15.055183028286189,253381.6,4825.0,4776.636363636364
21,2015-10-01,4969.0,4168.0,3850.0,21.0,83.88,5.09,2.57,816.0,160.29,4.72,18.687096774193545,9.27741935483871,83.60000000000001,False,False,True,10,4,4808.0,4963.0,4973.0,4913.333333333333,161.0,0.8388005634936607,4063.0,160.22,803.3333333333334,18.666666666666668,9.409677419354836,18.362043010752686,101.96666666666665,15.674747304254115,415408.4,4973.0,4917.181818181818
22,2015-11-01,4787.0,3995.0,4239.0,19.0,83.46,5.06,2.35,808.0,159.57,5.25,22.473333333333336,11.346666666666666,19.3,False,False,True,11,4,4969.0,4808.0,4963.0,4854.666666666667,-182.0,0.8345519114267809,3999.6666666666665,160.04333333333332,812.3333333333334,19.333333333333332,11.12666666666667,20.010143369175626,51.866666666666674,18.755163289464523,92389.1,4813.0,4829.0
23,2015-12-01,4950.0,3926.0,4120.0,18.0,79.31,5.12,2.2,818.0,159.68,5.04,28.31612903225807,16.283870967741937,0.6000000000000001,False,False,True,12,4,4787.0,4969.0,4808.0,4902.0,163.0,0.7931313131313131,4029.6666666666665,159.84666666666666,814.0,19.333333333333332,12.032258064516132,23.158853046594984,34.50000000000001,22.45840860215054,2970.0000000000005,4977.0,4943.272727272727
24,2016-01-01,4949.0,4015.0,3716.0,17.0,81.13,4.67,2.28,745.0,159.65,4.99,28.970967741935485,17.77741935483871,5.1,False,False,True,1,1,4950.0,4787.0,4969.0,4895.333333333333,-1.0,0.8112750050515256,3978.6666666666665,159.63333333333333,790.3333333333334,18.0,11.193548387096776,26.586810035842294,8.333333333333334,23.503422001186298,25239.899999999998,4964.0,4923.75
