,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,3162.0,2476.0,2512.0,3.0,78.3,3.69,0.8,376.0,102.0,6.68,26.04516129032258,13.851612903225806,0.0,False,False,False,True,False,1,1,3162.0,3060.0,3162.0,3128.0,0.0,0.7830487033523087,2390.6666666666665,102.0,394.3333333333333,1.3333333333333333,12.193548387096772,22.89627240143369,6.233333333333334,20.39462977698884,0.0,2139.0,3304.3333333333335
13,2015-02-01,2856.0,1932.0,1883.0,2.0,67.65,2.92,0.67,298.0,102.0,6.32,25.071428571428573,13.475,1.4,False,False,False,True,False,2,1,3162.0,3162.0,3060.0,3060.0,-306.0,0.6764705882352942,2267.6666666666665,102.0,368.0,2.0,11.596428571428573,24.468970814132103,5.733333333333333,16.960084033613448,3998.3999999999996,1884.0,2960.5
14,2015-03-01,3159.0,2379.0,2527.0,2.0,75.31,3.43,0.57,350.0,101.9,7.22,24.34193548387097,12.980645161290322,2.8000000000000003,False,False,False,True,False,3,1,2856.0,3162.0,3162.0,3059.0,303.0,0.7530864197530864,2262.3333333333335,101.96666666666665,341.3333333333333,2.3333333333333335,11.361290322580647,25.15284178187404,1.4000000000000001,18.331581043409003,8845.2,3667.0,3361.2727272727275
15,2015-04-01,3038.0,2310.0,2406.0,4.0,76.04,3.77,1.05,382.0,101.27,6.3,20.69333333333333,10.3,20.6,False,False,False,True,False,4,2,3159.0,2856.0,3162.0,3017.6666666666665,-121.0,0.7603686635944701,2207.0,101.72333333333331,343.3333333333333,2.6666666666666665,10.39333333333333,23.368899129544292,8.266666666666667,15.734562211981567,62582.8,3570.0,3279.4545454545455
16,2015-05-01,2931.0,1939.0,1961.0,0.0,66.15,2.5,0.0,236.0,94.55,8.31,15.932258064516128,8.412903225806453,68.4,False,False,True,False,False,5,2,3038.0,3159.0,2856.0,3042.6666666666665,-107.0,0.6615489593995223,2209.3333333333335,99.24,322.6666666666667,2.0,7.519354838709676,20.322508960573476,30.600000000000005,10.539968743465291,200480.40000000002,3577.0,3388.909090909091
17,2015-06-01,3027.0,2150.0,2339.0,1.0,71.03,3.33,0.3,336.0,100.9,6.96,14.113333333333332,7.153333333333333,94.8,False,True,False,False,False,6,2,2931.0,3038.0,3159.0,2998.6666666666665,96.0,0.7102741988767757,2133.0,98.90666666666668,318.0,1.6666666666666667,6.959999999999998,16.912974910394265,61.26666666666667,10.024336526814226,286959.6,3570.0,3269.181818181818
18,2015-07-01,3159.0,2306.0,2355.0,2.0,73.0,3.85,0.51,392.0,101.9,6.01,12.661290322580646,6.464516129032258,230.1,False,True,False,False,False,7,3,3027.0,2931.0,3038.0,3039.0,132.0,0.7299778410889523,2131.6666666666665,99.11666666666667,321.3333333333333,1.0,6.1967741935483875,14.235627240143367,131.1,9.242461375077864,726885.9,3689.0,3393.7272727272725
19,2015-08-01,3162.0,2344.0,2381.0,1.0,74.13,3.64,0.27,371.0,102.0,6.42,13.816129032258065,7.0,208.5,False,True,False,False,False,8,3,3159.0,3027.0,2931.0,3116.0,3.0,0.7413029728020241,2266.6666666666665,101.60000000000001,366.3333333333333,1.3333333333333333,6.816129032258065,13.530250896057348,177.79999999999998,10.241937524229256,659277.0,3159.0,3403.909090909091
20,2015-09-01,3060.0,2254.0,1852.0,5.0,73.66,3.45,1.42,352.0,102.0,5.26,14.886666666666668,6.126666666666667,105.1,False,True,False,False,False,9,3,3162.0,3159.0,3027.0,3127.0,-102.0,0.7366013071895425,2301.3333333333335,101.96666666666668,371.6666666666667,2.6666666666666665,8.760000000000002,13.788028673835127,181.23333333333335,10.965538126361658,321606.0,3060.0,3278.909090909091
21,2015-10-01,3162.0,2330.0,2538.0,3.0,73.69,3.83,0.77,391.0,102.0,6.49,16.519354838709678,7.67741935483871,89.4,False,False,False,True,False,10,4,3060.0,3162.0,3159.0,3128.0,102.0,0.736875395319418,2309.3333333333335,102.0,371.3333333333333,3.0,8.841935483870968,15.074050179211469,134.33333333333334,12.172706127195935,282682.80000000005,3162.0,3407.818181818182
22,2015-11-01,3060.0,2071.0,2117.0,0.0,67.68,3.47,0.0,354.0,102.0,5.98,19.496666666666663,9.803333333333336,9.3,False,False,False,True,False,11,4,3162.0,3060.0,3162.0,3094.0,-102.0,0.6767973856209151,2218.3333333333335,102.0,365.6666666666667,2.6666666666666665,9.693333333333326,16.96756272401434,67.93333333333334,13.195293028322437,28458.000000000004,3060.0,3300.5454545454545
23,2015-12-01,3016.0,1876.0,2230.0,0.0,62.2,3.45,0.0,336.0,97.29,6.64,22.88064516129032,11.99032258064516,11.7,False,False,False,True,False,12,4,3060.0,3162.0,3060.0,3079.3333333333335,-44.0,0.6220159151193634,2092.3333333333335,100.42999999999999,360.3333333333333,1.0,10.890322580645162,19.63222222222222,36.800000000000004,14.232125438521432,35287.2,3162.0,3412.090909090909
24,2016-01-01,3115.0,2121.0,2011.0,0.0,68.09,3.4,0.0,342.0,100.48,5.88,24.65806451612903,14.483870967741936,12.0,False,False,False,False,True,1,1,3016.0,3060.0,3162.0,3063.6666666666665,99.0,0.6808988764044944,2022.6666666666667,99.92333333333333,344.0,0.0,10.174193548387095,22.34512544802867,11.0,16.78964842334179,37380.0,3162.0,3304.3333333333335
25,2016-02-01,2935.0,2280.0,1923.0,3.0,77.68,3.25,0.91,329.0,101.21,5.84,24.978571428571428,13.75357142857143,0.0,False,False,False,True,False,2,1,3115.0,3016.0,3060.0,3022.0,-180.0,0.7768313458262351,2092.3333333333335,99.66000000000001,335.6666666666667,1.0,11.224999999999998,24.17242703533026,7.8999999999999995,19.404137259673888,0.0,2856.0,2960.5
26,2016-03-01,3277.0,2681.0,2747.0,4.0,81.81,3.57,1.06,377.0,105.71,7.29,24.187096774193545,12.419354838709678,9.9,False,False,False,True,False,3,1,2935.0,3115.0,3016.0,3109.0,342.0,0.8181263350625572,2360.6666666666665,102.46666666666665,349.3333333333333,2.3333333333333335,11.767741935483867,24.607910906298002,7.3,19.788100839674364,32442.300000000003,3159.0,3361.2727272727275
27,2016-04-01,3223.0,2765.0,2551.0,1.0,85.79,3.85,0.24,414.0,107.43,6.16,17.52,8.926666666666668,69.6,False,True,False,False,False,4,2,3277.0,2935.0,3115.0,3145.0,-54.0,0.8578963698417623,2575.3333333333335,104.78333333333332,373.3333333333333,2.6666666666666665,8.593333333333332,22.228556067588325,26.5,15.030344399627676,224320.8,3038.0,3279.4545454545455
28,2016-05-01,3505.0,2959.0,2966.0,0.0,84.42,3.87,0.0,438.0,113.06,6.77,16.467741935483872,9.806451612903226,83.4,True,False,False,False,False,5,2,3223.0,3277.0,2935.0,3335.0,282.0,0.8442225392296719,2801.6666666666665,108.73333333333333,409.6666666666667,1.6666666666666667,6.661290322580646,19.391612903225806,54.300000000000004,13.902438912153146,292317.0,2931.0,3388.909090909091
29,2016-06-01,3404.0,2733.0,2777.0,2.0,80.29,3.56,0.5,404.0,113.47,6.87,14.073333333333332,5.206666666666666,2.5,False,False,True,False,False,6,2,3505.0,3223.0,3277.0,3377.3333333333335,-101.0,0.8028789659224442,2819.0,111.32000000000001,418.6666666666667,1.0,8.866666666666667,16.020358422939065,51.833333333333336,11.29918331374853,8510.0,3027.0,3269.181818181818
30,2016-07-01,3529.0,2725.0,2690.0,2.0,77.22,3.48,0.51,396.0,113.84,6.79,12.880645161290325,6.425806451612903,192.9,False,False,True,False,False,7,3,3404.0,3505.0,3223.0,3479.3333333333335,125.0,0.7721734202323605,2805.6666666666665,113.45666666666666,412.6666666666667,1.3333333333333333,6.454838709677421,14.473906810035842,92.93333333333334,9.946091828992953,680744.1,3159.0,3393.7272727272725
31,2016-08-01,3521.0,2815.0,2843.0,0.0,79.95,3.93,0.0,446.0,113.58,6.37,14.361290322580643,6.680645161290323,52.1,False,False,False,True,False,8,3,3529.0,3404.0,3505.0,3484.6666666666665,-8.0,0.7994887815961375,2757.6666666666665,113.63,415.3333333333333,1.3333333333333333,7.680645161290321,13.771756272401433,82.5,11.481690502148398,183444.1,3162.0,3403.909090909091
32,2016-09-01,3402.0,2606.0,2960.0,5.0,76.6,3.86,1.14,438.0,113.4,6.76,17.563333333333333,7.56,19.9,False,True,False,False,False,9,3,3521.0,3529.0,3404.0,3484.0,-119.0,0.7660199882422105,2715.3333333333335,113.60666666666667,426.6666666666667,2.3333333333333335,10.003333333333334,14.935089605734767,88.3,13.453864393494024,67699.79999999999,3060.0,3278.909090909091
33,2016-10-01,3491.0,2273.0,2211.0,0.0,65.11,3.61,0.0,407.0,112.61,5.43,17.864516129032257,8.825806451612904,70.8,False,False,False,True,False,10,4,3402.0,3521.0,3529.0,3471.3333333333335,89.0,0.6511028358636494,2564.6666666666665,113.19666666666667,430.3333333333333,1.6666666666666667,9.038709677419353,16.59637992831541,47.6,11.631637112944807,247162.8,3162.0,3407.818181818182
34,2016-11-01,3098.0,2269.0,2073.0,1.0,73.24,2.99,0.32,309.0,103.27,6.71,22.02,11.153333333333334,13.9,False,False,False,True,False,11,4,3491.0,3402.0,3521.0,3330.3333333333335,-393.0,0.7324080051646223,2382.6666666666665,109.75999999999999,384.6666666666667,2.0,10.866666666666665,19.149283154121864,34.86666666666667,16.127624273724983,43062.200000000004,3060.0,3300.5454545454545
35,2016-12-01,3516.0,2723.0,2735.0,1.0,77.45,4.08,0.22,463.0,113.42,5.91,22.60967741935484,12.387096774193548,33.6,False,False,False,False,True,12,4,3098.0,3491.0,3402.0,3368.3333333333335,418.0,0.7744596131968146,2421.6666666666665,109.76666666666667,393.0,0.6666666666666666,10.22258064516129,20.831397849462366,39.43333333333333,17.5102820286983,118137.6,3016.0,3412.090909090909
36,2017-01-01,3488.0,2783.0,2577.0,1.0,79.79,3.71,0.24,417.0,112.52,6.18,26.606451612903225,13.906451612903227,4.0,False,False,False,True,False,1,1,3516.0,3098.0,3491.0,3367.3333333333335,-28.0,0.7978784403669725,2591.6666666666665,109.73666666666666,396.3333333333333,1.0,12.699999999999998,23.745376344086022,17.166666666666668,21.228714116602546,13952.0,3115.0,3304.3333333333335
37,2017-02-01,3163.0,2518.0,2153.0,1.0,79.61,3.19,0.28,360.0,112.96,5.98,24.410714285714285,13.964285714285714,8.4,False,False,False,False,True,2,1,3488.0,3516.0,3098.0,3389.0,-325.0,0.7960796711982295,2674.6666666666665,112.96666666666665,413.3333333333333,1.0,10.446428571428571,24.54228110599078,15.333333333333334,19.432873402285352,26569.2,2935.0,2960.5
38,2017-03-01,3552.0,3019.0,3398.0,3.0,84.99,4.09,0.64,469.0,114.58,7.25,21.9,11.929032258064517,25.1,False,False,False,True,False,3,1,3163.0,3488.0,3516.0,3401.0,389.0,0.8499436936936937,2773.3333333333335,113.35333333333331,415.3333333333333,1.6666666666666667,9.970967741935482,24.305721966205837,12.5,18.613766891891892,89155.20000000001,3277.0,3361.2727272727275
39,2017-04-01,3444.0,2681.0,2409.0,0.0,77.85,3.57,0.0,410.0,114.8,5.88,19.293333333333333,9.936666666666667,25.7,False,False,False,True,False,4,2,3552.0,3163.0,3488.0,3386.3333333333335,-108.0,0.7784552845528455,2739.3333333333335,114.11333333333333,413.0,1.3333333333333333,9.356666666666666,21.868015873015867,19.733333333333334,15.0189972899729,88510.8,3223.0,3279.4545454545455
40,2017-05-01,3553.0,2918.0,3094.0,0.0,82.13,3.93,0.0,450.0,114.61,6.88,14.97741935483871,6.658064516129032,107.3,False,True,False,False,False,5,2,3444.0,3552.0,3163.0,3516.3333333333335,109.0,0.8212777934140163,2872.6666666666665,114.66333333333334,443.0,1.0,8.319354838709678,18.72358422939068,52.699999999999996,12.300621918778315,381236.89999999997,3505.0,3388.909090909091
41,2017-06-01,3444.0,2781.0,2539.0,1.0,80.75,3.55,0.25,407.0,114.8,6.24,13.08,5.543333333333334,212.9,False,False,True,False,False,6,2,3553.0,3444.0,3552.0,3480.3333333333335,-109.0,0.8074912891986062,2793.3333333333335,114.73666666666666,422.3333333333333,0.3333333333333333,7.536666666666666,15.783584229390678,115.30000000000001,10.56198606271777,733227.6,3404.0,3269.181818181818
42,2017-07-01,3560.0,3025.0,3344.0,3.0,84.97,3.74,0.7,429.0,114.84,7.79,13.070967741935483,4.729032258064516,102.3,False,True,False,False,False,7,3,3444.0,3553.0,3444.0,3519.0,116.0,0.8497191011235955,2908.0,114.75,428.6666666666667,1.3333333333333333,8.341935483870968,13.709462365591397,140.83333333333334,11.106650960492932,364188.0,3529.0,3393.7272727272725
43,2017-08-01,3542.0,2806.0,2870.0,1.0,79.22,3.68,0.24,420.0,114.26,6.83,12.24516129032258,4.970967741935484,217.1,False,False,False,True,False,8,3,3560.0,3444.0,3553.0,3515.3333333333335,-18.0,0.7922077922077922,2870.6666666666665,114.63333333333333,418.6666666666667,1.6666666666666667,7.274193548387096,12.798709677419355,177.4333333333333,9.700712191034771,768968.2,3521.0,3403.909090909091
44,2017-09-01,3373.0,2525.0,2719.0,0.0,74.86,3.58,0.0,402.0,112.43,6.76,14.906666666666666,5.526666666666667,83.8,False,False,False,True,False,9,3,3542.0,3560.0,3444.0,3491.6666666666665,-169.0,0.7485917580788616,2785.3333333333335,113.84333333333332,417.0,1.3333333333333333,9.379999999999999,13.407598566308243,134.4,11.159007807095563,282657.39999999997,3402.0,3278.909090909091
45,2017-10-01,3540.0,2964.0,2669.0,5.0,83.73,3.63,1.21,414.0,114.19,6.45,15.64516129032258,7.648387096774194,90.1,False,False,False,True,False,10,4,3373.0,3542.0,3560.0,3485.0,167.0,0.8372881355932204,2765.0,113.62666666666667,412.0,2.0,7.9967741935483865,14.265663082437277,130.33333333333334,13.099507927829414,318954.0,3491.0,3407.818181818182
46,2017-11-01,3440.0,2895.0,3250.0,4.0,84.16,4.07,0.86,467.0,114.67,6.96,19.726666666666667,9.78,38.4,False,False,False,True,False,11,4,3540.0,3373.0,3542.0,3451.0,-100.0,0.8415697674418605,2794.6666666666665,113.76333333333334,427.6666666666667,3.0,9.946666666666667,16.759498207885304,70.76666666666667,16.60136627906977,132096.0,3098.0,3300.5454545454545
47,2017-12-01,3521.0,2934.0,2919.0,2.0,83.33,3.94,0.45,447.0,113.58,6.53,22.335483870967742,11.741935483870968,2.3000000000000003,False,False,False,True,False,12,4,3440.0,3540.0,3373.0,3500.3333333333335,81.0,0.8332859982959386,2931.0,114.14666666666666,442.6666666666667,3.6666666666666665,10.593548387096774,19.235770609318998,43.6,18.61184597484219,8098.300000000001,3516.0,3412.090909090909
48,2018-01-01,3512.0,2966.0,2840.0,1.0,84.45,4.18,0.21,473.0,113.29,6.0,24.506451612903227,12.948387096774193,7.0,False,False,False,True,False,1,1,3521.0,3440.0,3540.0,3491.0,-9.0,0.8445330296127562,2931.6666666666665,113.84666666666668,462.3333333333333,2.3333333333333335,11.558064516129035,22.18953405017921,15.9,20.696507825703577,24584.0,3488.0,3304.3333333333335
49,2018-02-01,3121.0,2679.0,2559.0,1.0,85.84,3.77,0.24,420.0,111.46,6.09,24.310714285714287,13.096428571428572,23.5,False,False,False,False,True,2,1,3512.0,3521.0,3440.0,3384.6666666666665,-391.0,0.8583787247677026,2859.6666666666665,112.77666666666666,446.6666666666667,1.3333333333333333,11.214285714285715,23.717549923195083,10.933333333333332,20.8677999267634,73343.5,3163.0,2960.5
50,2018-03-01,3486.0,3010.0,3104.0,4.0,86.35,4.16,0.85,468.0,112.45,6.63,21.003225806451614,10.712903225806452,55.4,False,False,False,True,False,3,1,3121.0,3512.0,3521.0,3373.0,365.0,0.8634538152610441,2885.0,112.39999999999999,453.6666666666667,2.0,10.290322580645162,23.27346390168971,28.633333333333336,18.135315455369867,193124.4,3552.0,3361.2727272727275
51,2018-04-01,3359.0,2874.0,3021.0,1.0,85.56,4.15,0.22,465.0,111.97,6.5,17.023333333333333,8.15,71.8,False,False,False,True,False,4,2,3486.0,3121.0,3512.0,3322.0,-127.0,0.855611789222983,2854.3333333333335,111.96,451.0,2.0,8.873333333333333,20.779091141833078,50.23333333333333,14.56536469187258,241176.19999999998,3444.0,3279.4545454545455
52,2018-05-01,3543.0,2937.0,2951.0,1.0,82.9,4.6,0.19,526.0,114.29,5.61,15.006451612903223,8.038709677419355,145.0,False,True,False,False,False,5,2,3359.0,3486.0,3121.0,3462.6666666666665,184.0,0.8289585097375106,2940.3333333333335,112.90333333333335,486.3333333333333,2.0,6.967741935483868,17.677670250896057,90.73333333333333,12.439725765480318,513735.0,3553.0,3388.909090909091
53,2018-06-01,3445.0,2950.0,2869.0,1.0,85.63,4.55,0.19,523.0,114.83,5.49,12.55,4.176666666666667,131.4,False,True,False,False,False,6,2,3543.0,3359.0,3486.0,3449.0,-98.0,0.8563134978229318,2920.3333333333335,113.69666666666667,504.6666666666667,1.0,8.373333333333335,14.859928315412185,116.06666666666666,10.746734397677795,452673.0,3444.0,3269.181818181818
54,2018-07-01,3564.0,2764.0,2676.0,2.0,77.55,3.8,0.46,437.0,114.97,6.12,12.561290322580644,4.632258064516129,131.5,False,False,True,False,False,7,3,3445.0,3543.0,3359.0,3517.3333333333335,119.0,0.7755331088664422,2883.6666666666665,114.69666666666666,495.3333333333333,1.3333333333333333,7.929032258064516,13.37258064516129,135.96666666666667,9.741696535244921,468666.0,3560.0,3393.7272727272725
55,2018-08-01,3559.0,3123.0,3365.0,2.0,87.75,4.5,0.39,517.0,114.81,6.51,13.80967741935484,5.054838709677419,97.0,False,False,False,True,False,8,3,3564.0,3445.0,3543.0,3522.6666666666665,-5.0,0.877493677999438,2945.6666666666665,114.87,492.3333333333333,1.6666666666666667,8.75483870967742,12.973655913978495,119.96666666666665,12.117904630695465,345223.0,3542.0,3403.909090909091
56,2018-09-01,3438.0,2467.0,2194.0,1.0,71.76,3.39,0.26,388.0,114.6,5.65,14.983333333333333,6.803333333333333,157.79999999999998,False,False,False,True,False,9,3,3559.0,3564.0,3445.0,3520.3333333333335,-121.0,0.7175683536940082,2784.6666666666665,114.79333333333334,447.3333333333333,1.6666666666666667,8.18,13.784767025089605,128.76666666666665,10.751565832848556,542516.3999999999,3373.0,3278.909090909091
57,2018-10-01,3548.0,3030.0,3175.0,3.0,85.4,4.34,0.6,497.0,114.45,6.39,15.806451612903226,7.241935483870968,76.89999999999999,False,False,False,False,True,10,4,3438.0,3559.0,3564.0,3515.0,110.0,0.8540022547914318,2873.3333333333335,114.62,467.3333333333333,2.0,8.564516129032258,14.86648745519713,110.56666666666666,13.498745317671018,272841.19999999995,3540.0,3407.818181818182
58,2018-11-01,3374.0,2722.0,2731.0,0.0,80.68,3.4,0.0,382.0,112.47,7.15,19.086666666666662,9.45,77.3,False,False,False,True,False,11,4,3548.0,3438.0,3559.0,3453.3333333333335,-174.0,0.8067575577949022,2739.6666666666665,113.83999999999999,422.3333333333333,1.3333333333333333,9.636666666666663,16.62548387096774,104.0,15.398312586445364,260810.19999999998,3440.0,3300.5454545454545
59,2018-12-01,3493.0,2688.0,2885.0,2.0,76.95,3.95,0.45,445.0,112.68,6.48,21.948387096774194,11.535483870967743,31.8,False,False,False,True,False,12,4,3374.0,3548.0,3438.0,3471.6666666666665,119.0,0.7695390781563126,2813.3333333333335,113.2,441.3333333333333,1.6666666666666667,10.412903225806451,18.94716845878136,62.0,16.89014157346952,111077.40000000001,3521.0,3412.090909090909
