,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_NE,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,1240.0,608.0,501.0,2.0,49.03,2.8,1.79,112.0,40.0,4.47,17.725806451612904,12.816129032258065,14.0,False,False,False,False,True,False,1,1,1240.0,1200.0,1240.0,1226.6666666666667,0.0,0.49032258064516127,620.3333333333334,40.0,121.33333333333333,2.0,4.909677419354839,15.848853046594982,50.23333333333333,8.691363163371488,17360.0,1240.0,1055.6666666666667
13,2015-02-01,1120.0,496.0,519.0,3.0,44.29,2.55,2.94,102.0,40.0,5.09,16.942857142857143,12.389285714285714,15.5,False,False,False,False,True,False,2,1,1240.0,1240.0,1200.0,1200.0,-120.0,0.44285714285714284,544.3333333333334,40.0,112.66666666666667,2.0,4.553571428571429,16.81536098310292,31.3,7.503265306122449,17360.0,1120.0,968.5833333333334
14,2015-03-01,1054.0,490.0,472.0,7.0,46.49,3.47,5.93,118.0,34.0,4.0,17.219354838709677,11.751612903225809,64.0,False,False,False,False,True,False,3,1,1120.0,1240.0,1240.0,1138.0,-66.0,0.4648956356736243,531.3333333333334,38.0,110.66666666666667,4.0,5.467741935483868,17.296006144393242,31.166666666666668,8.005202913631633,67456.0,1240.0,1045.7272727272727
15,2015-04-01,1020.0,498.0,511.0,1.0,48.82,3.12,0.94,106.0,34.0,4.82,14.633333333333333,10.153333333333334,155.1,False,False,False,False,True,False,4,2,1054.0,1120.0,1240.0,1064.6666666666667,-34.0,0.48823529411764705,494.6666666666667,36.0,108.66666666666667,3.6666666666666665,4.479999999999999,16.265181771633383,78.2,7.144509803921568,158202.0,1200.0,1014.4545454545455
16,2015-05-01,1054.0,395.0,416.0,0.0,37.48,2.97,0.0,101.0,34.0,4.12,13.196774193548388,10.04516129032258,324.2,False,False,True,False,False,False,5,2,1020.0,1054.0,1120.0,1042.6666666666667,34.0,0.3747628083491461,461.0,34.0,108.33333333333333,2.6666666666666665,3.151612903225807,15.016487455197131,181.1,4.945660157923731,341706.8,1240.0,1055.8181818181818
17,2015-06-01,1020.0,486.0,388.0,0.0,47.65,2.79,0.0,95.0,34.0,4.08,10.996666666666666,8.026666666666667,250.0,False,False,False,False,True,False,6,2,1054.0,1020.0,1054.0,1031.3333333333333,-34.0,0.4764705882352941,459.6666666666667,34.0,100.66666666666667,0.3333333333333333,2.969999999999999,12.94225806451613,243.1,5.239588235294117,255000.0,1200.0,1019.4545454545455
18,2015-07-01,1054.0,631.0,654.0,7.0,59.87,3.94,5.22,134.0,34.0,4.88,10.425806451612903,7.387096774193548,403.7,False,False,True,False,False,False,7,3,1020.0,1054.0,1020.0,1042.6666666666667,34.0,0.5986717267552182,504.0,34.0,110.0,2.3333333333333335,3.038709677419355,11.539749103942652,325.96666666666664,6.241635551202791,425499.8,1240.0,1065.2727272727273
19,2015-08-01,1054.0,632.0,533.0,2.0,59.96,3.32,1.77,113.0,34.0,4.72,10.6,7.509677419354839,360.2,False,False,True,False,False,False,8,3,1054.0,1020.0,1054.0,1042.6666666666667,0.0,0.5996204933586338,583.0,34.0,114.0,3.0,3.090322580645161,10.67415770609319,337.9666666666667,6.355977229601518,379650.8,1240.0,1062.8181818181818
20,2015-09-01,1020.0,668.0,705.0,4.0,65.49,4.18,2.82,142.0,34.0,4.96,10.913333333333332,7.25,116.5,False,False,True,False,False,False,9,3,1054.0,1054.0,1020.0,1042.6666666666667,-34.0,0.6549019607843137,643.6666666666666,34.0,129.66666666666666,4.333333333333333,3.663333333333332,10.646379928315412,293.4666666666667,7.147163398692809,118830.0,1200.0,1034.2727272727273
21,2015-10-01,1054.0,684.0,528.0,2.0,64.9,3.88,1.52,132.0,34.0,4.0,12.96774193548387,8.325806451612904,104.8,False,False,True,False,False,False,10,4,1020.0,1054.0,1054.0,1042.6666666666667,34.0,0.6489563567362429,661.3333333333334,34.0,129.0,2.6666666666666665,4.6419354838709666,11.493691756272403,193.83333333333334,8.415498561547407,110459.2,1240.0,1057.2727272727273
