,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,1271.0,771.0,826.0,5.0,60.66,4.59,2.66,188.0,41.0,4.39,19.425806451612903,7.487096774193549,0.8,False,False,False,True,False,1,1,1364.0,1320.0,1364.0,1318.3333333333333,-93.0,0.6066089693154996,816.0,43.0,182.66666666666666,3.3333333333333335,11.938709677419354,15.166344086021505,46.13333333333333,11.783868429735286,1016.8000000000001,1364.0,1163.0833333333333
13,2015-02-01,1148.0,707.0,810.0,4.0,61.59,4.9,1.99,201.0,41.0,4.03,19.339285714285715,7.524999999999999,3.9,False,False,False,True,False,2,1,1271.0,1364.0,1320.0,1261.0,-123.0,0.6158536585365854,768.6666666666666,42.0,190.66666666666666,4.0,11.814285714285717,17.789439324116746,23.33333333333334,11.910169860627178,4477.2,1232.0,1060.25
14,2015-03-01,1273.0,830.0,740.0,2.0,65.2,4.63,1.05,190.0,41.06,3.89,18.36774193548387,7.396774193548388,9.7,False,False,False,True,False,3,1,1148.0,1271.0,1364.0,1230.6666666666667,125.0,0.6520031421838177,769.3333333333334,41.02,193.0,3.6666666666666665,10.970967741935482,19.044278033794164,4.8,11.975825456756962,12348.099999999999,1364.0,1156.5454545454545
15,2015-04-01,1224.0,851.0,716.0,5.0,69.53,4.75,2.58,194.0,40.8,3.69,12.436666666666667,5.02,114.3,False,False,False,True,False,4,2,1273.0,1148.0,1271.0,1215.0,-49.0,0.6952614379084967,796.0,40.95333333333333,195.0,3.6666666666666665,7.416666666666668,16.71456477214542,42.63333333333333,8.646734749455337,139903.19999999998,1311.0,1145.7272727272727
16,2015-05-01,1271.0,746.0,739.0,0.0,58.69,3.88,0.0,159.0,41.0,4.65,8.567741935483872,2.364516129032258,324.2,False,True,False,False,False,5,2,1224.0,1273.0,1148.0,1256.0,47.0,0.5869394177812746,809.0,40.95333333333333,181.0,2.3333333333333335,6.203225806451614,13.124050179211471,149.4,5.028745463313114,412058.2,1334.0,1180.3636363636363
17,2015-06-01,1230.0,674.0,552.0,3.0,54.8,3.61,2.03,148.0,41.0,3.73,5.569999999999999,0.2466666666666666,528.1,False,True,False,False,False,6,2,1271.0,1224.0,1273.0,1241.6666666666667,-41.0,0.5479674796747968,757.0,40.93333333333333,167.0,2.6666666666666665,5.323333333333332,8.858136200716846,322.2,3.0521788617886174,649563.0,1290.0,1147.090909090909
18,2015-07-01,1257.0,845.0,830.0,3.0,67.22,4.46,1.66,181.0,40.55,4.59,4.554838709677419,-1.0258064516129033,420.0,False,False,True,False,False,7,3,1230.0,1271.0,1224.0,1252.6666666666667,27.0,0.6722354813046937,755.0,40.85,162.66666666666666,2.0,5.580645161290322,6.230860215053763,424.1000000000001,3.06192419226525,527940.0,1333.0,1195.2727272727273
19,2015-08-01,1266.0,790.0,716.0,8.0,62.4,4.58,4.28,187.0,40.84,3.83,6.658064516129032,0.0838709677419355,438.8,False,True,False,False,False,8,3,1257.0,1230.0,1271.0,1251.0,9.0,0.6240126382306477,769.6666666666666,40.79666666666667,172.0,4.666666666666667,6.574193548387097,5.594301075268817,462.3,4.154716404219538,555520.8,1364.0,1190.1818181818182
20,2015-09-01,1230.0,862.0,784.0,3.0,70.08,4.22,1.73,173.0,41.0,4.53,7.426666666666667,-1.0633333333333332,218.6,False,False,False,True,False,9,3,1266.0,1257.0,1230.0,1251.0,-36.0,0.7008130081300813,832.3333333333334,40.79666666666667,180.33333333333334,4.666666666666667,8.49,6.213189964157706,359.1333333333334,5.204704607046071,268878.0,1320.0,1150.4545454545455
21,2015-10-01,1271.0,807.0,655.0,2.0,63.49,3.83,1.27,157.0,41.0,4.17,10.319354838709677,0.6838709677419355,160.4,False,True,False,False,False,10,4,1230.0,1266.0,1257.0,1255.6666666666667,41.0,0.6349331235247836,819.6666666666666,40.946666666666665,172.33333333333334,4.333333333333333,9.635483870967741,8.134695340501791,272.59999999999997,6.552100200502524,203868.4,1364.0,1180.1818181818182
22,2015-11-01,1230.0,823.0,737.0,2.0,66.91,4.17,1.17,171.0,41.0,4.31,12.46,3.03,88.10000000000001,False,False,False,False,True,11,4,1271.0,1230.0,1266.0,1243.6666666666667,-41.0,0.6691056910569105,830.6666666666666,41.0,167.0,2.3333333333333335,9.430000000000001,10.068673835125448,155.70000000000002,8.337056910569105,108363.00000000001,1320.0,1150.909090909091
23,2015-12-01,1271.0,742.0,616.0,4.0,58.38,3.78,2.58,155.0,41.0,3.97,14.78064516129032,4.903225806451613,114.6,False,False,False,True,False,12,4,1230.0,1271.0,1230.0,1257.3333333333333,41.0,0.5837922895357985,790.6666666666666,41.0,161.0,2.6666666666666665,9.877419354838707,12.520000000000001,121.03333333333335,8.628826679525899,145656.6,1364.0,1189.2727272727273
24,2016-01-01,1260.0,730.0,598.0,5.0,57.94,3.54,3.47,144.0,40.65,4.15,18.796774193548387,8.651612903225805,41.6,False,False,False,True,False,1,1,1271.0,1230.0,1271.0,1253.6666666666667,-11.0,0.5793650793650794,765.0,40.88333333333333,156.66666666666666,3.6666666666666665,10.145161290322582,15.345806451612901,81.43333333333334,10.890194572452637,52416.0,1271.0,1163.0833333333333
25,2016-02-01,1174.0,727.0,566.0,2.0,61.93,3.63,1.36,147.0,40.48,3.85,17.460714285714285,7.575,17.4,False,False,False,True,False,2,1,1260.0,1271.0,1230.0,1235.0,-86.0,0.6192504258943782,733.0,40.71,148.66666666666666,3.6666666666666665,9.885714285714286,17.012711213517665,57.86666666666665,10.812554757848625,20427.6,1148.0,1060.25
26,2016-03-01,1271.0,669.0,564.0,3.0,52.64,3.22,2.27,132.0,41.0,4.27,18.458064516129035,6.82258064516129,38.6,False,True,False,False,False,3,1,1174.0,1260.0,1271.0,1235.0,97.0,0.5263571990558615,708.6666666666666,40.71,141.0,3.3333333333333335,11.635483870967745,18.23851766513057,32.53333333333333,9.715535138702064,49060.6,1273.0,1156.5454545454545
27,2016-04-01,1230.0,660.0,605.0,1.0,53.66,3.2,0.76,131.0,41.0,4.62,10.98,2.7366666666666664,212.6,False,True,False,False,False,4,2,1271.0,1174.0,1260.0,1225.0,-41.0,0.5365853658536586,685.3333333333334,40.82666666666666,136.66666666666666,2.0,8.243333333333334,15.632926267281107,89.53333333333332,5.8917073170731715,261498.0,1224.0,1145.7272727272727
28,2016-05-01,1271.0,679.0,613.0,3.0,53.42,3.12,2.34,128.0,41.0,4.79,10.903225806451612,3.335483870967742,104.3,True,False,False,False,False,5,2,1230.0,1271.0,1174.0,1257.3333333333333,41.0,0.5342250196695515,669.3333333333334,41.0,130.33333333333334,2.3333333333333335,7.56774193548387,13.447096774193549,118.5,5.824776020913174,132565.3,1271.0,1180.3636363636363
29,2016-06-01,1228.0,686.0,643.0,6.0,55.86,3.59,4.08,147.0,40.93,4.37,7.393333333333333,-0.93,40.5,False,False,True,False,False,6,2,1271.0,1230.0,1271.0,1243.0,-43.0,0.5586319218241043,675.0,40.97666666666667,135.33333333333334,3.3333333333333335,8.323333333333332,9.75885304659498,119.13333333333333,4.130152008686211,49734.0,1230.0,1147.090909090909
30,2016-07-01,1269.0,741.0,537.0,4.0,58.39,2.96,3.31,121.0,40.94,4.44,5.703225806451614,-0.2838709677419354,347.3,True,False,False,False,False,7,3,1228.0,1271.0,1230.0,1256.0,41.0,0.5839243498817966,702.0,40.95666666666667,132.0,4.333333333333333,5.9870967741935495,7.999928315412187,164.03333333333333,3.330252421261344,440723.7,1257.0,1195.2727272727273
31,2016-08-01,1271.0,804.0,778.0,4.0,63.26,3.39,2.88,139.0,41.0,5.6,6.580645161290323,-0.5258064516129033,387.6,False,True,False,False,False,8,3,1269.0,1228.0,1271.0,1256.0,2.0,0.6325727773406766,743.6666666666666,40.95666666666667,135.66666666666666,4.666666666666667,7.106451612903227,6.559068100358424,258.4666666666667,4.162736986370905,492639.60000000003,1266.0,1190.1818181818182
