,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,2362.0,1020.0,903.0,4.0,43.18,3.91,1.34,298.0,76.19,3.03,29.93870967741936,14.37741935483871,0.2,False,False,False,True,False,1,1,2348.0,2257.0,2328.0,2322.3333333333335,14.0,0.43183742591024554,948.0,75.72000000000001,306.3333333333333,4.666666666666667,15.561290322580652,26.727240143369176,12.733333333333313,12.928655322170934,472.40000000000003,2337.0,2368.1666666666665
13,2015-02-01,2108.0,817.0,901.0,6.0,38.76,3.41,2.33,257.0,75.29,3.51,28.70357142857143,14.232142857142858,1.2,False,False,False,True,False,2,1,2362.0,2348.0,2257.0,2272.6666666666665,-254.0,0.38757115749525617,906.0,75.74,282.3333333333333,4.333333333333333,14.471428571428572,28.350652841781876,8.466666666666647,11.124676402819192,2529.6,2100.0,1982.5
14,2015-03-01,2363.0,1029.0,1023.0,8.0,43.55,4.18,2.51,319.0,76.23,3.21,27.72903225806452,12.796774193548387,9.3,False,False,False,True,False,3,1,2108.0,2362.0,2348.0,2277.6666666666665,255.0,0.4354633939906898,955.3333333333334,75.90333333333335,291.3333333333333,6.0,14.932258064516134,28.790437788018437,3.5666666666666482,12.074978499174097,21975.9,2384.0,2406.6363636363635
15,2015-04-01,2259.0,1048.0,1104.0,10.0,46.39,4.2,3.16,316.0,75.3,3.49,23.02,9.513333333333332,21.0,False,False,False,True,False,4,2,2363.0,2108.0,2362.0,2243.3333333333335,-104.0,0.4639220894200974,964.6666666666666,75.60666666666667,297.3333333333333,8.0,13.506666666666668,26.484201228878646,10.49999999999998,10.679486498450641,47439.0,2281.0,2310.6363636363635
16,2015-05-01,2333.0,1020.0,953.0,5.0,43.72,3.41,1.95,257.0,75.26,3.71,17.016129032258064,6.019354838709678,47.9,False,True,False,False,False,5,2,2259.0,2363.0,2108.0,2318.3333333333335,74.0,0.4372053150450064,1032.3333333333333,75.59666666666668,297.3333333333333,7.666666666666667,10.996774193548386,22.5883870967742,26.06666666666665,7.439542054394868,111750.7,2339.0,2423.7272727272725
17,2015-06-01,2251.0,995.0,1075.0,10.0,44.2,3.78,3.52,284.0,75.03,3.79,14.153333333333334,4.116666666666666,133.0,False,False,True,False,False,6,2,2333.0,2259.0,2363.0,2281.0,-82.0,0.4420257663260773,1021.0,75.19666666666666,285.6666666666667,8.333333333333334,10.036666666666669,18.0631541218638,67.29999999999998,6.256138012735081,299383.0,2263.0,2262.909090909091
18,2015-07-01,2325.0,978.0,960.0,9.0,42.06,3.72,3.23,279.0,75.0,3.44,12.52258064516129,3.9967741935483874,307.0,True,False,False,False,False,7,3,2251.0,2333.0,2259.0,2303.0,74.0,0.4206451612903226,997.6666666666666,75.09666666666668,273.3333333333333,8.0,8.525806451612901,14.56401433691756,162.63333333333333,5.267562955254943,713775.0,2361.0,2411.909090909091
19,2015-08-01,2325.0,1140.0,1106.0,4.0,49.03,3.8,1.4,285.0,75.0,3.88,14.196774193548388,5.4,344.5,True,False,False,False,False,8,3,2325.0,2251.0,2333.0,2300.3333333333335,0.0,0.49032258064516127,1037.6666666666667,75.01,282.6666666666667,7.666666666666667,8.796774193548387,13.624229390681004,261.5,6.960998959417274,800962.5,2338.0,2332.5454545454545
20,2015-09-01,2263.0,1178.0,1312.0,4.0,52.05,4.73,1.12,357.0,75.43,3.68,15.566666666666666,4.946666666666667,127.1,False,True,False,False,False,9,3,2325.0,2325.0,2251.0,2304.3333333333335,-62.0,0.5205479452054794,1098.6666666666667,75.14333333333333,307.0,5.666666666666667,10.62,14.095340501792114,259.53333333333336,8.103196347031963,287627.3,2250.0,2259.7272727272725
21,2015-10-01,2353.0,1105.0,1112.0,3.0,46.96,4.01,0.99,304.0,75.9,3.66,17.23548387096774,5.958064516129032,140.6,False,True,False,False,False,10,4,2263.0,2325.0,2325.0,2313.6666666666665,90.0,0.4696132596685083,1141.0,75.44333333333333,315.3333333333333,3.6666666666666665,11.27741935483871,15.666308243727599,204.0666666666667,8.09401176260916,330831.8,2328.0,2399.5454545454545
