,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,558.0,298.0,322.0,2.0,53.41,1.89,5.88,34.0,18.0,9.47,29.187096774193545,14.33548387096774,0.2,False,False,False,True,1,1,558.0,540.0,558.0,552.0,0.0,0.5340501792114696,319.0,18.0,39.333333333333336,2.0,14.851612903225805,26.480143369175625,4.833333333333338,15.587374262920568,111.60000000000001,558.0,558.0
13,2015-02-01,504.0,418.0,395.0,2.0,82.94,2.22,5.0,40.0,18.0,9.88,27.67142857142857,14.125,37.400000000000006,False,False,False,True,2,1,558.0,558.0,540.0,540.0,-54.0,0.8293650793650794,337.6666666666667,18.0,39.333333333333336,1.6666666666666667,13.54642857142857,27.686175115207373,13.566666666666672,22.94971655328798,18849.600000000002,504.0,466.5
14,2015-03-01,558.0,404.0,292.0,4.0,72.4,2.0,11.11,36.0,18.0,8.11,27.68387096774193,13.9,5.6,False,False,True,False,3,1,504.0,558.0,558.0,540.0,54.0,0.7240143369175627,373.3333333333333,18.0,36.666666666666664,2.6666666666666665,13.783870967741931,28.18079877112135,14.400000000000006,20.04351948202104,3124.7999999999997,558.0,557.4545454545455
15,2015-04-01,540.0,342.0,339.0,2.0,63.33,2.22,5.0,40.0,18.0,8.48,25.043333333333333,10.963333333333331,0.0,False,False,False,True,4,2,558.0,504.0,558.0,534.0,-18.0,0.6333333333333333,388.0,18.0,38.666666666666664,2.6666666666666665,14.080000000000002,26.799544290834614,14.333333333333341,15.860777777777777,0.0,541.0,540.0909090909091
16,2015-05-01,558.0,379.0,342.0,2.0,67.92,2.11,5.26,38.0,18.0,9.0,20.13225806451613,6.467741935483871,0.6,False,False,False,True,5,2,540.0,558.0,504.0,552.0,18.0,0.6792114695340502,375.0,18.0,38.0,2.6666666666666665,13.664516129032258,24.286487455197133,2.0666666666666713,13.674060585038733,334.8,558.0,558.0
17,2015-06-01,540.0,356.0,644.0,2.0,65.93,2.17,5.13,39.0,18.0,16.51,17.959999999999997,4.413333333333333,0.0,False,False,False,True,6,2,558.0,540.0,558.0,546.0,-18.0,0.6592592592592592,359.0,18.0,39.0,2.0,13.546666666666663,21.045197132616483,0.20000000000000473,11.840296296296295,0.0,540.0,540.0
18,2015-07-01,558.0,410.0,556.0,2.0,73.48,2.22,5.0,40.0,18.0,13.9,14.63548387096774,3.574193548387097,83.4,False,False,False,True,7,3,540.0,558.0,540.0,552.0,18.0,0.7347670250896058,381.6666666666667,18.0,39.0,2.0,11.061290322580643,17.575913978494622,28.000000000000004,10.753670944617873,46537.200000000004,560.0,557.5454545454545
19,2015-08-01,558.0,410.0,415.0,0.0,73.48,2.39,0.0,43.0,18.0,9.65,15.12258064516129,5.761290322580645,168.5,False,False,False,True,8,3,558.0,540.0,558.0,552.0,0.0,0.7347670250896058,392.0,18.0,40.666666666666664,1.3333333333333333,9.361290322580647,15.906021505376343,83.96666666666668,11.111573592322813,94023.0,558.0,558.0
20,2015-09-01,540.0,379.0,405.0,1.0,70.19,2.67,2.08,48.0,18.0,8.44,16.79,5.913333333333333,74.2,False,False,False,True,9,3,558.0,558.0,540.0,552.0,-18.0,0.7018518518518518,399.6666666666667,18.0,43.666666666666664,1.0,10.876666666666665,15.516021505376344,108.7,11.784092592592591,40068.0,540.0,539.5454545454545
21,2015-10-01,558.0,388.0,352.0,4.0,69.53,1.67,13.33,30.0,18.0,11.73,17.038709677419355,6.732258064516128,94.1,False,False,False,True,10,4,540.0,558.0,558.0,552.0,18.0,0.6953405017921147,392.3333333333333,18.0,40.333333333333336,1.6666666666666667,10.306451612903228,16.317096774193548,112.26666666666667,11.847704936986934,52507.799999999996,558.0,558.0
22,2015-11-01,543.0,400.0,279.0,3.0,73.66,1.99,8.33,36.0,18.1,7.75,21.78333333333333,9.116666666666667,31.500000000000004,False,False,True,False,11,4,558.0,540.0,558.0,547.0,-15.0,0.7366482504604052,389.0,18.03333333333333,38.0,2.6666666666666665,12.666666666666664,18.537347670250895,66.60000000000001,16.046654389195826,17104.500000000004,540.0,540.2727272727273
23,2015-12-01,558.0,350.0,251.0,0.0,62.72,2.22,0.0,40.0,18.0,6.28,27.50967741935484,12.73225806451613,0.8,False,False,False,True,12,4,543.0,558.0,540.0,553.0,15.0,0.6272401433691757,379.3333333333333,18.03333333333333,35.333333333333336,2.3333333333333335,14.777419354838711,22.11057347670251,42.13333333333334,17.255174008555905,446.40000000000003,558.0,558.0
24,2016-01-01,558.0,381.0,276.0,2.0,68.28,2.17,5.13,39.0,18.0,7.08,28.070967741935487,14.148387096774194,12.499999999999998,False,False,False,True,1,1,558.0,543.0,558.0,553.0,0.0,0.6827956989247311,377.0,18.03333333333333,38.333333333333336,1.6666666666666667,13.922580645161293,25.787992831541217,14.933333333333344,19.166736038848423,6974.999999999999,558.0,558.0
