,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,372.0,107.0,83.0,1.0,28.76,2.67,3.13,32.0,12.0,2.59,29.93870967741936,14.37741935483871,0.2,False,False,False,True,False,1,1,372.0,360.0,372.0,368.0,0.0,0.28763440860215056,119.66666666666667,12.0,29.666666666666668,1.6666666666666667,15.561290322580652,26.727240143369176,12.733333333333313,8.611403052376,74.4,372.0,382.3333333333333
13,2015-02-01,336.0,105.0,116.0,2.0,31.25,2.17,7.69,26.0,12.0,4.46,28.70357142857143,14.232142857142858,1.2,False,False,False,True,False,2,1,372.0,372.0,360.0,360.0,-36.0,0.3125,110.33333333333333,12.0,29.0,1.3333333333333333,14.471428571428572,28.350652841781876,8.466666666666647,8.969866071428571,403.2,336.0,352.3333333333333
14,2015-03-01,372.0,117.0,90.0,2.0,31.45,1.75,9.52,21.0,12.0,4.29,27.72903225806452,12.796774193548387,9.3,False,False,False,True,False,3,1,336.0,372.0,372.0,360.0,36.0,0.31451612903225806,109.66666666666667,12.0,26.333333333333332,1.6666666666666667,14.932258064516134,28.790437788018437,3.5666666666666482,8.721227887617067,3459.6000000000004,372.0,383.27272727272725
15,2015-04-01,360.0,82.0,56.0,0.0,22.78,1.67,0.0,20.0,12.0,2.8,23.02,9.513333333333332,21.0,False,False,False,True,False,4,2,372.0,336.0,372.0,356.0,-12.0,0.22777777777777777,101.33333333333333,12.0,22.333333333333332,1.3333333333333333,13.506666666666668,26.484201228878646,10.49999999999998,5.243444444444444,7560.0,360.0,360.0
16,2015-05-01,372.0,98.0,58.0,0.0,26.34,1.08,0.0,13.0,12.0,4.46,17.016129032258064,6.019354838709678,47.9,False,True,False,False,False,5,2,360.0,372.0,336.0,368.0,12.0,0.26344086021505375,99.0,12.0,18.0,0.6666666666666666,10.996774193548386,22.5883870967742,26.06666666666665,4.482743669788414,17818.8,372.0,377.6363636363636
17,2015-06-01,362.0,86.0,92.0,0.0,23.76,1.91,0.0,23.0,12.07,4.0,14.153333333333334,4.116666666666666,133.0,False,False,True,False,False,6,2,372.0,360.0,372.0,364.6666666666667,-10.0,0.23756906077348067,88.66666666666667,12.023333333333333,18.666666666666668,0.0,10.036666666666669,18.0631541218638,67.29999999999998,3.3623941068139964,48146.0,360.0,365.6363636363636
18,2015-07-01,372.0,97.0,114.0,1.0,26.08,2.17,3.85,26.0,12.0,4.38,12.52258064516129,3.9967741935483874,307.0,True,False,False,False,False,7,3,362.0,372.0,360.0,368.6666666666667,10.0,0.260752688172043,93.66666666666667,12.023333333333333,20.666666666666668,0.3333333333333333,8.525806451612901,14.56401433691756,162.63333333333333,3.265296566077003,114204.0,372.0,365.8181818181818
19,2015-08-01,372.0,82.0,67.0,1.0,22.04,1.83,4.55,22.0,12.0,3.05,14.196774193548388,5.4,344.5,True,False,False,False,False,8,3,372.0,362.0,372.0,368.6666666666667,0.0,0.22043010752688172,88.33333333333333,12.023333333333333,23.666666666666668,0.6666666666666666,8.796774193548387,13.624229390681004,261.5,3.1293964620187307,128154.0,372.0,345.09090909090907
20,2015-09-01,360.0,88.0,91.0,0.0,24.44,2.5,0.0,30.0,12.0,3.03,15.566666666666666,4.946666666666667,127.1,False,True,False,False,False,9,3,372.0,372.0,362.0,368.0,-12.0,0.24444444444444444,89.0,12.0,26.0,0.6666666666666666,10.62,14.095340501792114,259.53333333333336,3.805185185185185,45756.0,360.0,340.0
21,2015-10-01,310.0,102.0,99.0,0.0,32.9,2.1,0.0,21.0,10.0,4.71,17.23548387096774,5.958064516129032,140.6,False,True,False,False,False,10,4,360.0,372.0,372.0,347.3333333333333,-50.0,0.32903225806451614,90.66666666666667,11.333333333333334,24.333333333333332,0.3333333333333333,11.27741935483871,15.666308243727599,204.0666666666667,5.671030176899063,43586.0,372.0,342.3636363636364
22,2015-11-01,360.0,88.0,112.0,3.0,24.44,2.33,10.71,28.0,12.0,4.0,22.1,9.176666666666668,9.6,False,False,False,True,False,11,4,310.0,360.0,372.0,343.3333333333333,50.0,0.24444444444444444,92.66666666666667,11.333333333333334,26.333333333333332,1.0,12.923333333333334,18.30071684587814,92.43333333333334,5.402222222222222,3456.0,360.0,336.0
23,2015-12-01,372.0,84.0,59.0,0.0,22.58,1.92,0.0,23.0,12.0,2.57,27.238709677419354,11.86774193548387,1.7000000000000002,False,False,False,True,False,12,4,360.0,310.0,360.0,347.3333333333333,12.0,0.22580645161290322,91.33333333333333,11.333333333333334,24.0,1.0,15.370967741935484,22.191397849462362,50.63333333333333,6.150676378772112,632.4000000000001,372.0,351.72727272727275
24,2016-01-01,372.0,92.0,107.0,1.0,24.73,2.83,2.94,34.0,12.0,3.15,28.3483870967742,14.641935483870968,11.2,False,False,False,False,True,1,1,372.0,360.0,310.0,368.0,0.0,0.24731182795698925,88.0,12.0,28.333333333333332,1.3333333333333333,13.706451612903232,25.89569892473118,7.5,7.010891432535555,4166.4,372.0,382.3333333333333
25,2016-02-01,348.0,78.0,84.0,0.0,22.41,2.08,0.0,25.0,12.0,3.36,29.22142857142857,14.082142857142856,1.5,False,False,False,True,False,2,1,372.0,372.0,360.0,364.0,-24.0,0.22413793103448276,84.66666666666667,12.0,27.333333333333332,0.3333333333333333,15.139285714285716,28.269508448540705,4.8,6.549630541871921,522.0,336.0,352.3333333333333
26,2016-03-01,372.0,84.0,82.0,1.0,22.58,2.08,4.0,25.0,12.0,3.28,27.154838709677417,12.82258064516129,0.2,False,False,False,True,False,3,1,348.0,372.0,372.0,364.0,24.0,0.22580645161290322,84.66666666666667,12.0,28.0,0.6666666666666666,14.332258064516127,28.241551459293394,4.3,6.131737773152965,74.4,372.0,383.27272727272725
27,2016-04-01,360.0,69.0,69.0,0.0,19.17,1.83,0.0,22.0,12.0,3.14,18.73,8.983333333333333,207.6,False,True,False,False,False,4,2,372.0,348.0,372.0,360.0,-12.0,0.19166666666666668,77.0,12.0,24.0,0.3333333333333333,9.746666666666668,25.03542242703533,69.76666666666667,3.589916666666667,74736.0,360.0,360.0
28,2016-05-01,372.0,62.0,49.0,1.0,16.67,1.25,6.67,15.0,12.0,3.27,16.583870967741937,8.51290322580645,84.6,False,False,True,False,False,5,2,360.0,372.0,348.0,368.0,12.0,0.16666666666666666,71.66666666666667,12.0,20.666666666666668,0.6666666666666666,8.070967741935487,20.82290322580645,97.46666666666665,2.763978494623656,31471.199999999997,372.0,377.6363636363636
29,2016-06-01,360.0,101.0,96.0,0.0,28.06,2.08,0.0,25.0,12.0,3.84,13.303333333333336,3.62,19.9,False,True,False,False,False,6,2,372.0,360.0,372.0,364.0,-12.0,0.28055555555555556,77.33333333333333,12.0,20.666666666666668,0.3333333333333333,9.683333333333337,16.20573476702509,104.03333333333332,3.732324074074075,7163.999999999999,362.0,365.6363636363636
30,2016-07-01,372.0,134.0,123.0,0.0,36.02,3.08,0.0,37.0,12.0,3.32,12.916129032258064,4.012903225806451,206.8,False,False,True,False,False,7,3,360.0,372.0,360.0,368.0,12.0,0.3602150537634409,99.0,12.0,25.666666666666668,0.3333333333333333,8.903225806451612,14.267777777777779,103.76666666666667,4.652584113770378,76929.6,372.0,365.8181818181818
31,2016-08-01,372.0,112.0,112.0,0.0,30.11,2.33,0.0,28.0,12.0,4.0,15.451612903225806,4.6,63.8,False,False,False,True,False,8,3,372.0,360.0,372.0,368.0,0.0,0.3010752688172043,115.66666666666667,12.0,30.0,0.0,10.851612903225806,13.890358422939068,96.83333333333333,4.652098508498092,23733.6,372.0,345.09090909090907
32,2016-09-01,360.0,188.0,147.0,0.0,52.22,3.33,0.0,40.0,12.0,3.68,19.58,5.8933333333333335,19.8,False,False,False,True,False,9,3,372.0,372.0,360.0,368.0,-12.0,0.5222222222222223,144.66666666666666,12.0,35.0,0.0,13.686666666666664,15.98258064516129,96.80000000000001,10.225111111111111,7128.0,360.0,340.0
33,2016-10-01,372.0,157.0,188.0,0.0,42.2,2.67,0.0,32.0,12.0,5.88,20.406451612903226,7.919354838709677,108.5,False,False,False,True,False,10,4,360.0,372.0,372.0,368.0,12.0,0.4220430107526882,152.33333333333334,12.0,33.333333333333336,0.0,12.48709677419355,18.47935483870968,64.03333333333333,8.612400277488728,40362.0,310.0,342.3636363636364
34,2016-11-01,360.0,140.0,123.0,0.0,38.89,1.92,0.0,23.0,12.0,5.35,26.01,10.633333333333333,8.399999999999999,False,False,False,True,False,11,4,372.0,360.0,372.0,364.0,-12.0,0.3888888888888889,161.66666666666666,12.0,31.666666666666668,0.0,15.376666666666669,21.998817204301076,45.56666666666667,10.115,3023.9999999999995,360.0,336.0
35,2016-12-01,372.0,128.0,130.0,0.0,34.41,1.92,0.0,23.0,12.0,5.65,26.93870967741936,12.329032258064515,29.6,False,False,False,False,True,12,4,360.0,372.0,360.0,368.0,12.0,0.34408602150537637,141.66666666666666,12.0,26.0,0.0,14.609677419354846,24.451720430107528,48.833333333333336,9.269233437391609,11011.2,372.0,351.72727272727275
36,2017-01-01,372.0,184.0,159.0,2.0,49.46,3.08,5.41,37.0,12.0,4.3,30.570967741935483,15.158064516129032,4.4,False,False,False,True,False,1,1,372.0,360.0,372.0,368.0,0.0,0.4946236559139785,150.66666666666666,12.0,27.666666666666668,0.6666666666666666,15.412903225806451,27.839892473118283,14.133333333333333,15.121123829344432,1636.8000000000002,372.0,382.3333333333333
37,2017-02-01,336.0,139.0,118.0,1.0,41.37,3.0,2.78,36.0,12.0,3.28,28.792857142857144,15.210714285714284,2.5,False,False,False,False,True,2,1,372.0,372.0,360.0,360.0,-36.0,0.41369047619047616,150.33333333333334,12.0,32.0,1.0,13.58214285714286,28.76751152073733,12.166666666666666,11.911330782312925,840.0,348.0,352.3333333333333
38,2017-03-01,372.0,118.0,174.0,3.0,31.72,2.08,12.0,25.0,12.0,6.96,25.75483870967742,12.138709677419357,1.9,False,False,False,False,True,3,1,336.0,372.0,372.0,360.0,36.0,0.3172043010752688,147.0,12.0,32.666666666666664,2.0,13.616129032258062,28.37288786482335,2.9333333333333336,8.169545612209504,706.8,372.0,383.27272727272725
