,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_NE,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,837.0,458.0,564.0,1.0,54.72,3.04,1.22,82.0,27.0,6.88,17.725806451612904,12.816129032258065,14.0,False,False,False,False,True,False,1,1,837.0,810.0,837.0,828.0,0.0,0.5471923536439666,435.0,27.0,70.33333333333333,2.3333333333333335,4.909677419354839,15.848853046594982,50.23333333333333,9.699425752495472,11718.0,992.0,786.0
13,2015-02-01,756.0,294.0,199.0,1.0,38.89,2.07,1.79,56.0,27.0,3.55,16.942857142857143,12.389285714285714,15.5,False,False,False,False,True,False,2,1,837.0,837.0,810.0,810.0,-81.0,0.3888888888888889,381.3333333333333,27.0,71.33333333333333,1.3333333333333333,4.553571428571429,16.81536098310292,31.3,6.5888888888888895,11718.0,896.0,703.6666666666666
14,2015-03-01,837.0,311.0,1036.0,1.0,37.16,2.22,1.67,60.0,27.0,17.27,17.219354838709677,11.751612903225809,64.0,False,False,False,False,True,False,3,1,756.0,837.0,837.0,810.0,81.0,0.3715651135005974,354.3333333333333,27.0,66.0,1.0,5.467741935483868,17.296006144393242,31.166666666666668,6.398111535052222,53568.0,992.0,772.5454545454545
15,2015-04-01,810.0,355.0,182.0,1.0,43.83,1.81,2.04,49.0,27.0,3.71,14.633333333333333,10.153333333333334,155.1,False,False,False,False,True,False,4,2,837.0,756.0,837.0,801.0,-27.0,0.4382716049382716,320.0,27.0,55.0,1.0,4.479999999999999,16.265181771633383,78.2,6.413374485596708,125631.0,960.0,770.2727272727273
16,2015-05-01,837.0,350.0,675.0,2.0,41.82,2.33,3.17,63.0,27.0,10.71,13.196774193548388,10.04516129032258,324.2,False,False,True,False,False,False,5,2,810.0,837.0,756.0,828.0,27.0,0.41816009557945044,338.6666666666667,27.0,57.333333333333336,1.3333333333333333,3.151612903225807,15.016487455197131,181.1,5.518364358114619,271355.39999999997,992.0,796.5454545454545
17,2015-06-01,810.0,312.0,252.0,4.0,38.52,2.04,7.27,55.0,27.0,4.58,10.996666666666666,8.026666666666667,250.0,False,False,False,False,True,False,6,2,837.0,810.0,837.0,819.0,-27.0,0.3851851851851852,339.0,27.0,55.666666666666664,2.3333333333333335,2.969999999999999,12.94225806451613,243.1,4.235753086419753,202500.0,960.0,771.4545454545455
18,2015-07-01,549.0,245.0,229.0,1.0,44.63,2.6,2.17,46.0,17.71,4.98,10.425806451612903,7.387096774193548,403.7,False,False,True,False,False,False,7,3,810.0,837.0,810.0,732.0,-261.0,0.44626593806921677,302.3333333333333,23.903333333333336,54.666666666666664,2.3333333333333335,3.038709677419355,11.539749103942652,325.96666666666664,4.652682296257124,221631.3,992.0,766.5454545454545
19,2015-08-01,465.0,216.0,210.0,1.0,46.45,2.4,2.78,36.0,15.0,5.83,10.6,7.509677419354839,360.2,False,False,True,False,False,False,8,3,549.0,810.0,837.0,608.0,-84.0,0.4645161290322581,257.6666666666667,19.903333333333332,45.666666666666664,2.0,3.090322580645161,10.67415770609319,337.9666666666667,4.9238709677419354,167493.0,992.0,757.0909090909091
20,2015-09-01,528.0,286.0,261.0,3.0,54.17,3.07,5.56,54.0,17.6,4.83,10.913333333333332,7.25,116.5,False,False,True,False,False,False,9,3,465.0,549.0,810.0,514.0,63.0,0.5416666666666666,249.0,16.77,45.333333333333336,1.6666666666666667,3.663333333333332,10.646379928315412,293.4666666666667,5.9113888888888875,61512.0,810.0,725.3636363636364
21,2015-10-01,978.0,267.0,226.0,1.0,27.3,1.62,1.96,51.0,31.55,4.43,12.96774193548387,8.325806451612904,104.8,False,False,True,False,False,False,10,4,528.0,465.0,549.0,657.0,450.0,0.27300613496932513,256.3333333333333,21.383333333333336,47.0,1.6666666666666667,4.6419354838709666,11.493691756272403,193.83333333333334,3.540273105086087,102494.4,837.0,782.1818181818181
22,2015-11-01,870.0,342.0,269.0,1.0,39.31,2.28,1.52,66.0,29.0,4.08,14.266666666666667,10.116666666666667,108.8,False,False,False,False,True,False,11,4,978.0,528.0,465.0,792.0,-108.0,0.3931034482758621,298.3333333333333,26.05,57.0,1.6666666666666667,4.15,12.715913978494624,110.03333333333335,5.608275862068966,94656.0,810.0,755.0
23,2015-12-01,946.0,334.0,252.0,1.0,35.31,1.67,1.96,51.0,30.52,4.94,16.37741935483871,11.6,65.5,False,False,False,False,True,False,12,4,870.0,978.0,528.0,931.3333333333334,76.0,0.35306553911205074,314.3333333333333,30.356666666666666,56.0,1.0,4.777419354838711,14.537275985663081,93.03333333333335,5.782302393780264,61963.0,837.0,793.4545454545455
