,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_NE,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,1054.0,544.0,441.0,0.0,51.61,1.85,0.0,63.0,34.0,7.0,17.725806451612904,12.816129032258065,14.0,False,False,False,False,True,False,1,1,1054.0,1020.0,1054.0,1042.6666666666667,0.0,0.5161290322580645,573.6666666666666,34.0,64.0,0.3333333333333333,4.909677419354839,15.848853046594982,50.23333333333333,9.148803329864725,14756.0,620.0,907.1666666666666
13,2015-02-01,952.0,542.0,532.0,2.0,56.93,1.79,3.28,61.0,34.0,8.72,16.942857142857143,12.389285714285714,15.5,False,False,False,False,True,False,2,1,1054.0,1054.0,1020.0,1020.0,-102.0,0.569327731092437,522.0,34.0,65.0,0.6666666666666666,4.553571428571429,16.81536098310292,31.3,9.646038415366146,14756.0,560.0,840.0
14,2015-03-01,1054.0,564.0,585.0,2.0,53.51,2.12,2.78,72.0,34.0,8.13,17.219354838709677,11.751612903225809,64.0,False,False,False,False,True,False,3,1,952.0,1054.0,1054.0,1020.0,102.0,0.5351043643263758,550.0,34.0,65.33333333333333,1.3333333333333333,5.467741935483868,17.296006144393242,31.166666666666668,9.214151925078044,67456.0,620.0,883.0909090909091
15,2015-04-01,1020.0,532.0,505.0,0.0,52.16,1.88,0.0,64.0,34.0,7.89,14.633333333333333,10.153333333333334,155.1,False,False,False,False,True,False,4,2,1054.0,952.0,1054.0,1008.6666666666666,-34.0,0.5215686274509804,546.0,34.0,65.66666666666667,1.3333333333333333,4.479999999999999,16.265181771633383,78.2,7.632287581699346,158202.0,600.0,895.4545454545455
16,2015-05-01,1054.0,634.0,498.0,2.0,60.15,2.03,2.9,69.0,34.0,7.22,13.196774193548388,10.04516129032258,324.2,False,False,True,False,False,False,5,2,1020.0,1054.0,952.0,1042.6666666666667,34.0,0.6015180265654649,576.6666666666666,34.0,68.33333333333333,1.3333333333333333,3.151612903225807,15.016487455197131,181.1,7.938097569933281,341706.8,620.0,915.2727272727273
17,2015-06-01,1020.0,588.0,487.0,3.0,57.65,1.88,4.69,64.0,34.0,7.61,10.996666666666666,8.026666666666667,250.0,False,False,False,False,True,False,6,2,1054.0,1020.0,1054.0,1031.3333333333333,-34.0,0.5764705882352941,584.6666666666666,34.0,65.66666666666667,1.6666666666666667,2.969999999999999,12.94225806451613,243.1,6.339254901960784,255000.0,960.0,927.1818181818181
18,2015-07-01,1054.0,681.0,683.0,1.0,64.61,2.12,1.39,72.0,34.0,9.49,10.425806451612903,7.387096774193548,403.7,False,False,True,False,False,False,7,3,1020.0,1054.0,1020.0,1042.6666666666667,34.0,0.6461100569259962,634.3333333333334,34.0,68.33333333333333,2.0,3.038709677419355,11.539749103942652,325.96666666666664,6.736218399951031,425499.8,899.0,952.6363636363636
19,2015-08-01,1054.0,744.0,590.0,2.0,70.59,2.32,2.53,79.0,34.0,7.47,10.6,7.509677419354839,360.2,False,False,True,False,False,False,8,3,1054.0,1020.0,1054.0,1042.6666666666667,0.0,0.7058823529411765,671.0,34.0,71.66666666666667,2.0,3.090322580645161,10.67415770609319,337.9666666666667,7.482352941176471,379650.8,1054.0,964.9090909090909
20,2015-09-01,960.0,663.0,651.0,2.0,69.06,2.75,2.27,88.0,32.0,7.4,10.913333333333332,7.25,116.5,False,False,True,False,False,False,9,3,1054.0,1054.0,1020.0,1022.6666666666666,-94.0,0.690625,696.0,33.333333333333336,79.66666666666667,1.6666666666666667,3.663333333333332,10.646379928315412,293.4666666666667,7.537020833333333,111840.0,1020.0,931.9090909090909
21,2015-10-01,992.0,588.0,554.0,0.0,59.27,2.56,0.0,82.0,32.0,6.76,12.96774193548387,8.325806451612904,104.8,False,False,True,False,False,False,10,4,960.0,1054.0,1054.0,1002.0,32.0,0.592741935483871,665.0,32.666666666666664,83.0,1.3333333333333333,4.6419354838709666,11.493691756272403,193.83333333333334,7.6865244536940684,103961.59999999999,1054.0,936.1818181818181
22,2015-11-01,962.0,620.0,680.0,1.0,64.45,3.02,1.03,97.0,32.07,7.01,14.266666666666667,10.116666666666667,108.8,False,False,False,False,True,False,11,4,992.0,960.0,1054.0,971.3333333333334,-30.0,0.6444906444906445,623.6666666666666,32.02333333333333,89.0,1.0,4.15,12.715913978494624,110.03333333333335,9.194733194733196,104665.59999999999,1020.0,905.6363636363636
23,2015-12-01,992.0,473.0,516.0,1.0,47.68,2.09,1.49,67.0,32.0,7.7,16.37741935483871,11.6,65.5,False,False,False,False,True,False,12,4,962.0,992.0,960.0,982.0,30.0,0.47681451612903225,560.3333333333334,32.02333333333333,82.0,0.6666666666666666,4.777419354838711,14.537275985663081,93.03333333333335,7.808991285119667,64976.0,1054.0,952.1818181818181
24,2016-01-01,992.0,553.0,391.0,2.0,55.75,1.72,3.64,55.0,32.0,7.11,18.55483870967742,13.4,30.5,False,False,True,False,False,False,1,1,992.0,962.0,992.0,982.0,0.0,0.5574596774193549,548.6666666666666,32.02333333333333,73.0,1.3333333333333333,5.154838709677419,16.399641577060933,68.26666666666668,10.343574401664933,30256.0,1054.0,907.1666666666666
25,2016-02-01,928.0,435.0,535.0,0.0,46.88,1.69,0.0,54.0,32.0,9.91,17.91785714285714,13.078571428571427,37.8,False,False,False,False,True,False,2,1,992.0,992.0,962.0,970.6666666666666,-64.0,0.46875,487.0,32.0,58.666666666666664,1.0,4.8392857142857135,17.616705069124425,44.60000000000002,8.398995535714285,35078.399999999994,952.0,840.0
26,2016-03-01,434.0,378.0,387.0,3.0,87.1,3.14,6.82,44.0,14.0,8.8,16.50967741935484,12.03225806451613,49.900000000000006,False,False,False,False,True,False,3,1,928.0,992.0,992.0,784.6666666666666,-494.0,0.8709677419354839,455.3333333333333,26.0,51.0,1.6666666666666667,4.477419354838711,17.6607910906298,39.40000000000002,14.379396462018732,21656.600000000002,1054.0,883.0909090909091
27,2016-04-01,960.0,469.0,345.0,3.0,48.85,1.59,5.88,51.0,32.0,6.76,13.816666666666666,9.346666666666666,151.1,False,False,True,False,False,False,4,2,434.0,928.0,992.0,774.0,526.0,0.48854166666666665,427.3333333333333,26.0,49.666666666666664,2.0,4.470000000000001,16.081400409626216,79.60000000000002,6.7500173611111105,145056.0,1020.0,895.4545454545455
28,2016-05-01,992.0,602.0,602.0,2.0,60.69,1.94,3.23,62.0,32.0,9.71,13.580645161290322,9.770967741935484,70.1,True,False,False,False,False,False,5,2,960.0,434.0,928.0,795.3333333333334,32.0,0.6068548387096774,483.0,26.0,52.333333333333336,2.6666666666666665,3.8096774193548377,14.635663082437276,90.36666666666667,8.241480228928198,69539.2,1054.0,915.2727272727273
29,2016-06-01,960.0,508.0,631.0,2.0,52.92,2.41,2.6,77.0,32.0,8.19,11.006666666666666,7.5,46.6,False,False,True,False,False,False,6,2,992.0,960.0,434.0,970.6666666666666,-32.0,0.5291666666666667,526.3333333333334,32.0,63.333333333333336,2.3333333333333335,3.506666666666666,12.80132616487455,89.2666666666667,5.824361111111111,44736.0,1020.0,927.1818181818181
30,2016-07-01,992.0,591.0,538.0,2.0,59.58,2.19,2.86,70.0,32.0,7.69,10.861290322580643,7.764516129032257,170.1,True,False,False,False,False,False,7,3,960.0,992.0,960.0,981.3333333333334,32.0,0.5957661290322581,567.0,32.0,69.66666666666667,2.0,3.096774193548386,11.816200716845875,95.60000000000001,6.470788891779396,168739.19999999998,1054.0,952.6363636363636
31,2016-08-01,992.0,522.0,562.0,1.0,52.62,2.19,1.43,70.0,32.0,8.03,11.69032258064516,7.919354838709677,285.4,False,False,False,False,True,False,8,3,992.0,960.0,992.0,981.3333333333334,0.0,0.5262096774193549,540.3333333333334,32.0,72.33333333333333,1.6666666666666667,3.7709677419354835,11.186093189964156,167.36666666666667,6.1515608740894905,283116.8,1054.0,964.9090909090909
32,2016-09-01,960.0,471.0,484.0,3.0,49.06,2.13,4.41,68.0,32.0,7.12,12.653333333333334,8.41,131.6,False,False,False,False,True,False,9,3,992.0,992.0,960.0,981.3333333333334,-32.0,0.490625,528.0,32.0,69.33333333333333,2.0,4.243333333333334,11.734982078853045,195.70000000000002,6.2080416666666665,126336.0,960.0,931.9090909090909
33,2016-10-01,992.0,610.0,561.0,5.0,61.49,2.09,7.46,67.0,32.0,8.37,13.480645161290322,9.212903225806452,121.9,False,False,False,False,True,False,10,4,960.0,992.0,992.0,981.3333333333334,32.0,0.6149193548387096,534.3333333333334,32.0,68.33333333333333,3.0,4.267741935483871,12.608100358422938,179.63333333333335,8.289509625390219,120924.8,992.0,936.1818181818181
34,2016-11-01,960.0,640.0,647.0,1.0,66.67,2.06,1.52,66.0,32.0,9.8,14.953333333333337,10.906666666666666,94.9,False,False,False,False,True,False,11,4,992.0,960.0,992.0,970.6666666666666,-32.0,0.6666666666666666,573.6666666666666,32.0,67.0,3.0,4.04666666666667,13.695770609318998,116.13333333333337,9.968888888888891,91104.0,962.0,905.6363636363636
35,2016-12-01,992.0,672.0,718.0,1.0,67.74,2.28,1.37,73.0,32.0,9.84,16.770967741935483,12.12258064516129,107.0,False,False,False,False,False,True,12,4,960.0,992.0,960.0,981.3333333333334,32.0,0.6774193548387096,640.6666666666666,32.0,68.66666666666667,2.3333333333333335,4.648387096774192,15.06831541218638,107.93333333333335,11.360978147762745,106144.0,992.0,952.1818181818181
36,2017-01-01,992.0,636.0,670.0,1.0,64.11,2.38,1.32,76.0,32.0,8.82,17.925806451612903,12.016129032258064,231.9,False,False,False,False,True,False,1,1,992.0,960.0,992.0,981.3333333333334,0.0,0.6411290322580645,649.3333333333334,32.0,71.66666666666667,1.0,5.909677419354839,16.550035842293905,144.60000000000002,11.49275494276795,230044.80000000002,992.0,907.1666666666666
37,2017-02-01,896.0,559.0,593.0,3.0,62.39,2.28,4.11,73.0,32.0,8.12,18.77142857142857,13.164285714285716,182.2,False,False,False,False,False,True,2,1,992.0,992.0,960.0,960.0,-96.0,0.6238839285714286,622.3333333333334,32.0,74.0,1.6666666666666667,5.607142857142852,17.822734254992316,173.70000000000005,11.711192602040816,163251.19999999998,928.0,840.0
38,2017-03-01,992.0,565.0,528.0,2.0,56.96,2.16,2.9,69.0,32.0,7.65,16.30322580645161,10.55483870967742,145.7,False,False,True,False,False,False,3,1,896.0,992.0,992.0,960.0,96.0,0.5695564516129032,586.6666666666666,32.0,72.66666666666667,2.0,5.7483870967741915,17.666820276497692,186.60000000000002,9.285607440166492,144534.4,434.0,883.0909090909091
39,2017-04-01,960.0,731.0,661.0,1.0,76.15,2.22,1.41,71.0,32.0,9.31,15.696666666666664,10.173333333333334,275.5,False,False,True,False,False,False,4,2,992.0,896.0,992.0,949.3333333333334,-32.0,0.7614583333333333,618.3333333333334,32.0,71.0,2.0,5.52333333333333,16.923773681515616,201.13333333333335,11.952357638888888,264480.0,960.0,895.4545454545455
40,2017-05-01,992.0,746.0,714.0,2.0,75.2,1.63,3.85,52.0,32.0,13.73,13.13548387096774,7.816129032258065,328.3,True,False,False,False,False,False,5,2,960.0,992.0,896.0,981.3333333333334,32.0,0.7520161290322581,680.6666666666666,32.0,64.0,1.6666666666666667,5.319354838709675,15.04512544802867,249.83333333333334,9.87809573361082,325673.60000000003,992.0,915.2727272727273
41,2017-06-01,960.0,767.0,790.0,2.0,79.9,1.91,3.28,61.0,32.0,12.95,10.343333333333334,6.0633333333333335,506.3,False,False,False,True,False,False,6,2,992.0,960.0,992.0,970.6666666666666,-32.0,0.7989583333333333,748.0,32.0,61.333333333333336,1.6666666666666667,4.28,13.05849462365591,370.0333333333333,8.263892361111111,486048.0,960.0,927.1818181818181
42,2017-07-01,992.0,805.0,779.0,1.0,81.15,2.22,1.41,71.0,32.0,10.97,10.419354838709678,5.516129032258065,249.5,True,False,False,False,False,False,7,3,960.0,992.0,960.0,981.3333333333334,32.0,0.811491935483871,772.6666666666666,32.0,61.333333333333336,1.6666666666666667,4.903225806451613,11.299390681003581,361.3666666666666,8.455222424557753,247504.0,992.0,952.6363636363636
43,2017-08-01,992.0,732.0,782.0,3.0,73.79,2.03,4.62,65.0,32.0,12.03,10.093548387096773,5.83225806451613,566.9,True,False,False,False,False,False,8,3,992.0,960.0,992.0,981.3333333333334,0.0,0.7379032258064516,768.0,32.0,65.66666666666667,2.0,4.261290322580643,10.285412186379927,440.90000000000003,7.448061914672215,562364.7999999999,992.0,964.9090909090909
44,2017-09-01,960.0,738.0,712.0,2.0,76.88,2.09,2.99,67.0,32.0,10.63,10.9,5.52,245.2,False,False,False,True,False,False,9,3,992.0,992.0,960.0,981.3333333333334,-32.0,0.76875,758.3333333333334,32.0,67.66666666666667,2.0,5.380000000000001,10.470967741935482,353.86666666666673,8.379375000000001,235392.0,960.0,931.9090909090909
45,2017-10-01,992.0,834.0,769.0,2.0,84.07,2.13,2.94,68.0,32.0,11.31,12.019354838709678,7.141935483870968,451.4,False,False,False,False,True,False,10,4,960.0,992.0,992.0,981.3333333333334,32.0,0.8407258064516129,768.0,32.0,66.66666666666667,2.3333333333333335,4.877419354838709,11.004301075268815,421.1666666666667,10.10498178980229,447788.8,992.0,936.1818181818181
46,2017-11-01,960.0,705.0,804.0,3.0,73.44,2.06,4.55,66.0,32.0,12.18,14.36,8.860000000000001,138.2,False,False,False,False,True,False,11,4,992.0,960.0,992.0,970.6666666666666,-32.0,0.734375,759.0,32.0,67.0,2.3333333333333335,5.499999999999998,12.426451612903223,278.26666666666665,10.545625,132672.0,960.0,905.6363636363636
