,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,1116.0,551.0,536.0,5.0,49.37,2.83,4.9,102.0,36.0,5.25,19.425806451612903,7.487096774193549,0.8,False,False,False,True,False,1,1,1116.0,1080.0,1116.0,1104.0,0.0,0.49372759856630827,558.3333333333334,36.0,110.0,4.666666666666667,11.938709677419354,15.166344086021505,46.13333333333333,9.591056769568736,892.8000000000001,1116.0,1003.6666666666666
13,2015-02-01,1008.0,533.0,526.0,2.0,52.88,2.53,2.2,91.0,36.0,5.78,19.339285714285715,7.524999999999999,3.9,False,False,False,True,False,2,1,1116.0,1116.0,1080.0,1080.0,-108.0,0.5287698412698413,546.0,36.0,102.0,4.0,11.814285714285717,17.789439324116746,23.33333333333334,10.226031037414966,3931.2,1008.0,923.0
14,2015-03-01,1116.0,569.0,518.0,2.0,50.99,2.69,2.06,97.0,36.0,5.34,18.36774193548387,7.396774193548388,9.7,False,False,False,True,False,3,1,1008.0,1116.0,1116.0,1080.0,108.0,0.5098566308243727,551.0,36.0,96.66666666666667,3.0,10.970967741935482,19.044278033794164,4.8,9.36491501907735,10825.199999999999,1116.0,1027.909090909091
15,2015-04-01,1080.0,604.0,666.0,2.0,55.93,3.31,1.68,119.0,36.0,5.6,12.436666666666667,5.02,114.3,False,False,False,True,False,4,2,1116.0,1008.0,1116.0,1068.0,-36.0,0.5592592592592592,568.6666666666666,36.0,102.33333333333333,2.0,7.416666666666668,16.71456477214542,42.63333333333333,6.955320987654321,123444.0,1080.0,1004.3636363636364
16,2015-05-01,1116.0,637.0,718.0,10.0,57.08,2.89,9.62,104.0,36.0,6.9,8.567741935483872,2.364516129032258,324.2,False,True,False,False,False,5,2,1080.0,1116.0,1008.0,1104.0,36.0,0.5707885304659498,603.3333333333334,36.0,106.66666666666667,4.666666666666667,6.203225806451614,13.124050179211471,149.4,4.890368828766332,361807.2,1116.0,995.2727272727273
17,2015-06-01,1080.0,545.0,460.0,5.0,50.46,2.31,6.02,83.0,36.0,5.54,5.569999999999999,0.2466666666666666,528.1,False,True,False,False,False,6,2,1116.0,1080.0,1116.0,1092.0,-36.0,0.5046296296296297,595.3333333333334,36.0,102.0,5.666666666666667,5.323333333333332,8.858136200716846,322.2,2.810787037037037,570348.0,1080.0,964.2727272727273
18,2015-07-01,1116.0,564.0,406.0,6.0,50.54,2.69,6.19,97.0,36.0,4.19,4.554838709677419,-1.0258064516129033,420.0,False,False,True,False,False,7,3,1080.0,1116.0,1080.0,1104.0,36.0,0.5053763440860215,582.0,36.0,94.66666666666667,7.0,5.580645161290322,6.230860215053763,424.1000000000001,2.3019077349982657,468720.0,1116.0,1001.2727272727273
19,2015-08-01,1116.0,669.0,688.0,2.0,59.95,2.64,2.11,95.0,36.0,7.24,6.658064516129032,0.0838709677419355,438.8,False,True,False,False,False,8,3,1116.0,1080.0,1116.0,1104.0,0.0,0.5994623655913979,592.6666666666666,36.0,91.66666666666667,4.333333333333333,6.574193548387097,5.594301075268817,462.3,3.9912591050988557,489700.8,1116.0,1008.4545454545455
20,2015-09-01,1080.0,710.0,681.0,4.0,65.74,3.83,2.9,138.0,36.0,4.93,7.426666666666667,-1.0633333333333332,218.6,False,False,False,True,False,9,3,1116.0,1116.0,1080.0,1104.0,-36.0,0.6574074074074074,647.6666666666666,36.0,110.0,4.0,8.49,6.213189964157706,359.1333333333334,4.882345679012346,236088.0,1080.0,989.6363636363636
21,2015-10-01,1116.0,645.0,716.0,6.0,57.8,3.33,5.0,120.0,36.0,5.97,10.319354838709677,0.6838709677419355,160.4,False,True,False,False,False,10,4,1080.0,1116.0,1116.0,1104.0,36.0,0.5779569892473119,674.6666666666666,36.0,117.66666666666667,4.0,9.635483870967741,8.134695340501791,272.59999999999997,5.964143253555324,179006.4,1116.0,1042.090909090909
