,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_NE,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,744.0,267.0,287.0,0.0,35.89,4.13,0.0,99.0,24.0,2.9,25.52258064516129,11.251612903225809,0.3,False,False,False,False,True,False,1,1,696.0,690.0,744.0,710.0,48.0,0.3588709677419355,285.3333333333333,23.149999999999995,93.33333333333333,1.0,14.270967741935483,21.53,14.700000000000001,9.159313215400624,223.2,713.0,673.5
13,2015-02-01,644.0,298.0,220.0,0.0,46.27,2.83,0.0,65.0,23.0,3.38,25.05,10.892857142857142,0.2,False,False,False,False,True,False,2,1,744.0,696.0,690.0,694.6666666666666,-100.0,0.46273291925465837,294.3333333333333,23.149999999999995,84.66666666666667,0.3333333333333333,14.157142857142858,24.016666666666666,6.033333333333334,11.591459627329192,128.8,690.0,602.0833333333334
14,2015-03-01,744.0,270.0,263.0,0.0,36.29,3.08,0.0,74.0,24.0,3.55,24.52258064516129,10.641935483870968,5.5,False,False,True,False,False,False,3,1,644.0,744.0,696.0,710.6666666666666,100.0,0.3629032258064516,278.3333333333333,23.666666666666668,79.33333333333333,0.0,13.880645161290323,25.031720430107526,2.0,8.899323621227888,4092.0,715.0,679.0909090909091
15,2015-04-01,723.0,319.0,221.0,1.0,44.12,2.99,1.39,72.0,24.1,3.07,18.38,9.073333333333332,55.9,False,False,False,False,True,False,4,2,744.0,644.0,744.0,703.6666666666666,-21.0,0.4412171507607192,295.6666666666667,23.7,70.33333333333333,0.3333333333333333,9.306666666666667,22.650860215053765,20.533333333333335,8.109571230982018,40415.7,720.0,650.0909090909091
16,2015-05-01,744.0,307.0,268.0,0.0,41.26,2.0,0.0,48.0,24.0,5.58,14.358064516129032,6.809677419354839,206.3,False,False,False,True,False,False,5,2,723.0,744.0,644.0,737.0,21.0,0.41263440860215056,298.6666666666667,24.03333333333333,64.66666666666667,0.3333333333333333,7.548387096774193,19.086881720430107,89.23333333333333,5.924631460284426,153487.2,713.0,657.0
17,2015-06-01,684.0,234.0,289.0,0.0,34.21,3.29,0.0,75.0,22.8,3.85,11.786666666666669,5.1,221.6,False,False,True,False,False,False,6,2,744.0,723.0,744.0,717.0,-60.0,0.34210526315789475,286.6666666666667,23.633333333333336,65.0,0.3333333333333333,6.686666666666669,14.841577060931899,161.26666666666668,4.032280701754387,151574.4,690.0,646.0
18,2015-07-01,744.0,292.0,179.0,0.0,39.25,2.38,0.0,57.0,24.0,3.14,10.741935483870968,4.519354838709678,275.9,False,False,False,True,False,False,7,3,684.0,744.0,723.0,724.0,60.0,0.3924731182795699,277.6666666666667,23.599999999999998,60.0,0.0,6.22258064516129,12.295555555555557,234.6,4.2159209157127995,205269.59999999998,744.0,669.5454545454545
19,2015-08-01,744.0,322.0,375.0,0.0,43.28,3.46,0.0,83.0,24.0,4.52,12.593548387096773,5.064516129032258,253.9,False,False,True,False,False,False,8,3,744.0,684.0,744.0,724.0,0.0,0.4327956989247312,282.6666666666667,23.599999999999998,71.66666666666667,0.0,7.529032258064515,11.707383512544803,250.46666666666667,5.450433576135969,188901.6,744.0,659.3636363636364
20,2015-09-01,726.0,268.0,233.0,0.0,36.91,3.47,0.0,84.0,24.2,2.77,12.996666666666666,3.633333333333333,124.2,False,False,False,False,True,False,9,3,744.0,744.0,684.0,738.0,-18.0,0.3691460055096419,294.0,24.066666666666666,74.66666666666667,0.0,9.363333333333333,12.110716845878136,217.99999999999997,4.797667584940312,90169.2,720.0,651.2727272727273
21,2015-10-01,744.0,268.0,477.0,0.0,36.02,3.5,0.0,84.0,24.0,5.68,15.670967741935485,5.190322580645161,103.6,False,False,True,False,False,False,10,4,726.0,744.0,744.0,738.0,18.0,0.3602150537634409,286.0,24.066666666666666,83.66666666666667,0.0,10.480645161290322,13.753727598566307,160.56666666666666,5.6449184876864384,77078.4,744.0,684.5454545454545
