,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,1021.0,604.0,503.0,1.0,59.16,3.28,0.93,108.0,32.94,4.66,23.370967741935484,12.761290322580646,0.3,False,False,True,False,1,1,1147.0,1110.0,1147.0,1092.6666666666667,-126.0,0.5915768854064642,484.3333333333333,35.64666666666667,103.0,3.6666666666666665,10.609677419354838,19.6878853046595,21.39999999999998,13.82572430570914,306.3,1147.0,1017.6666666666666
13,2015-02-01,916.0,511.0,449.0,2.0,55.79,3.12,1.96,102.0,32.71,4.4,22.964285714285715,12.646428571428572,0.2,False,False,True,False,2,1,1021.0,1147.0,1110.0,1028.0,-105.0,0.5578602620087336,499.3333333333333,34.21666666666667,104.33333333333333,2.6666666666666665,10.317857142857143,21.884869431643626,8.033333333333315,12.810862445414848,183.20000000000002,1036.0,937.4166666666666
14,2015-03-01,1064.0,517.0,419.0,1.0,48.59,2.94,0.99,101.0,34.32,4.15,21.6483870967742,11.561290322580644,18.7,False,False,True,False,3,1,916.0,1021.0,1147.0,1000.3333333333334,148.0,0.4859022556390977,544.0,33.32333333333333,103.66666666666667,1.3333333333333333,10.087096774193556,22.661213517665136,6.399999999999981,10.519000121270922,19896.8,1147.0,1039.7272727272727
15,2015-04-01,1055.0,566.0,478.0,0.0,53.65,2.84,0.0,100.0,35.17,4.78,17.04,9.953333333333337,103.0,False,False,True,False,4,2,1064.0,916.0,1021.0,1011.6666666666666,-9.0,0.5364928909952607,531.3333333333334,34.06666666666667,101.0,1.0,7.0866666666666625,20.55089093701997,40.63333333333332,9.141838862559242,108665.0,1110.0,1015.4545454545455
16,2015-05-01,1028.0,637.0,462.0,4.0,61.96,2.62,4.6,87.0,33.16,5.31,14.083870967741936,8.751612903225807,297.1,False,False,True,False,5,2,1055.0,1064.0,916.0,1049.0,-27.0,0.6196498054474708,573.3333333333334,34.21666666666667,96.0,1.6666666666666667,5.332258064516129,17.590752688172046,139.6,8.727067905108573,305418.80000000005,1142.0,1041.909090909091
17,2015-06-01,1038.0,632.0,581.0,2.0,60.89,2.98,1.94,103.0,34.6,5.64,11.596666666666666,6.8133333333333335,331.6,False,False,True,False,6,2,1028.0,1055.0,1064.0,1040.3333333333333,10.0,0.6088631984585742,611.6666666666666,34.31,96.66666666666667,2.0,4.783333333333332,14.240179211469533,243.9,7.060783558124598,344200.80000000005,1110.0,1000.6363636363636
18,2015-07-01,1073.0,608.0,581.0,4.0,56.66,2.66,4.35,92.0,34.61,6.32,10.95483870967742,6.003225806451613,494.2,False,False,True,False,7,3,1038.0,1028.0,1055.0,1046.3333333333333,35.0,0.5666356011183598,625.6666666666666,34.123333333333335,94.0,3.3333333333333335,4.951612903225807,12.21179211469534,374.3,6.207401617412741,530276.6,1054.0,1029.6363636363637
19,2015-08-01,1092.0,608.0,514.0,5.0,55.68,2.53,5.62,89.0,35.23,5.78,12.00967741935484,6.609677419354839,392.2,False,False,True,False,8,3,1073.0,1038.0,1028.0,1067.6666666666667,19.0,0.5567765567765568,616.0,34.81333333333333,94.66666666666667,3.6666666666666665,5.400000000000001,11.520394265232975,406.0,6.686706841545552,428282.39999999997,1147.0,1058.1818181818182
20,2015-09-01,1072.0,597.0,518.0,1.0,55.69,2.99,0.93,107.0,35.73,4.84,12.726666666666668,5.64,120.4,True,False,False,False,9,3,1092.0,1073.0,1038.0,1079.0,-20.0,0.5569029850746269,604.3333333333334,35.19,96.0,3.3333333333333335,7.086666666666669,11.897060931899643,335.59999999999997,7.087518656716419,129068.8,1110.0,1023.5454545454545
21,2015-10-01,1087.0,597.0,476.0,3.0,54.92,2.85,3.0,100.0,35.06,4.76,15.348387096774196,7.083870967741936,89.8,False,False,True,False,10,4,1072.0,1092.0,1073.0,1083.6666666666667,15.0,0.5492180312787488,600.6666666666666,35.339999999999996,98.66666666666667,3.0,8.26451612903226,13.361577060931902,200.79999999999995,8.429610944594476,97612.59999999999,1147.0,1060.3636363636363
