,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_NE,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,1023.0,505.0,287.0,1.0,49.36,2.7,1.12,89.0,33.0,3.22,17.725806451612904,12.816129032258065,14.0,False,False,False,False,True,False,1,1,1054.0,1020.0,1054.0,1032.3333333333333,-31.0,0.49364613880742914,480.3333333333333,33.666666666666664,86.66666666666667,0.6666666666666666,4.909677419354839,15.848853046594982,50.23333333333333,8.750275912086526,14322.0,1054.0,899.1666666666666
13,2015-02-01,924.0,334.0,1518.0,2.0,36.15,2.58,2.35,85.0,33.0,17.86,16.942857142857143,12.389285714285714,15.5,False,False,False,False,True,False,2,1,1023.0,1054.0,1020.0,1000.3333333333334,-99.0,0.36147186147186144,430.0,33.333333333333336,88.0,1.3333333333333333,4.553571428571429,16.81536098310292,31.3,6.124366110080396,14322.0,952.0,815.3333333333334
14,2015-03-01,1023.0,355.0,344.0,1.0,34.7,2.33,1.3,77.0,33.0,4.47,17.219354838709677,11.751612903225809,64.0,False,False,False,False,True,False,3,1,924.0,1023.0,1054.0,990.0,99.0,0.34701857282502446,398.0,33.0,83.66666666666667,1.3333333333333333,5.467741935483868,17.296006144393242,31.166666666666668,5.975435941096712,65472.0,1054.0,906.6363636363636
15,2015-04-01,990.0,322.0,607.0,5.0,32.53,2.67,5.68,88.0,33.0,6.9,14.633333333333333,10.153333333333334,155.1,False,False,False,False,True,False,4,2,1023.0,924.0,1023.0,979.0,-33.0,0.32525252525252524,337.0,33.0,83.33333333333333,2.6666666666666665,4.479999999999999,16.265181771633383,78.2,4.759528619528619,153549.0,1020.0,883.3636363636364
16,2015-05-01,1023.0,386.0,346.0,3.0,37.73,2.12,4.29,70.0,33.0,4.94,13.196774193548388,10.04516129032258,324.2,False,False,True,False,False,False,5,2,990.0,1023.0,924.0,1012.0,33.0,0.37732160312805474,354.3333333333333,33.0,78.33333333333333,3.0,3.151612903225807,15.016487455197131,181.1,4.97942799482862,331656.6,1054.0,896.1818181818181
17,2015-06-01,990.0,452.0,432.0,1.0,45.66,2.67,1.14,88.0,33.0,4.91,10.996666666666666,8.026666666666667,250.0,False,False,False,False,True,False,6,2,1023.0,990.0,1023.0,1001.0,-33.0,0.45656565656565656,386.6666666666667,33.0,82.0,3.0,2.969999999999999,12.94225806451613,243.1,5.020700336700337,247500.0,1020.0,860.0
18,2015-07-01,1023.0,578.0,419.0,1.0,56.5,3.15,0.96,104.0,33.0,4.03,10.425806451612903,7.387096774193548,403.7,False,False,True,False,False,False,7,3,990.0,1023.0,990.0,1012.0,33.0,0.5650048875855328,472.0,33.0,87.33333333333333,1.6666666666666667,3.038709677419355,11.539749103942652,325.96666666666664,5.890631602182071,412985.1,1054.0,877.7272727272727
19,2015-08-01,1023.0,628.0,317.0,4.0,61.39,2.48,4.88,82.0,33.0,3.87,10.6,7.509677419354839,360.2,False,False,True,False,False,False,8,3,1023.0,990.0,1023.0,1012.0,0.0,0.613880742913001,552.6666666666666,33.0,91.33333333333333,2.0,3.090322580645161,10.67415770609319,337.9666666666667,6.50713587487781,368484.6,1054.0,878.8181818181819
20,2015-09-01,990.0,742.0,427.0,5.0,74.95,3.06,4.95,101.0,33.0,4.23,10.913333333333332,7.25,116.5,False,False,True,False,False,False,9,3,1023.0,1023.0,990.0,1012.0,-33.0,0.7494949494949495,649.3333333333334,33.0,95.66666666666667,3.3333333333333335,3.663333333333332,10.646379928315412,293.4666666666667,8.179488215488215,115335.0,1020.0,848.3636363636364
21,2015-10-01,1023.0,711.0,690.0,0.0,69.5,3.58,0.0,118.0,33.0,5.85,12.96774193548387,8.325806451612904,104.8,False,False,True,False,False,False,10,4,990.0,1023.0,1023.0,1012.0,33.0,0.6950146627565983,693.6666666666666,33.0,100.33333333333333,3.0,4.6419354838709666,11.493691756272403,193.83333333333334,9.01277078800492,107210.4,1054.0,880.1818181818181
22,2015-11-01,990.0,617.0,335.0,1.0,62.32,2.64,1.15,87.0,33.0,3.85,14.266666666666667,10.116666666666667,108.8,False,False,False,False,True,False,11,4,1023.0,990.0,1023.0,1001.0,-33.0,0.6232323232323232,690.0,33.0,102.0,2.0,4.15,12.715913978494624,110.03333333333335,8.891447811447811,107712.0,1020.0,852.7272727272727
23,2015-12-01,1023.0,576.0,823.0,2.0,56.3,2.82,2.15,93.0,33.0,8.85,16.37741935483871,11.6,65.5,False,False,False,False,True,False,12,4,990.0,1023.0,990.0,1012.0,33.0,0.5630498533724341,634.6666666666666,33.0,99.33333333333333,1.0,4.777419354838711,14.537275985663081,93.03333333333335,9.2213035663608,67006.5,1054.0,892.1818181818181
24,2016-01-01,1023.0,477.0,958.0,0.0,46.63,2.3,0.0,76.0,33.0,12.61,18.55483870967742,13.4,30.5,False,False,True,False,False,False,1,1,1023.0,990.0,1023.0,1012.0,0.0,0.4662756598240469,556.6666666666666,33.0,85.33333333333333,1.0,5.154838709677419,16.399641577060933,68.26666666666668,8.651669662283606,31201.5,1023.0,899.1666666666666
25,2016-02-01,957.0,394.0,344.0,1.0,41.17,2.15,1.41,71.0,33.0,4.85,17.91785714285714,13.078571428571427,37.8,False,False,False,False,True,False,2,1,1023.0,1023.0,990.0,1001.0,-66.0,0.4117032392894462,482.3333333333333,33.0,80.0,1.0,4.8392857142857135,17.616705069124425,44.60000000000002,7.376839826839826,36174.6,924.0,815.3333333333334
26,2016-03-01,1023.0,481.0,431.0,3.0,47.02,2.03,4.48,67.0,33.0,6.43,16.50967741935484,12.03225806451613,49.900000000000006,False,False,False,False,True,False,3,1,957.0,1023.0,1023.0,1001.0,66.0,0.4701857282502444,450.6666666666667,33.0,71.33333333333333,1.3333333333333333,4.477419354838711,17.6607910906298,39.40000000000002,7.762614700595972,51047.700000000004,1023.0,906.6363636363636
27,2016-04-01,990.0,493.0,359.0,2.0,49.8,2.64,2.3,87.0,33.0,4.13,13.816666666666666,9.346666666666666,151.1,False,False,True,False,False,False,4,2,1023.0,957.0,1023.0,990.0,-33.0,0.49797979797979797,456.0,33.0,75.0,2.0,4.470000000000001,16.081400409626216,79.60000000000002,6.880420875420875,149589.0,990.0,883.3636363636364
28,2016-05-01,1023.0,634.0,257.0,3.0,61.97,2.06,4.41,68.0,33.0,3.78,13.580645161290322,9.770967741935484,70.1,True,False,False,False,False,False,5,2,990.0,1023.0,957.0,1012.0,33.0,0.6197458455522972,536.0,33.0,74.0,2.6666666666666665,3.8096774193548377,14.635663082437276,90.36666666666667,8.416548418629583,71712.29999999999,1023.0,896.1818181818181
29,2016-06-01,990.0,696.0,402.0,4.0,70.3,2.39,5.06,79.0,33.0,5.09,11.006666666666666,7.5,46.6,False,False,True,False,False,False,6,2,1023.0,990.0,1023.0,1001.0,-33.0,0.703030303030303,607.6666666666666,33.0,78.0,3.0,3.506666666666666,12.80132616487455,89.2666666666667,7.738020202020201,46134.0,990.0,860.0
30,2016-07-01,1023.0,716.0,967.0,1.0,69.99,2.73,1.11,90.0,33.0,10.74,10.861290322580643,7.764516129032257,170.1,True,False,False,False,False,False,7,3,990.0,1023.0,990.0,1012.0,33.0,0.6999022482893451,682.0,33.0,79.0,2.6666666666666665,3.096774193548386,11.816200716845875,95.60000000000001,7.601841516097498,174012.3,1023.0,877.7272727272727
31,2016-08-01,1023.0,773.0,364.0,4.0,75.56,2.45,4.94,81.0,33.0,4.49,11.69032258064516,7.919354838709677,285.4,False,False,False,False,True,False,8,3,1023.0,990.0,1023.0,1012.0,0.0,0.7556207233626588,728.3333333333334,33.0,83.33333333333333,3.0,3.7709677419354835,11.186093189964156,167.36666666666667,8.83345000472992,291964.19999999995,1023.0,878.8181818181819
32,2016-09-01,990.0,740.0,935.0,3.0,74.75,2.73,3.33,90.0,33.0,10.39,12.653333333333334,8.41,131.6,False,False,False,False,True,False,9,3,1023.0,1023.0,990.0,1012.0,-33.0,0.7474747474747475,743.0,33.0,87.0,2.6666666666666665,4.243333333333334,11.734982078853045,195.70000000000002,9.458047138047139,130284.0,990.0,848.3636363636364
33,2016-10-01,1023.0,713.0,323.0,2.0,69.7,2.42,2.5,80.0,33.0,4.04,13.480645161290322,9.212903225806452,121.9,False,False,False,False,True,False,10,4,990.0,1023.0,1023.0,1012.0,33.0,0.696969696969697,742.0,33.0,83.66666666666667,3.0,4.267741935483871,12.608100358422938,179.63333333333335,9.395601173020529,124703.70000000001,1023.0,880.1818181818181
34,2016-11-01,990.0,705.0,847.0,2.0,71.21,2.45,2.47,81.0,33.0,10.46,14.953333333333337,10.906666666666666,94.9,False,False,False,False,True,False,11,4,1023.0,990.0,1023.0,1001.0,-33.0,0.7121212121212122,719.3333333333334,33.0,83.66666666666667,2.3333333333333335,4.04666666666667,13.695770609318998,116.13333333333337,10.64858585858586,93951.0,990.0,852.7272727272727
35,2016-12-01,1023.0,706.0,683.0,3.0,69.01,2.61,3.49,86.0,33.0,7.94,16.770967741935483,12.12258064516129,107.0,False,False,False,False,False,True,12,4,990.0,1023.0,990.0,1012.0,33.0,0.6901270772238515,708.0,33.0,82.33333333333333,2.3333333333333335,4.648387096774192,15.06831541218638,107.93333333333335,11.574098949957431,109461.0,1023.0,892.1818181818181
36,2017-01-01,1023.0,717.0,481.0,2.0,70.09,2.12,2.86,70.0,33.0,6.87,17.925806451612903,12.016129032258064,231.9,False,False,False,False,True,False,1,1,1023.0,990.0,1023.0,1012.0,0.0,0.7008797653958945,709.3333333333334,33.0,79.0,2.3333333333333335,5.909677419354839,16.550035842293905,144.60000000000002,12.563835020338663,237233.7,1023.0,899.1666666666666
37,2017-02-01,924.0,658.0,270.0,1.0,71.21,1.52,2.0,50.0,33.0,5.4,18.77142857142857,13.164285714285716,182.2,False,False,False,False,False,True,2,1,1023.0,1023.0,990.0,990.0,-99.0,0.7121212121212122,693.6666666666666,33.0,68.66666666666667,2.0,5.607142857142852,17.822734254992316,173.70000000000005,13.367532467532467,168352.8,957.0,815.3333333333334
38,2017-03-01,1023.0,769.0,668.0,4.0,75.17,1.64,7.41,54.0,33.0,12.37,16.30322580645161,10.55483870967742,145.7,False,False,True,False,False,False,3,1,924.0,1023.0,1023.0,990.0,99.0,0.7517106549364614,714.6666666666666,33.0,58.0,2.3333333333333335,5.7483870967741915,17.666820276497692,186.60000000000002,12.25530854854476,149051.09999999998,1023.0,906.6363636363636
39,2017-04-01,990.0,723.0,683.0,1.0,73.03,1.61,1.89,53.0,33.0,12.89,15.696666666666664,10.173333333333334,275.5,False,False,True,False,False,False,4,2,1023.0,924.0,1023.0,979.0,-33.0,0.7303030303030303,716.6666666666666,33.0,52.333333333333336,2.0,5.52333333333333,16.923773681515616,201.13333333333335,11.46332323232323,272745.0,990.0,883.3636363636364
40,2017-05-01,1023.0,799.0,644.0,4.0,78.1,1.39,8.7,46.0,33.0,14.0,13.13548387096774,7.816129032258065,328.3,True,False,False,False,False,False,5,2,990.0,1023.0,924.0,1012.0,33.0,0.7810361681329423,763.6666666666666,33.0,51.0,3.0,5.319354838709675,15.04512544802867,249.83333333333334,10.25928798915271,335850.9,1023.0,896.1818181818181
41,2017-06-01,990.0,740.0,577.0,2.0,74.75,1.33,4.55,44.0,33.0,13.11,10.343333333333334,6.0633333333333335,506.3,False,False,False,True,False,False,6,2,1023.0,990.0,1023.0,1001.0,-33.0,0.7474747474747475,754.0,33.0,47.666666666666664,2.3333333333333335,4.28,13.05849462365591,370.0333333333333,7.731380471380472,501237.0,990.0,860.0
42,2017-07-01,1023.0,807.0,491.0,2.0,78.89,1.79,3.39,59.0,33.0,8.32,10.419354838709678,5.516129032258065,249.5,True,False,False,False,False,False,7,3,990.0,1023.0,990.0,1012.0,33.0,0.7888563049853372,782.0,33.0,49.666666666666664,2.6666666666666665,4.903225806451613,11.299390681003581,361.3666666666666,8.21937375839561,255238.5,1023.0,877.7272727272727
43,2017-08-01,1023.0,739.0,528.0,1.0,72.24,1.27,2.38,42.0,33.0,12.57,10.093548387096773,5.83225806451613,566.9,True,False,False,False,False,False,8,3,1023.0,990.0,1023.0,1012.0,0.0,0.7223851417399805,762.0,33.0,48.333333333333336,1.6666666666666667,4.261290322580643,10.285412186379927,440.90000000000003,7.291429382272254,579938.7,1023.0,878.8181818181819
44,2017-09-01,990.0,708.0,192.0,0.0,71.52,1.24,0.0,41.0,33.0,4.68,10.9,5.52,245.2,False,False,False,True,False,False,9,3,1023.0,1023.0,990.0,1012.0,-33.0,0.7151515151515152,751.3333333333334,33.0,47.333333333333336,1.0,5.380000000000001,10.470967741935482,353.86666666666673,7.795151515151516,242748.0,990.0,848.3636363636364
