,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,1240.0,878.0,878.0,6.0,70.81,5.38,2.79,215.0,40.0,4.08,29.187096774193545,14.33548387096774,0.2,False,False,False,True,1,1,1240.0,1200.0,1240.0,1226.6666666666667,0.0,0.7080645161290322,855.6666666666666,40.0,209.33333333333334,7.333333333333333,14.851612903225805,26.480143369175625,4.833333333333338,20.66634755463059,248.0,1231.0,1239.25
13,2015-02-01,1120.0,716.0,716.0,4.0,63.93,4.48,2.23,179.0,40.0,4.0,27.67142857142857,14.125,37.400000000000006,False,False,False,True,2,1,1240.0,1240.0,1200.0,1200.0,-120.0,0.6392857142857142,816.6666666666666,40.0,202.66666666666666,6.0,13.54642857142857,27.686175115207373,13.566666666666672,17.689948979591836,41888.00000000001,1120.0,1130.4166666666667
14,2015-03-01,1240.0,973.0,957.0,9.0,78.47,5.25,4.29,210.0,40.0,4.56,27.68387096774193,13.9,5.6,False,False,True,False,3,1,1120.0,1240.0,1240.0,1200.0,120.0,0.7846774193548387,855.6666666666666,40.0,201.33333333333334,6.333333333333333,13.783870967741931,28.18079877112135,14.400000000000006,21.72290842872008,6944.0,1240.0,1242.1818181818182
15,2015-04-01,1200.0,854.0,854.0,4.0,71.17,5.13,1.95,205.0,40.0,4.17,25.043333333333333,10.963333333333331,0.0,False,False,False,True,4,2,1240.0,1120.0,1240.0,1186.6666666666667,-40.0,0.7116666666666667,847.6666666666666,40.0,198.0,5.666666666666667,14.080000000000002,26.799544290834614,14.333333333333341,17.822505555555555,0.0,1201.0,1208.909090909091
16,2015-05-01,1240.0,796.0,796.0,11.0,64.19,4.58,6.01,183.0,40.0,4.35,20.13225806451613,6.467741935483871,0.6,False,False,False,True,5,2,1200.0,1240.0,1120.0,1226.6666666666667,40.0,0.6419354838709678,874.3333333333334,40.0,199.33333333333334,8.0,13.664516129032258,24.286487455197133,2.0666666666666713,12.923610822060354,744.0,1240.0,1223.090909090909
17,2015-06-01,1200.0,852.0,852.0,5.0,71.0,5.1,2.45,204.0,40.0,4.18,17.959999999999997,4.413333333333333,0.0,False,False,False,True,6,2,1240.0,1200.0,1240.0,1213.3333333333333,-40.0,0.71,834.0,40.0,197.33333333333334,6.666666666666667,13.546666666666663,21.045197132616483,0.20000000000000473,12.751599999999998,0.0,1200.0,1191.8181818181818
18,2015-07-01,1234.0,1053.0,1053.0,16.0,85.33,6.05,6.64,241.0,39.81,4.37,14.63548387096774,3.574193548387097,83.4,False,False,False,True,7,3,1200.0,1240.0,1200.0,1224.6666666666667,34.0,0.853322528363047,900.3333333333334,39.93666666666667,209.33333333333334,10.666666666666666,11.061290322580643,17.575913978494622,28.000000000000004,12.488788100590785,102915.6,1240.0,1229.1818181818182
19,2015-08-01,1240.0,1080.0,1080.0,7.0,87.1,4.98,3.52,199.0,40.0,5.43,15.12258064516129,5.761290322580645,168.5,False,False,False,True,8,3,1234.0,1200.0,1240.0,1224.6666666666667,6.0,0.8709677419354839,995.0,39.93666666666667,214.66666666666666,9.333333333333334,9.361290322580647,15.906021505376343,83.96666666666668,13.171279916753383,208940.0,1240.0,1223.090909090909
20,2015-09-01,1200.0,927.0,927.0,6.0,77.25,5.53,2.71,221.0,40.0,4.19,16.79,5.913333333333333,74.2,False,False,False,True,9,3,1240.0,1234.0,1200.0,1224.6666666666667,-40.0,0.7725,1020.0,39.93666666666667,220.33333333333334,9.666666666666666,10.876666666666665,15.516021505376344,108.7,12.970274999999999,89040.0,1200.0,1206.0
21,2015-10-01,1240.0,865.0,865.0,9.0,69.76,5.18,4.35,207.0,40.0,4.18,17.038709677419355,6.732258064516128,94.1,False,False,False,True,10,4,1200.0,1240.0,1234.0,1226.6666666666667,40.0,0.6975806451612904,957.3333333333334,40.0,209.0,7.333333333333333,10.306451612903228,16.317096774193548,112.26666666666667,11.885874089490116,116684.0,1240.0,1237.1818181818182
22,2015-11-01,1200.0,779.0,779.0,5.0,64.92,4.9,2.55,196.0,40.0,3.97,21.78333333333333,9.116666666666667,31.500000000000004,False,False,True,False,11,4,1240.0,1200.0,1240.0,1213.3333333333333,-40.0,0.6491666666666667,857.0,40.0,208.0,6.666666666666667,12.666666666666664,18.537347670250895,66.60000000000001,14.141013888888887,37800.00000000001,1200.0,1174.3636363636363
23,2015-12-01,1240.0,762.0,762.0,8.0,61.45,4.55,4.4,182.0,40.0,4.19,27.50967741935484,12.73225806451613,0.8,False,False,False,True,12,4,1200.0,1240.0,1200.0,1226.6666666666667,40.0,0.614516129032258,802.0,40.0,195.0,7.333333333333333,14.777419354838711,22.11057347670251,42.13333333333334,16.905140478668056,992.0,1240.0,1105.090909090909
24,2016-01-01,1240.0,766.0,759.0,5.0,61.77,4.88,2.56,195.0,40.0,3.89,28.070967741935487,14.148387096774194,12.499999999999998,False,False,False,True,1,1,1240.0,1200.0,1240.0,1226.6666666666667,0.0,0.617741935483871,769.0,40.0,191.0,6.0,13.922580645161293,25.787992831541217,14.933333333333344,17.340613943808535,15499.999999999998,1240.0,1239.25
25,2016-02-01,1142.0,829.0,764.0,8.0,72.59,5.05,4.02,199.0,39.38,3.84,29.514285714285712,14.335714285714284,0.0,False,False,False,True,2,1,1240.0,1240.0,1200.0,1207.3333333333333,-98.0,0.7259194395796847,785.6666666666666,39.79333333333333,192.0,7.0,15.178571428571429,28.364976958525347,4.4333333333333425,21.42499374530898,0.0,1120.0,1130.4166666666667
26,2016-03-01,1249.0,1008.0,941.0,12.0,80.7,5.66,5.26,228.0,40.29,4.13,27.62258064516129,13.506451612903223,0.0,False,False,False,True,3,1,1142.0,1240.0,1240.0,1210.3333333333333,107.0,0.8070456365092074,867.6666666666666,39.88999999999999,207.33333333333334,8.333333333333334,14.116129032258065,28.40261136712749,4.166666666666676,22.292683178801106,0.0,1240.0,1242.1818181818182
27,2016-04-01,1341.0,768.0,827.0,9.0,57.27,4.23,4.76,189.0,44.7,4.38,19.293333333333333,9.283333333333331,243.5,False,False,False,True,4,2,1249.0,1142.0,1240.0,1244.0,92.0,0.5727069351230425,868.3333333333334,41.45666666666667,205.33333333333334,9.666666666666666,10.010000000000002,25.47673323092678,81.16666666666667,11.049425801640567,326533.5,1200.0,1208.909090909091
28,2016-05-01,1240.0,925.0,834.0,6.0,74.6,5.4,2.78,216.0,40.0,3.86,17.05806451612903,7.300000000000001,58.7,False,False,False,True,5,2,1341.0,1249.0,1142.0,1276.6666666666667,-101.0,0.7459677419354839,900.3333333333334,41.663333333333334,211.0,9.0,9.758064516129028,21.324659498207883,100.73333333333335,12.724765868886575,72788.0,1240.0,1223.090909090909
29,2016-06-01,1110.0,746.0,785.0,12.0,67.21,5.51,5.88,204.0,37.0,3.85,15.133333333333333,2.773333333333333,82.8,False,False,False,True,6,2,1240.0,1341.0,1249.0,1230.3333333333333,-130.0,0.6720720720720721,813.0,40.56666666666667,203.0,9.0,12.36,17.161577060931894,128.33333333333334,10.17069069069069,91908.0,1200.0,1191.8181818181818
