,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_S,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,341.0,229.0,226.0,3.0,67.16,3.45,7.89,38.0,11.0,5.95,30.7,17.18064516129032,0.0,False,False,True,1,1,341.0,330.0,403.0,337.3333333333333,0.0,0.6715542521994134,226.66666666666666,11.0,34.666666666666664,2.0,13.519354838709678,27.49888888888889,8.433333333333334,20.61671554252199,0.0,403.0,389.0
13,2015-02-01,308.0,157.0,258.0,0.0,50.97,3.73,0.0,41.0,11.0,6.29,29.764285714285712,17.089285714285715,0.5,False,False,True,2,1,341.0,341.0,330.0,330.0,-33.0,0.5097402597402597,205.0,11.0,38.0,1.6666666666666667,12.674999999999997,29.12142857142857,3.0333333333333337,15.172054730983302,154.0,364.0,355.0
14,2015-03-01,341.0,185.0,144.0,1.0,54.25,2.64,3.45,29.0,11.0,4.97,28.970967741935485,15.34516129032258,1.9,False,True,False,3,1,308.0,341.0,341.0,330.0,33.0,0.5425219941348973,190.33333333333334,11.0,36.0,1.3333333333333333,13.625806451612906,29.81175115207373,0.7999999999999999,15.717387191372623,647.9,403.0,395.0
15,2015-04-01,390.0,195.0,254.0,3.0,50.0,2.69,8.57,35.0,13.0,7.26,25.043333333333333,10.986666666666668,2.9,False,True,False,4,2,341.0,308.0,341.0,346.3333333333333,49.0,0.5,179.0,11.666666666666666,35.0,1.3333333333333333,14.056666666666665,27.92619559651818,1.7666666666666666,12.521666666666667,1131.0,390.0,387.6363636363636
16,2015-05-01,403.0,212.0,140.0,1.0,52.61,1.77,4.35,23.0,13.0,6.09,19.664516129032258,6.490322580645162,7.3,False,True,False,5,2,390.0,341.0,308.0,378.0,13.0,0.5260545905707196,197.33333333333334,12.333333333333334,29.0,1.6666666666666667,13.174193548387095,24.55960573476703,4.033333333333333,10.344608981029376,2941.9,403.0,394.54545454545456
17,2015-06-01,390.0,181.0,185.0,5.0,46.41,2.62,14.71,34.0,13.0,5.44,16.633333333333333,3.616666666666666,26.6,False,True,False,6,2,403.0,390.0,341.0,394.3333333333333,-13.0,0.4641025641025641,196.0,13.0,30.666666666666668,3.0,13.016666666666667,20.447060931899642,12.266666666666666,7.719572649572649,10374.0,390.0,379.8181818181818
18,2015-07-01,403.0,261.0,107.0,1.0,64.76,1.69,4.55,22.0,13.0,4.86,15.003225806451614,4.806451612903226,146.20000000000002,False,True,False,7,3,390.0,403.0,390.0,398.6666666666667,13.0,0.6476426799007444,218.0,13.0,26.333333333333332,2.3333333333333335,10.196774193548388,17.100358422939067,60.03333333333334,9.71672936844633,58918.600000000006,403.0,389.90909090909093
19,2015-08-01,403.0,252.0,283.0,5.0,62.53,2.15,17.86,28.0,13.0,10.11,16.441935483870967,6.83225806451613,175.8,False,True,False,8,3,403.0,390.0,403.0,398.6666666666667,0.0,0.6253101736972705,231.33333333333334,13.0,28.0,3.6666666666666665,9.609677419354838,16.02616487455197,116.2,10.28130953333867,70847.40000000001,403.0,398.27272727272725
20,2015-09-01,390.0,226.0,420.0,1.0,57.95,3.31,2.33,43.0,13.0,9.77,17.953333333333333,6.613333333333333,63.4,False,True,False,9,3,403.0,403.0,390.0,398.6666666666667,-13.0,0.5794871794871795,246.33333333333334,13.0,31.0,2.3333333333333335,11.34,16.46616487455197,128.46666666666667,10.403726495726497,24726.0,390.0,384.27272727272725
21,2015-10-01,403.0,247.0,394.0,2.0,61.29,2.85,5.41,37.0,13.0,10.65,18.98709677419355,8.17741935483871,80.1,False,False,True,10,4,390.0,403.0,403.0,398.6666666666667,13.0,0.6129032258064516,241.66666666666666,13.0,36.0,2.6666666666666665,10.80967741935484,17.79412186379928,106.43333333333334,11.637252861602498,32280.3,403.0,395.8181818181818
22,2015-11-01,390.0,252.0,257.0,1.0,64.62,2.54,3.03,33.0,13.0,7.79,23.116666666666667,11.363333333333332,17.2,False,True,False,11,4,403.0,390.0,403.0,394.3333333333333,-13.0,0.6461538461538462,241.66666666666666,13.0,37.666666666666664,1.3333333333333333,11.753333333333336,20.019032258064517,53.56666666666666,14.936923076923078,6708.0,330.0,382.90909090909093
23,2015-12-01,403.0,262.0,223.0,3.0,65.01,3.38,6.82,44.0,13.0,5.07,28.44193548387097,14.035483870967743,0.4,False,False,True,12,4,390.0,403.0,390.0,398.6666666666667,13.0,0.6501240694789082,253.66666666666666,13.0,38.0,2.0,14.406451612903227,23.515232974910393,32.56666666666666,18.490786840630754,161.20000000000002,341.0,390.3636363636364
24,2016-01-01,403.0,291.0,247.0,2.0,72.21,2.31,6.67,30.0,13.0,8.23,28.82258064516129,16.63225806451613,8.1,False,False,True,1,1,403.0,390.0,403.0,398.6666666666667,0.0,0.7220843672456576,268.3333333333333,13.0,35.666666666666664,2.0,12.190322580645159,26.79372759856631,8.566666666666666,20.812334907548227,3264.2999999999997,341.0,389.0
25,2016-02-01,377.0,281.0,279.0,0.0,74.54,2.38,0.0,31.0,13.0,9.0,30.03214285714285,16.714285714285715,0.3999999999999999,False,False,True,2,1,403.0,403.0,390.0,394.3333333333333,-26.0,0.7453580901856764,278.0,13.0,35.0,1.6666666666666667,13.317857142857136,29.098886328725033,2.966666666666667,22.3847006441834,150.79999999999995,308.0,355.0
26,2016-03-01,403.0,324.0,275.0,0.0,80.4,2.85,0.0,37.0,13.0,7.43,27.990322580645163,14.919354838709678,0.0,False,False,True,3,1,377.0,403.0,403.0,394.3333333333333,26.0,0.8039702233250621,298.6666666666667,13.0,32.666666666666664,0.6666666666666666,13.070967741935485,28.948348694316437,2.8333333333333335,22.50338589610182,0.0,341.0,395.0
27,2016-04-01,390.0,318.0,414.0,2.0,81.54,2.92,5.26,38.0,13.0,10.89,20.113333333333333,10.866666666666667,153.6,False,True,False,4,2,403.0,377.0,403.0,390.0,-13.0,0.8153846153846154,307.6666666666667,13.0,35.333333333333336,0.6666666666666666,9.246666666666666,26.04526625704045,51.333333333333336,16.400102564102564,59904.0,390.0,387.6363636363636
28,2016-05-01,403.0,317.0,198.0,3.0,78.66,2.23,10.34,29.0,13.0,6.83,18.43870967741936,9.64516129032258,52.0,False,True,False,5,2,390.0,403.0,377.0,398.6666666666667,13.0,0.7866004962779156,319.6666666666667,13.0,34.666666666666664,1.6666666666666667,8.79354838709678,22.180788530465957,68.53333333333333,14.503898182982475,20956.0,403.0,394.54545454545456
29,2016-06-01,390.0,354.0,203.0,2.0,90.77,1.77,8.7,23.0,13.0,8.83,15.786666666666669,3.17,26.5,False,True,False,6,2,403.0,390.0,403.0,394.3333333333333,-13.0,0.9076923076923077,329.6666666666667,13.0,30.0,2.3333333333333335,12.616666666666669,18.112903225806452,77.36666666666666,14.3294358974359,10335.0,390.0,379.8181818181818
30,2016-07-01,403.0,348.0,317.0,3.0,86.35,2.77,8.33,36.0,13.0,8.81,15.374193548387096,4.66774193548387,163.6,True,False,False,7,3,390.0,403.0,390.0,398.6666666666667,13.0,0.8635235732009926,339.6666666666667,13.0,29.333333333333332,2.6666666666666665,10.706451612903226,16.53318996415771,80.7,13.275978547986872,65930.8,403.0,389.90909090909093
31,2016-08-01,403.0,316.0,256.0,4.0,78.41,2.85,10.81,37.0,13.0,6.92,17.351612903225806,5.148387096774194,18.8,False,True,False,8,3,403.0,390.0,403.0,398.6666666666667,0.0,0.7841191066997518,339.3333333333333,13.0,32.0,3.0,12.203225806451613,16.170824372759856,69.63333333333334,13.605731209477307,7576.400000000001,403.0,398.27272727272725
32,2016-09-01,390.0,253.0,169.0,3.0,64.87,2.54,9.09,33.0,13.0,5.12,21.506666666666668,6.433333333333334,1.5,False,True,False,9,3,403.0,403.0,390.0,398.6666666666667,-13.0,0.6487179487179487,305.6666666666667,13.0,35.333333333333336,3.3333333333333335,15.073333333333334,18.077491039426523,61.300000000000004,13.951760683760686,585.0,390.0,384.27272727272725
33,2016-10-01,403.0,325.0,257.0,0.0,80.65,2.46,0.0,32.0,13.0,8.03,22.13870967741936,10.416129032258064,47.0,False,False,True,10,4,390.0,403.0,403.0,398.6666666666667,13.0,0.8064516129032258,298.0,13.0,34.0,2.3333333333333335,11.722580645161296,20.332329749103945,22.433333333333334,17.853798126951094,18941.0,403.0,395.8181818181818
34,2016-11-01,390.0,312.0,190.0,1.0,80.0,2.31,3.33,30.0,13.0,6.33,27.62,12.68,5.4,False,True,False,11,4,403.0,390.0,403.0,394.3333333333333,-13.0,0.8,296.6666666666667,13.0,31.666666666666668,1.3333333333333333,14.940000000000001,23.75512544802868,17.966666666666665,22.096000000000004,2106.0,390.0,382.90909090909093
35,2016-12-01,403.0,266.0,546.0,1.0,66.0,2.92,2.63,38.0,13.0,14.37,28.13225806451613,14.387096774193548,5.7,False,False,True,12,4,390.0,403.0,390.0,398.6666666666667,13.0,0.6600496277915633,301.0,13.0,33.333333333333336,0.6666666666666666,13.745161290322581,25.9636559139785,19.366666666666664,18.568686464420075,2297.1,403.0,390.3636363636364
36,2017-01-01,403.0,260.0,171.0,4.0,64.52,2.23,13.79,29.0,13.0,5.9,31.851612903225806,15.40967741935484,0.0,False,True,False,1,1,403.0,390.0,403.0,398.6666666666667,0.0,0.6451612903225806,279.3333333333333,13.0,32.333333333333336,2.0,16.441935483870967,29.201290322580647,3.699999999999998,20.54942767950052,0.0,403.0,389.0
37,2017-02-01,364.0,223.0,259.0,1.0,61.26,2.38,3.23,31.0,13.0,8.35,29.803571428571427,14.996428571428572,8.1,False,False,True,2,1,403.0,403.0,390.0,390.0,-39.0,0.6126373626373627,249.66666666666666,13.0,32.666666666666664,2.0,14.807142857142855,29.92914746543779,4.599999999999997,18.258781397174253,2948.4,377.0,355.0
38,2017-03-01,403.0,217.0,187.0,0.0,53.85,3.0,0.0,39.0,13.0,4.79,27.58709677419355,12.825806451612904,2.2,False,False,True,3,1,364.0,403.0,403.0,390.0,39.0,0.5384615384615384,233.33333333333334,13.0,33.0,1.6666666666666667,14.761290322580647,29.74742703533026,3.43333333333333,14.854590570719603,886.6,403.0,395.0
39,2017-04-01,390.0,231.0,152.0,1.0,59.23,2.0,3.85,26.0,13.0,5.85,22.26,9.41,64.6,False,True,False,4,2,403.0,364.0,403.0,385.6666666666667,-13.0,0.5923076923076923,223.66666666666666,13.0,32.0,0.6666666666666666,12.850000000000001,26.55022273425499,24.966666666666658,13.184769230769232,25193.999999999996,390.0,387.6363636363636
40,2017-05-01,403.0,224.0,209.0,1.0,55.58,3.0,2.56,39.0,13.0,5.36,17.280645161290323,7.15483870967742,83.10000000000001,False,True,False,5,2,390.0,403.0,364.0,398.6666666666667,13.0,0.5558312655086849,224.0,13.0,34.666666666666664,0.6666666666666666,10.125806451612902,22.375913978494623,49.96666666666666,9.605122868806532,33489.3,403.0,394.54545454545456
41,2017-06-01,390.0,247.0,208.0,3.0,63.33,2.62,8.82,34.0,13.0,6.12,13.79,4.17,238.4,True,False,False,6,2,403.0,390.0,403.0,394.3333333333333,-13.0,0.6333333333333333,234.0,13.0,33.0,1.6666666666666667,9.62,17.776881720430108,128.70000000000002,8.733666666666666,92976.0,390.0,379.8181818181818
42,2017-07-01,403.0,275.0,159.0,5.0,68.24,2.69,14.29,35.0,13.0,4.54,14.038709677419355,2.864516129032258,67.7,False,True,False,7,3,390.0,403.0,390.0,398.6666666666667,13.0,0.6823821339950372,248.66666666666666,13.0,36.0,3.0,11.174193548387098,15.036451612903226,129.73333333333335,9.5797646682142,27283.100000000002,403.0,389.90909090909093
