,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,1658.0,905.0,898.0,5.0,54.58,4.69,1.99,251.0,53.48,3.58,19.425806451612903,7.487096774193549,0.8,False,False,False,True,False,1,1,1644.0,1637.0,1764.0,1646.3333333333333,14.0,0.5458383594692401,950.0,53.69333333333333,255.0,3.6666666666666665,11.938709677419354,15.166344086021505,46.13333333333333,10.603350324915366,1326.4,1617.0,1827.9166666666667
13,2015-02-01,1508.0,748.0,727.0,1.0,49.6,3.81,0.49,205.0,53.86,3.55,19.339285714285715,7.524999999999999,3.9,False,False,False,True,False,2,1,1658.0,1644.0,1637.0,1603.3333333333333,-150.0,0.4960212201591512,848.3333333333334,53.45666666666667,230.66666666666666,2.6666666666666665,11.814285714285717,17.789439324116746,23.33333333333334,9.592696097006442,5881.2,1457.0,1697.8333333333333
14,2015-03-01,1677.0,1026.0,935.0,2.0,61.18,4.7,0.79,254.0,54.1,3.68,18.36774193548387,7.396774193548388,9.7,False,False,False,True,False,3,1,1508.0,1658.0,1644.0,1614.3333333333333,169.0,0.6118067978533095,893.0,53.81333333333333,236.66666666666666,2.6666666666666665,10.970967741935482,19.044278033794164,4.8,11.237509377344336,16266.9,1631.0,1823.0
15,2015-04-01,1621.0,1024.0,1018.0,1.0,63.17,4.79,0.39,259.0,54.03,3.93,12.436666666666667,5.02,114.3,False,False,False,True,False,4,2,1677.0,1508.0,1658.0,1602.0,-56.0,0.6317088217149908,932.6666666666666,53.99666666666667,239.33333333333334,1.3333333333333333,7.416666666666668,16.71456477214542,42.63333333333333,7.856352046062102,185280.3,1570.0,1763.2727272727273
16,2015-05-01,1678.0,1003.0,1018.0,4.0,59.77,4.06,1.82,220.0,54.13,4.63,8.567741935483872,2.364516129032258,324.2,False,True,False,False,False,5,2,1621.0,1677.0,1508.0,1658.6666666666667,57.0,0.597735399284863,1017.6666666666666,54.086666666666666,244.33333333333334,2.3333333333333335,6.203225806451614,13.124050179211471,149.4,5.121242646776117,544007.6,1616.0,1825.1818181818182
17,2015-06-01,1626.0,1014.0,1009.0,1.0,62.36,4.46,0.41,242.0,54.2,4.17,5.569999999999999,0.2466666666666666,528.1,False,True,False,False,False,6,2,1678.0,1621.0,1677.0,1641.6666666666667,-52.0,0.6236162361623616,1013.6666666666666,54.120000000000005,240.33333333333334,2.0,5.323333333333332,8.858136200716846,322.2,3.473542435424354,858690.6000000001,1572.0,1768.909090909091
18,2015-07-01,1662.0,1028.0,939.0,6.0,61.85,4.55,2.46,244.0,53.61,3.85,4.554838709677419,-1.0258064516129033,420.0,False,False,True,False,False,7,3,1626.0,1678.0,1621.0,1655.3333333333333,36.0,0.618531889290012,1015.0,53.98,235.33333333333334,3.6666666666666665,5.580645161290322,6.230860215053763,424.1000000000001,2.8173129925080547,698040.0,1625.0,1831.3636363636363
19,2015-08-01,1674.0,1060.0,1080.0,0.0,63.32,3.96,0.0,214.0,54.0,5.05,6.658064516129032,0.0838709677419355,438.8,False,True,False,False,False,8,3,1662.0,1626.0,1678.0,1654.0,12.0,0.6332138590203107,1034.0,53.93666666666667,233.33333333333334,2.3333333333333335,6.574193548387097,5.594301075268817,462.3,4.215978725864262,734551.2000000001,1654.0,1870.0
20,2015-09-01,1625.0,1022.0,1126.0,6.0,62.89,4.23,2.62,229.0,54.17,4.92,7.426666666666667,-1.0633333333333332,218.6,False,False,False,True,False,9,3,1674.0,1662.0,1626.0,1653.6666666666667,-49.0,0.6289230769230769,1036.6666666666667,53.92666666666667,229.0,4.0,8.49,6.213189964157706,359.1333333333334,4.670802051282052,355225.0,1669.0,1778.0
21,2015-10-01,1677.0,1050.0,1049.0,4.0,62.61,4.92,1.5,266.0,54.1,3.94,10.319354838709677,0.6838709677419355,160.4,False,True,False,False,False,10,4,1625.0,1674.0,1662.0,1658.6666666666667,52.0,0.6261180679785331,1044.0,54.09,236.33333333333334,3.3333333333333335,9.635483870967741,8.134695340501791,272.59999999999997,6.46113451439783,268990.8,1764.0,1862.090909090909
22,2015-11-01,1626.0,932.0,915.0,3.0,57.32,3.86,1.44,209.0,54.2,4.38,12.46,3.03,88.10000000000001,False,False,False,False,True,11,4,1677.0,1625.0,1674.0,1642.6666666666667,-51.0,0.5731857318573186,1001.3333333333334,54.156666666666666,234.66666666666666,4.333333333333333,9.430000000000001,10.068673835125448,155.70000000000002,7.14189421894219,143250.6,1637.0,1794.6363636363637
23,2015-12-01,1675.0,869.0,951.0,3.0,51.88,4.33,1.28,234.0,54.03,4.06,14.78064516129032,4.903225806451613,114.6,False,False,False,True,False,12,4,1626.0,1677.0,1625.0,1659.3333333333333,49.0,0.5188059701492538,950.3333333333334,54.11000000000001,236.33333333333334,3.3333333333333335,9.877419354838707,12.520000000000001,121.03333333333335,7.668286952335098,191955.0,1644.0,1832.6363636363637
24,2016-01-01,1677.0,981.0,888.0,2.0,58.5,3.75,0.99,203.0,54.1,4.37,18.796774193548387,8.651612903225805,41.6,False,False,False,True,False,1,1,1675.0,1626.0,1677.0,1659.3333333333333,2.0,0.5849731663685152,927.3333333333334,54.11000000000001,215.33333333333334,2.6666666666666665,10.145161290322582,15.345806451612901,81.43333333333334,10.995608517513993,69763.2,1658.0,1827.9166666666667
25,2016-02-01,1565.0,786.0,789.0,5.0,50.22,3.22,2.87,174.0,53.97,4.53,17.460714285714285,7.575,17.4,False,False,False,True,False,2,1,1677.0,1675.0,1626.0,1639.0,-112.0,0.5022364217252396,878.6666666666666,54.03333333333333,203.66666666666666,3.3333333333333335,9.885714285714286,17.012711213517665,57.86666666666665,8.769406663623917,27230.999999999996,1508.0,1697.8333333333333
26,2016-03-01,1692.0,1062.0,1049.0,5.0,62.77,4.51,2.03,246.0,54.58,4.26,18.458064516129035,6.82258064516129,38.6,False,True,False,False,False,3,1,1565.0,1677.0,1675.0,1644.6666666666667,127.0,0.6276595744680851,943.0,54.21666666666666,207.66666666666666,4.0,11.635483870967745,18.23851766513057,32.53333333333333,11.58538091969801,65311.200000000004,1677.0,1823.0
27,2016-04-01,1625.0,1055.0,1059.0,7.0,64.92,4.14,3.13,224.0,54.17,4.73,10.98,2.7366666666666664,212.6,False,True,False,False,False,4,2,1692.0,1565.0,1677.0,1627.3333333333333,-67.0,0.6492307692307693,967.6666666666666,54.24,214.66666666666666,5.666666666666667,8.243333333333334,15.632926267281107,89.53333333333332,7.128553846153847,345475.0,1621.0,1763.2727272727273
28,2016-05-01,1677.0,1009.0,938.0,3.0,60.17,4.18,1.33,226.0,54.1,4.15,10.903225806451612,3.335483870967742,104.3,True,False,False,False,False,5,2,1625.0,1692.0,1565.0,1664.6666666666667,52.0,0.6016696481812761,1042.0,54.28333333333333,232.0,5.0,7.56774193548387,13.447096774193549,118.5,6.560140035008752,174911.1,1678.0,1825.1818181818182
29,2016-06-01,1630.0,1077.0,1159.0,8.0,66.07,4.45,3.31,242.0,54.33,4.79,7.393333333333333,-0.93,40.5,False,False,True,False,False,6,2,1677.0,1625.0,1692.0,1644.0,-47.0,0.6607361963190184,1047.0,54.199999999999996,230.66666666666666,6.0,8.323333333333332,9.75885304659498,119.13333333333333,4.885042944785275,66015.0,1626.0,1768.909090909091
30,2016-07-01,1682.0,1046.0,1026.0,4.0,62.19,4.24,1.74,230.0,54.26,4.46,5.703225806451614,-0.2838709677419354,347.3,True,False,False,False,False,7,3,1630.0,1677.0,1625.0,1663.0,52.0,0.6218787158145065,1044.0,54.23,232.66666666666666,5.0,5.9870967741935495,7.999928315412187,164.03333333333333,3.5467147405162827,584158.6,1662.0,1831.3636363636363
31,2016-08-01,1572.0,1072.0,1137.0,7.0,68.19,4.59,3.0,233.0,50.71,4.88,6.580645161290323,-0.5258064516129033,387.6,False,True,False,False,False,8,3,1682.0,1630.0,1677.0,1628.0,-110.0,0.6819338422391857,1065.0,53.1,235.0,6.333333333333333,7.106451612903227,6.559068100358424,258.4666666666667,4.487564639251416,609307.2000000001,1674.0,1870.0
32,2016-09-01,1623.0,1032.0,1059.0,8.0,63.59,4.34,3.4,235.0,54.1,4.51,10.936666666666667,1.0433333333333334,108.6,False,True,False,False,False,9,3,1572.0,1682.0,1630.0,1625.6666666666667,51.0,0.6358595194085028,1050.0,53.02333333333333,232.66666666666666,6.333333333333333,9.893333333333334,7.740179211469535,281.1666666666667,6.95418361059766,176257.8,1625.0,1778.0
33,2016-10-01,1682.0,1068.0,904.0,5.0,63.5,3.83,2.4,208.0,54.26,4.35,10.951612903225806,1.806451612903225,228.7,False,False,False,True,False,10,4,1623.0,1572.0,1682.0,1625.6666666666667,59.0,0.6349583828775267,1057.3333333333333,53.02333333333333,225.33333333333334,6.666666666666667,9.14516129032258,9.489641577060931,241.63333333333333,6.953818418932913,384673.39999999997,1677.0,1862.090909090909
34,2016-11-01,1643.0,1000.0,1056.0,3.0,60.86,3.34,1.64,183.0,54.77,5.77,13.956666666666669,3.8733333333333335,112.2,False,False,False,True,False,11,4,1682.0,1623.0,1572.0,1649.3333333333333,-39.0,0.6086427267194157,1033.3333333333333,54.376666666666665,208.66666666666666,5.333333333333333,10.083333333333336,11.94831541218638,149.83333333333334,8.49462365591398,184344.6,1626.0,1794.6363636363637
35,2016-12-01,1661.0,875.0,1055.0,2.0,52.68,4.59,0.81,246.0,53.58,4.29,14.95483870967742,5.699999999999999,155.5,False,False,False,True,False,12,4,1643.0,1682.0,1623.0,1662.0,18.0,0.526791089704997,981.0,54.20333333333334,212.33333333333334,3.3333333333333335,9.25483870967742,13.287706093189966,165.46666666666667,7.878075780233439,258285.5,1675.0,1832.6363636363637
