,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_NE,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,14128.0,11515.0,10469.0,43.0,81.5,3.61,2.61,1646.0,455.74,6.36,17.725806451612904,12.816129032258065,14.0,False,False,False,False,True,False,1,1,13762.0,12900.0,13618.0,13596.666666666666,366.0,0.8150481313703284,11142.666666666666,443.2266666666667,1598.3333333333333,44.0,4.909677419354839,15.848853046594982,50.23333333333333,14.447385425419208,197792.0,13686.0,16802.583333333332
13,2015-02-01,12838.0,10588.0,10036.0,41.0,82.47,3.41,2.62,1564.0,458.5,6.42,16.942857142857143,12.389285714285714,15.5,False,False,False,False,True,False,2,1,14128.0,13762.0,12900.0,13576.0,-1290.0,0.8247390559277146,11079.333333333334,452.7266666666667,1629.6666666666667,45.666666666666664,4.553571428571429,16.81536098310292,31.3,13.973436004718135,198989.0,12330.0,14989.25
14,2015-03-01,14774.0,13248.0,12021.0,47.0,89.67,3.66,2.69,1745.0,476.58,6.89,17.219354838709677,11.751612903225809,64.0,False,False,False,False,True,False,3,1,12838.0,14128.0,13762.0,13913.333333333334,1936.0,0.8967104372546365,11783.666666666666,463.6066666666666,1651.6666666666667,43.666666666666664,5.467741935483868,17.296006144393242,31.166666666666668,15.440775206662096,945536.0,13633.0,16361.0
15,2015-04-01,14292.0,12639.0,12694.0,40.0,88.43,3.88,2.16,1849.0,476.4,6.87,14.633333333333333,10.153333333333334,155.1,False,False,False,False,True,False,4,2,14774.0,12838.0,14128.0,13968.0,-482.0,0.8843408900083963,12158.333333333334,470.49333333333334,1719.3333333333333,42.666666666666664,4.479999999999999,16.265181771633383,78.2,12.940855023789533,2216689.1999999997,13250.0,15867.454545454546
16,2015-05-01,15004.0,12858.0,12292.0,50.0,85.7,3.93,2.63,1903.0,484.0,6.46,13.196774193548388,10.04516129032258,324.2,False,False,True,False,False,False,5,2,14292.0,14774.0,12838.0,14690.0,712.0,0.856971474273527,12915.0,478.99333333333334,1832.3333333333333,45.666666666666664,3.151612903225807,15.016487455197131,181.1,11.309259036299997,4864296.8,13622.0,16554.545454545456
17,2015-06-01,14520.0,12752.0,12078.0,47.0,87.82,3.93,2.47,1903.0,484.0,6.35,10.996666666666666,8.026666666666667,250.0,False,False,False,False,True,False,6,2,15004.0,14292.0,14774.0,14605.333333333334,-484.0,0.878236914600551,12749.666666666666,481.4666666666667,1885.0,45.666666666666664,2.969999999999999,12.94225806451613,243.1,9.657678604224058,3630000.0,13239.0,16037.90909090909
18,2015-07-01,15004.0,13439.0,13451.0,53.0,89.57,4.15,2.64,2008.0,484.0,6.7,10.425806451612903,7.387096774193548,403.7,False,False,True,False,False,False,7,3,14520.0,15004.0,14292.0,14842.666666666666,484.0,0.8956944814716076,13016.333333333334,484.0,1938.0,50.0,3.038709677419355,11.539749103942652,325.96666666666664,9.33833730360076,6057114.8,13621.0,16667.090909090908
19,2015-08-01,15019.0,13644.0,12674.0,41.0,90.84,3.93,2.15,1904.0,484.48,6.66,10.6,7.509677419354839,360.2,False,False,True,False,False,False,8,3,15004.0,14520.0,15004.0,14847.666666666666,15.0,0.9084492975564286,13278.333333333334,484.16,1938.3333333333333,47.0,3.090322580645161,10.67415770609319,337.9666666666667,9.629562554098142,5409843.8,13338.0,16767.090909090908
20,2015-09-01,14525.0,12783.0,13096.0,49.0,88.01,4.1,2.47,1983.0,484.17,6.6,10.913333333333332,7.25,116.5,False,False,True,False,False,False,9,3,15019.0,15004.0,14520.0,14849.333333333334,-494.0,0.8800688468158347,13288.666666666666,484.2166666666667,1965.0,47.666666666666664,3.663333333333332,10.646379928315412,293.4666666666667,9.604484681583475,1692162.5,13141.0,16088.727272727272
21,2015-10-01,15012.0,13691.0,12795.0,52.0,91.2,4.06,2.65,1965.0,484.26,6.51,12.96774193548387,8.325806451612904,104.8,False,False,True,False,False,False,10,4,14525.0,15019.0,15004.0,14852.0,487.0,0.9120037303490541,13372.666666666666,484.30333333333334,1950.6666666666667,47.333333333333336,4.6419354838709666,11.493691756272403,193.83333333333334,11.826629019365154,1573257.5999999999,13618.0,16817.454545454544
