,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_NW,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,4767.0,3925.0,3913.0,20.0,82.34,3.6,3.61,554.0,153.77,7.06,22.32903225806452,15.47741935483871,0.0,False,False,False,False,True,False,1,1,4756.0,4578.0,4763.0,4700.333333333333,11.0,0.8233689951751626,3909.3333333333335,153.26333333333335,629.6666666666666,22.666666666666668,6.851612903225808,20.686379928315414,1.5666666666666664,18.385032853556375,0.0,4887.0,4732.916666666667
13,2015-02-01,4370.0,3552.0,3527.0,19.0,81.28,3.5,3.48,546.0,156.07,6.46,22.103571428571428,15.303571428571429,1.1,False,False,False,False,True,False,2,1,4767.0,4756.0,4578.0,4631.0,-397.0,0.8128146453089244,3787.6666666666665,154.42,595.6666666666666,21.666666666666668,6.799999999999999,21.67645929339478,0.4000000000000001,17.966106570774762,4807.0,4373.0,4308.166666666667
14,2015-03-01,4875.0,4255.0,4017.0,25.0,87.28,4.19,3.79,659.0,157.26,6.1,22.625806451612902,15.638709677419357,4.9,False,False,False,False,True,False,3,1,4370.0,4767.0,4756.0,4670.666666666667,505.0,0.8728205128205129,3910.6666666666665,155.70000000000002,586.3333333333334,21.333333333333332,6.987096774193546,22.352803379416287,2.0,19.748267990074442,23887.5,4841.0,4739.636363636364
15,2015-04-01,4765.0,4055.0,4200.0,19.0,85.1,3.95,3.03,627.0,158.83,6.7,20.66333333333333,13.136666666666668,0.0,False,False,False,False,True,False,4,2,4875.0,4370.0,4767.0,4670.0,-110.0,0.85099685204617,3954.0,157.38666666666666,610.6666666666666,21.0,7.526666666666662,21.797570404505887,2.0,17.584431619447358,0.0,4687.0,4578.545454545455
16,2015-05-01,4873.0,4323.0,4044.0,23.0,88.71,3.88,3.77,610.0,157.19,6.63,18.038709677419355,10.30967741935484,1.9,False,False,False,False,True,False,5,2,4765.0,4875.0,4370.0,4837.666666666667,108.0,0.8871331828442438,4211.0,157.76,632.0,22.333333333333332,7.729032258064516,20.442616487455197,2.266666666666667,16.002737930532295,9258.699999999999,4830.0,4715.909090909091
17,2015-06-01,4709.0,4198.0,4329.0,17.0,89.15,3.83,2.83,601.0,156.97,7.2,17.006666666666668,8.143333333333334,1.3,False,False,True,False,False,False,6,2,4873.0,4765.0,4875.0,4782.333333333333,-164.0,0.8914843915905712,4192.0,157.66333333333333,612.6666666666666,19.666666666666668,8.863333333333333,18.569569892473115,1.0666666666666667,15.161177886316983,6121.7,4671.0,4560.818181818182
18,2015-07-01,4851.0,4385.0,4508.0,27.0,90.39,4.14,4.17,648.0,156.48,6.96,15.05483870967742,7.712903225806452,61.8,False,False,False,False,True,False,7,3,4709.0,4873.0,4765.0,4811.0,142.0,0.9039373325087611,4302.0,156.88,619.6666666666666,22.333333333333332,7.341935483870968,16.700071684587815,21.666666666666668,13.608630744575445,299791.8,4692.0,4692.181818181818
19,2015-08-01,4824.0,4255.0,4504.0,25.0,88.2,3.84,4.19,597.0,155.61,7.54,15.651612903225804,9.451612903225806,128.6,False,False,False,False,True,False,8,3,4851.0,4709.0,4873.0,4794.666666666667,-27.0,0.8820480928689884,4279.333333333333,156.35333333333335,615.3333333333334,23.0,6.1999999999999975,15.904372759856628,63.9,13.805475311613971,620366.4,4667.0,4682.545454545455
20,2015-09-01,4660.0,4010.0,3820.0,31.0,86.05,3.85,5.18,598.0,155.33,6.39,16.483333333333334,10.093333333333334,47.5,False,False,False,False,True,False,9,3,4824.0,4851.0,4709.0,4778.333333333333,-164.0,0.8605150214592274,4216.666666666667,155.80666666666667,614.3333333333334,27.666666666666668,6.390000000000001,15.729928315412186,79.3,14.184155937052934,221350.0,4618.0,4547.545454545455
21,2015-10-01,4873.0,4077.0,4215.0,26.0,83.67,3.74,4.42,588.0,157.19,7.17,16.677419354838708,10.235483870967744,57.8,False,False,False,False,True,False,10,4,4660.0,4824.0,4851.0,4785.666666666667,213.0,0.8366509337163964,4114.0,156.04333333333335,594.3333333333334,27.333333333333332,6.441935483870964,16.27078853046595,77.96666666666665,13.953178475205707,281659.39999999997,4763.0,4674.636363636364
22,2015-11-01,4712.0,4044.0,3819.0,27.0,85.82,3.91,4.4,614.0,157.07,6.22,19.226666666666667,11.833333333333334,8.3,False,False,False,False,True,False,11,4,4873.0,4660.0,4824.0,4748.333333333333,-161.0,0.8582342954159593,4043.6666666666665,156.53,600.0,28.0,7.393333333333333,17.462473118279572,37.86666666666667,16.500984719864178,39109.600000000006,4578.0,4537.727272727273
23,2015-12-01,4883.0,4095.0,4359.0,18.0,83.86,4.09,2.79,645.0,157.52,6.76,21.490322580645163,13.970967741935484,0.0,False,False,False,False,True,False,12,4,4712.0,4873.0,4660.0,4822.666666666667,171.0,0.8386237968462011,4072.0,157.26,615.6666666666666,23.666666666666668,7.519354838709679,19.13146953405018,22.03333333333333,18.0222959180303,0.0,4756.0,4715.727272727273
24,2016-01-01,4877.0,3968.0,3792.0,25.0,81.36,3.36,4.73,528.0,157.32,7.18,23.177419354838708,16.24838709677419,2.0,False,False,False,False,True,False,1,1,4883.0,4712.0,4873.0,4824.0,-6.0,0.81361492720935,4035.6666666666665,157.3033333333333,595.6666666666666,23.333333333333332,6.929032258064517,21.298136200716847,3.4333333333333336,18.857494361287674,9754.0,4767.0,4732.916666666667
25,2016-02-01,4565.0,3645.0,3674.0,22.0,79.85,3.43,4.07,540.0,157.41,6.8,23.035714285714285,15.785714285714286,0.0,False,False,False,False,True,False,2,1,4877.0,4883.0,4712.0,4775.0,-312.0,0.7984665936473165,3902.6666666666665,157.41666666666666,571.0,21.666666666666668,7.249999999999998,22.56781874039939,0.6666666666666666,18.393248317947112,0.0,4370.0,4308.166666666667
26,2016-03-01,4911.0,4043.0,4125.0,21.0,82.33,3.87,3.43,613.0,158.42,6.73,21.983870967741936,15.106451612903228,0.0,False,False,False,False,True,False,3,1,4565.0,4877.0,4883.0,4784.333333333333,346.0,0.8232539197719405,3885.3333333333335,157.71666666666667,560.3333333333334,22.666666666666668,6.8774193548387075,22.73233486943164,0.6666666666666666,18.09830794595411,0.0,4875.0,4739.636363636364
27,2016-04-01,4755.0,3819.0,3918.0,18.0,80.32,3.82,2.98,605.0,158.5,6.48,18.58,12.67,92.6,False,False,False,False,True,False,4,2,4911.0,4565.0,4877.0,4743.666666666667,-156.0,0.8031545741324921,3835.6666666666665,158.10999999999999,586.0,20.333333333333332,5.909999999999998,21.199861751152074,30.866666666666664,14.922611987381703,440313.0,4765.0,4578.545454545455
28,2016-05-01,4890.0,4169.0,4016.0,21.0,85.26,3.91,3.41,616.0,157.74,6.52,17.432258064516127,11.422580645161291,19.8,False,False,False,False,True,False,5,2,4755.0,4911.0,4565.0,4852.0,135.0,0.8525562372188139,4010.3333333333335,158.22,611.3333333333334,20.0,6.009677419354835,19.332043010752688,37.46666666666666,14.861980341711194,96822.0,4873.0,4715.909090909091
29,2016-06-01,4741.0,4100.0,4278.0,28.0,86.48,3.97,4.47,627.0,158.03,6.82,15.49,8.12,45.0,False,False,True,False,False,False,6,2,4890.0,4755.0,4911.0,4795.333333333333,-149.0,0.8647964564437882,4029.3333333333335,158.09,616.0,22.333333333333332,7.370000000000001,17.16741935483871,52.46666666666666,13.39569711031428,213345.0,4709.0,4560.818181818182
30,2016-07-01,4907.0,4292.0,4037.0,31.0,87.47,3.8,5.16,601.0,158.29,6.72,14.87741935483871,8.190322580645162,102.2,False,False,False,False,True,False,7,3,4741.0,4890.0,4755.0,4846.0,166.0,0.8746688404320359,4187.0,158.01999999999998,614.6666666666666,26.666666666666668,6.687096774193547,15.933225806451611,55.666666666666664,13.0128151357179,501495.4,4851.0,4692.181818181818
31,2016-08-01,4909.0,4178.0,4598.0,34.0,85.11,3.61,5.94,572.0,158.35,8.04,16.33225806451613,8.751612903225807,1.1,False,False,False,False,True,False,8,3,4907.0,4741.0,4890.0,4852.333333333333,2.0,0.8510898349969443,4190.0,158.22333333333333,600.0,31.0,7.580645161290322,15.566559139784948,49.43333333333333,13.900218821256546,5399.900000000001,4824.0,4682.545454545455
32,2016-09-01,4780.0,4004.0,3917.0,31.0,83.77,3.65,5.33,582.0,159.33,6.73,17.68,9.386666666666668,1.7,False,False,False,False,True,False,9,3,4909.0,4907.0,4741.0,4865.333333333333,-129.0,0.8376569037656904,4158.0,158.65666666666667,585.0,32.0,8.293333333333331,16.296559139784947,35.0,14.809774058577405,8126.0,4660.0,4547.545454545455
33,2016-10-01,4956.0,4006.0,3657.0,17.0,80.83,3.36,3.17,537.0,159.87,6.81,18.79032258064516,11.274193548387096,19.4,False,False,False,False,True,False,10,4,4780.0,4909.0,4907.0,4881.666666666667,176.0,0.8083131557707829,4062.6666666666665,159.18333333333337,563.6666666666666,27.333333333333332,7.516129032258064,17.60086021505376,7.3999999999999995,15.18846494311229,96146.4,4873.0,4674.636363636364
34,2016-11-01,4763.0,3942.0,3962.0,18.0,82.76,3.52,3.22,559.0,158.77,7.09,21.686666666666667,13.543333333333331,0.2,False,False,False,False,True,False,11,4,4956.0,4780.0,4909.0,4833.0,-193.0,0.8276296451816082,3984.0,159.32333333333335,559.3333333333334,22.0,8.143333333333336,19.385663082437276,7.099999999999999,17.948528238505144,952.6,4712.0,4537.727272727273
35,2016-12-01,4926.0,3904.0,4222.0,19.0,79.25,3.87,3.09,615.0,158.9,6.87,21.861290322580647,14.341935483870968,19.5,False,False,False,False,True,False,12,4,4763.0,4956.0,4780.0,4881.666666666667,163.0,0.7925294356475843,3950.6666666666665,159.17999999999998,570.3333333333334,18.0,7.519354838709679,20.77942652329749,13.033333333333331,17.325716081882835,96057.0,4883.0,4715.727272727273
36,2017-01-01,4916.0,4022.0,3918.0,32.0,81.81,3.75,5.38,595.0,158.58,6.58,24.80967741935484,15.158064516129032,0.0,False,False,False,False,False,True,1,1,4926.0,4763.0,4956.0,4868.333333333333,-10.0,0.8181448331977217,3956.0,158.75,589.6666666666666,23.0,9.651612903225809,22.78587813620072,6.566666666666666,20.29790939394735,0.0,4877.0,4732.916666666667
37,2017-02-01,4380.0,3361.0,3585.0,18.0,76.74,3.23,3.56,505.0,156.43,7.1,22.964285714285715,15.089285714285714,0.4,False,False,False,False,False,True,2,1,4916.0,4926.0,4763.0,4740.666666666667,-536.0,0.767351598173516,3762.3333333333335,157.97,571.6666666666666,23.0,7.875000000000002,23.21175115207373,6.633333333333333,17.621681343770383,1752.0,4565.0,4308.166666666667
38,2017-03-01,4897.0,3876.0,3628.0,16.0,79.15,3.73,2.71,590.0,157.97,6.15,22.45483870967742,13.706451612903225,0.3,False,False,False,False,False,True,3,1,4380.0,4916.0,4926.0,4731.0,517.0,0.7915050030630999,3753.0,157.66,563.3333333333334,22.0,8.748387096774197,23.409600614439327,0.2333333333333333,17.77311718168464,1469.1,4911.0,4739.636363636364
39,2017-04-01,4739.0,3979.0,3686.0,26.0,83.96,3.49,4.72,551.0,157.97,6.69,21.46333333333333,11.12,10.7,False,False,False,False,True,False,4,2,4897.0,4380.0,4916.0,4672.0,-158.0,0.8396286136315678,3738.6666666666665,157.45666666666668,548.6666666666666,20.0,10.343333333333332,22.294152585765488,3.7999999999999994,18.021228810578883,50707.299999999996,4755.0,4578.545454545455
40,2017-05-01,4865.0,4240.0,4035.0,22.0,87.15,4.03,3.48,632.0,156.94,6.38,17.141935483870967,9.329032258064515,87.2,False,False,True,False,False,False,5,2,4739.0,4897.0,4380.0,4833.666666666667,126.0,0.8715313463514902,4031.6666666666665,157.62666666666667,591.0,21.333333333333332,7.812903225806451,20.35336917562724,32.733333333333334,14.939734111328447,424228.0,4890.0,4715.909090909091
41,2017-06-01,4733.0,4285.0,4221.0,20.0,90.53,3.97,3.19,626.0,157.77,6.74,16.336666666666666,7.31,160.6,False,False,False,True,False,False,6,2,4865.0,4739.0,4897.0,4779.0,-132.0,0.9053454468624551,4168.0,157.55999999999997,603.0,22.666666666666668,9.026666666666667,18.313978494623655,86.16666666666667,14.790326783576308,760119.7999999999,4741.0,4560.818181818182
42,2017-07-01,4842.0,4174.0,3850.0,27.0,86.2,3.83,4.52,598.0,156.19,6.44,15.883870967741936,6.174193548387097,34.6,False,False,False,True,False,False,7,3,4733.0,4865.0,4739.0,4813.333333333333,109.0,0.8620404791408509,4233.0,156.96666666666667,618.6666666666666,23.0,9.70967741935484,16.454157706093188,94.13333333333334,13.69253973964371,167533.2,4907.0,4692.181818181818
43,2017-08-01,4837.0,4308.0,4188.0,28.0,89.06,3.94,4.56,614.0,156.03,6.82,15.30967741935484,6.861290322580645,66.2,False,False,True,False,False,False,8,3,4842.0,4733.0,4865.0,4804.0,-5.0,0.8906346909241265,4255.666666666667,156.66333333333333,612.6666666666666,25.0,8.448387096774194,15.843405017921148,87.13333333333333,13.635329816535176,320209.4,4909.0,4682.545454545455
44,2017-09-01,4689.0,3936.0,3881.0,20.0,83.94,3.81,3.36,595.0,156.3,6.52,17.279999999999998,8.556666666666667,9.5,False,False,False,False,True,False,9,3,4837.0,4842.0,4733.0,4789.333333333333,-148.0,0.8394113883557262,4139.333333333333,156.17333333333335,602.3333333333334,25.0,8.723333333333331,16.15784946236559,36.76666666666667,14.505028790786946,44545.5,4780.0,4547.545454545455
