,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,961.0,389.0,392.0,0.0,40.48,1.32,0.0,41.0,31.0,9.56,23.506451612903227,11.648387096774194,1.1,False,False,False,True,False,1,1,961.0,930.0,961.0,950.6666666666666,0.0,0.404786680541103,392.6666666666667,31.0,48.666666666666664,1.0,11.858064516129033,19.474695340501793,17.033333333333335,9.515098519687154,1057.1000000000001,961.0,836.0
13,2015-02-01,868.0,298.0,246.0,2.0,34.33,1.13,5.71,35.0,31.0,7.03,23.09642857142857,11.117857142857144,4.4,False,False,False,True,False,2,1,961.0,961.0,930.0,930.0,-93.0,0.3433179723502304,354.6666666666667,31.0,42.666666666666664,1.0,11.978571428571428,21.957949308755758,8.966666666666667,7.929419025674786,3819.2000000000003,868.0,784.5833333333334
14,2015-03-01,961.0,329.0,261.0,0.0,34.24,1.26,0.0,39.0,31.0,6.69,21.896774193548385,9.55483870967742,20.8,False,False,False,True,False,3,1,868.0,961.0,961.0,930.0,93.0,0.34235171696149846,338.6666666666667,31.0,38.333333333333336,0.6666666666666666,12.341935483870966,22.83321812596006,8.766666666666667,7.496398241079521,19988.8,961.0,860.0
15,2015-04-01,930.0,387.0,348.0,1.0,41.61,1.45,2.22,45.0,31.0,7.73,16.486666666666668,8.113333333333333,96.8,False,True,False,False,False,4,2,961.0,868.0,961.0,919.6666666666666,-31.0,0.4161290322580645,338.0,31.0,39.666666666666664,1.0,8.373333333333335,20.493289810547875,40.666666666666664,6.860580645161291,90024.0,930.0,825.1818181818181
16,2015-05-01,961.0,405.0,174.0,1.0,42.14,0.97,3.33,30.0,31.0,5.8,13.748387096774191,7.164516129032258,189.3,False,True,False,False,False,5,2,930.0,961.0,868.0,950.6666666666666,31.0,0.4214360041623309,373.6666666666667,31.0,38.0,0.6666666666666666,6.583870967741934,17.37727598566308,102.3,5.794065321741464,181917.30000000002,961.0,861.7272727272727
17,2015-06-01,930.0,417.0,371.0,2.0,44.84,1.23,5.26,38.0,31.0,9.76,10.673333333333334,4.78,190.2,False,False,False,True,False,6,2,961.0,930.0,961.0,940.3333333333334,-31.0,0.4483870967741935,403.0,31.0,37.666666666666664,1.3333333333333333,5.8933333333333335,13.636129032258063,158.76666666666665,4.785784946236559,176886.0,930.0,833.2727272727273
18,2015-07-01,961.0,507.0,267.0,4.0,52.76,1.42,9.09,44.0,31.0,6.07,10.32258064516129,3.8451612903225807,323.4,False,False,True,False,False,7,3,930.0,961.0,930.0,950.6666666666666,31.0,0.5275754422476587,443.0,31.0,37.333333333333336,2.3333333333333335,6.477419354838709,11.581433691756272,234.29999999999998,5.44594004900809,310787.39999999997,961.0,866.8181818181819
19,2015-08-01,961.0,527.0,521.0,2.0,54.84,1.81,3.57,56.0,31.0,9.3,11.264516129032256,4.790322580645161,267.7,False,True,False,False,False,8,3,961.0,930.0,961.0,950.6666666666666,0.0,0.5483870967741935,483.6666666666667,31.0,46.0,2.6666666666666665,6.4741935483870945,10.75347670250896,260.43333333333334,6.177315296566075,257259.69999999998,961.0,862.0909090909091
20,2015-09-01,930.0,596.0,506.0,2.0,64.09,1.84,3.51,57.0,31.0,8.88,11.69,3.796666666666667,91.0,False,True,False,False,False,9,3,961.0,961.0,930.0,950.6666666666666,-31.0,0.6408602150537634,543.3333333333334,31.0,52.333333333333336,2.6666666666666665,7.893333333333333,11.092365591397849,227.36666666666665,7.491655913978494,84630.0,930.0,815.7272727272727
21,2015-10-01,961.0,595.0,445.0,6.0,61.91,1.58,12.24,49.0,31.0,9.08,14.561290322580644,4.987096774193549,64.8,False,True,False,False,False,10,4,930.0,961.0,961.0,950.6666666666666,31.0,0.619146722164412,572.6666666666666,31.0,54.0,3.3333333333333335,9.574193548387097,12.505268817204302,141.16666666666666,9.01557517371018,62272.799999999996,961.0,843.0
22,2015-11-01,930.0,490.0,459.0,4.0,52.69,1.19,10.81,37.0,31.0,12.41,16.513333333333332,7.716666666666667,64.6,False,False,False,False,True,11,4,961.0,930.0,961.0,940.3333333333334,-31.0,0.5268817204301075,560.3333333333334,31.0,47.666666666666664,4.0,8.796666666666665,14.254874551971326,73.46666666666665,8.700573476702507,60077.99999999999,930.0,816.7272727272727
