,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_NW,Viento_S,Viento_SE,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,806.0,462.0,367.0,0.0,57.32,3.19,0.0,83.0,26.0,4.42,21.238709677419354,12.974193548387095,0.0,False,False,False,False,True,1,1,806.0,780.0,806.0,797.3333333333334,0.0,0.5732009925558312,391.0,26.0,86.33333333333333,1.6666666666666667,8.264516129032259,20.425268817204298,0.13333333333333333,12.174049467701913,0.0,806.0,661.3333333333334
13,2015-02-01,728.0,370.0,291.0,1.0,50.82,3.35,1.15,87.0,26.0,3.34,21.410714285714285,13.160714285714286,1.2000000000000002,False,False,False,False,True,2,1,806.0,806.0,780.0,780.0,-78.0,0.5082417582417582,391.6666666666667,26.0,83.33333333333333,1.3333333333333333,8.249999999999998,20.97884024577573,0.4000000000000001,10.881819073783358,873.6000000000001,728.0,618.5833333333334
14,2015-03-01,806.0,418.0,544.0,1.0,51.86,3.5,1.1,91.0,26.0,5.98,20.906451612903226,13.1,25.4,False,False,False,False,True,3,1,728.0,806.0,806.0,780.0,78.0,0.5186104218362283,416.6666666666667,26.0,87.0,0.6666666666666666,7.806451612903226,21.185291858678955,8.866666666666665,10.842303690066437,20472.399999999998,806.0,667.9090909090909
15,2015-04-01,780.0,360.0,327.0,0.0,46.15,2.88,0.0,75.0,26.0,4.36,18.69,12.066666666666666,0.0,False,False,False,False,True,4,2,806.0,728.0,806.0,771.3333333333334,-26.0,0.46153846153846156,382.6666666666667,26.0,84.33333333333333,0.6666666666666666,6.623333333333335,20.33572196620584,8.866666666666665,8.626153846153848,0.0,780.0,648.6363636363636
16,2015-05-01,806.0,355.0,268.0,3.0,44.04,2.77,4.17,72.0,26.0,3.72,17.39032258064516,9.883870967741936,0.0,False,False,False,True,False,5,2,780.0,806.0,728.0,797.3333333333334,26.0,0.44044665012406947,377.6666666666667,26.0,79.33333333333333,1.3333333333333333,7.506451612903225,18.995591397849463,8.466666666666667,7.659509325222125,0.0,806.0,667.9090909090909
17,2015-06-01,780.0,433.0,350.0,2.0,55.51,3.15,2.44,82.0,26.0,4.27,17.163333333333334,7.946666666666667,0.0,False,False,True,False,False,6,2,806.0,780.0,806.0,788.6666666666666,-26.0,0.5551282051282052,382.6666666666667,26.0,76.33333333333333,1.6666666666666667,9.216666666666667,17.747885304659498,0.0,9.527850427350428,0.0,780.0,655.7272727272727
18,2015-07-01,806.0,383.0,269.0,2.0,47.52,2.88,2.67,75.0,26.0,3.59,14.75483870967742,5.216129032258065,36.6,False,False,True,False,False,7,3,780.0,806.0,780.0,797.3333333333334,26.0,0.47518610421836227,390.3333333333333,26.0,76.33333333333333,2.3333333333333335,9.538709677419355,16.436164874551974,12.200000000000001,7.0112943248219,29499.600000000002,806.0,664.9090909090909
19,2015-08-01,806.0,463.0,372.0,1.0,57.44,2.85,1.35,74.0,26.0,5.03,14.97741935483871,6.158064516129032,74.2,False,False,True,False,False,8,3,806.0,780.0,806.0,797.3333333333334,0.0,0.5744416873449132,426.3333333333333,26.0,77.0,1.6666666666666667,8.819354838709678,15.631863799283154,36.93333333333334,8.60365404626591,59805.200000000004,806.0,648.1818181818181
20,2015-09-01,780.0,435.0,479.0,1.0,55.77,3.85,1.0,100.0,26.0,4.79,16.266666666666666,7.673333333333333,21.0,False,False,False,True,False,9,3,806.0,806.0,780.0,797.3333333333334,-26.0,0.5576923076923077,427.0,26.0,83.0,1.3333333333333333,8.593333333333334,15.332974910394265,43.93333333333334,9.071794871794872,16380.0,780.0,635.9090909090909
21,2015-10-01,806.0,419.0,343.0,1.0,51.99,3.19,1.2,83.0,26.0,4.13,16.593548387096774,8.13225806451613,52.7,False,False,False,False,True,10,4,780.0,806.0,806.0,797.3333333333334,26.0,0.5198511166253101,439.0,26.0,85.66666666666667,1.0,8.461290322580645,15.945878136200717,49.300000000000004,8.626174657808372,42476.200000000004,806.0,645.0
22,2015-11-01,780.0,351.0,285.0,5.0,45.0,2.65,7.25,69.0,26.0,4.13,18.82333333333333,9.3,1.2999999999999998,False,False,False,False,True,11,4,806.0,780.0,806.0,788.6666666666666,-26.0,0.45,401.6666666666667,26.0,84.0,2.3333333333333335,9.52333333333333,17.22784946236559,24.999999999999996,8.4705,1013.9999999999999,780.0,632.4545454545455
23,2015-12-01,806.0,365.0,309.0,4.0,45.29,2.92,5.26,76.0,26.0,4.07,21.42903225806452,12.106451612903228,0.0,False,False,False,False,True,12,4,780.0,806.0,780.0,797.3333333333334,26.0,0.45285359801488834,378.3333333333333,26.0,76.0,3.3333333333333335,9.322580645161292,18.94863799283154,17.999999999999996,9.704214360041625,0.0,806.0,648.1818181818181
24,2016-01-01,806.0,434.0,340.0,3.0,53.85,3.15,3.66,82.0,26.0,4.15,22.241935483870968,13.50967741935484,2.0,False,False,False,False,True,1,1,806.0,780.0,806.0,797.3333333333334,0.0,0.5384615384615384,383.3333333333333,26.0,75.66666666666667,4.0,8.732258064516127,20.831433691756274,1.0999999999999952,11.976426799007443,1612.0,806.0,661.3333333333334
25,2016-02-01,754.0,420.0,791.0,1.0,55.7,3.54,1.09,92.0,26.0,8.6,22.603571428571428,14.207142857142856,0.0,False,False,False,False,True,2,1,806.0,806.0,780.0,788.6666666666666,-52.0,0.5570291777188329,406.3333333333333,26.0,83.33333333333333,2.6666666666666665,8.396428571428572,22.091513056835637,0.666666666666662,12.590848806366047,0.0,728.0,618.5833333333334
26,2016-03-01,806.0,398.0,334.0,6.0,49.38,3.15,7.32,82.0,26.0,4.07,20.72258064516129,13.22258064516129,0.0,False,False,False,False,True,3,1,754.0,806.0,806.0,788.6666666666666,52.0,0.49379652605459057,417.3333333333333,26.0,85.33333333333333,3.3333333333333335,7.5,21.856029185867897,0.666666666666662,10.232738333466742,0.0,806.0,667.9090909090909
27,2016-04-01,780.0,444.0,271.0,1.0,56.92,2.73,1.41,71.0,26.0,3.82,18.4,10.84,5.8,False,False,False,False,True,4,2,806.0,754.0,806.0,780.0,-26.0,0.5692307692307692,420.6666666666667,26.0,81.66666666666667,2.6666666666666665,7.559999999999999,20.575384024577573,1.9333333333333285,10.473846153846152,4524.0,780.0,648.6363636363636
